"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1567","인천광역시","미추홀구","지방도",1,126.6342758,"1",60,NA
"1593","인천광역시","미추홀구","특별시도",1,126.6898947,"2",50,NA
"1598","인천광역시","미추홀구","특별시도",1,126.6450288,"2",50,NA
"1599","인천광역시","미추홀구","특별시도",2,126.6551298,"2",50,NA
"2294","인천광역시","미추홀구","일반국도",1,126.6729129,"2",50,NA
"5760","인천광역시","미추홀구","일반국도",2,126.696017,"2",50,NA
"5761","인천광역시","미추홀구","일반국도",1,126.6965212,"2",50,NA
"5762","인천광역시","미추홀구","기타",1,126.6939088,"2",30,NA
"5763","인천광역시","미추홀구","기타",2,126.6937049,"2",30,NA
"5764","인천광역시","미추홀구","특별시도",1,126.6850843,"2",50,NA
"5765","인천광역시","미추홀구","특별시도",2,126.6845854,"2",50,NA
"5766","인천광역시","미추홀구","특별시도",2,126.6771771,"2",30,NA
"5767","인천광역시","미추홀구","일반국도",2,126.6692754,"2",50,NA
"5768","인천광역시","미추홀구","일반국도",1,126.6689159,"2",50,NA
"5769","인천광역시","미추홀구","특별시도",2,126.6688247,"2",30,NA
"5770","인천광역시","미추홀구","특별시도",1,126.6691573,"2",30,NA
"5771","인천광역시","미추홀구","특별시도",2,126.6833623,"2",50,NA
"5772","인천광역시","미추홀구","특별시도",1,126.6836144,"2",50,NA
"5773","인천광역시","미추홀구","기타",2,126.6583319,"2",30,NA
"5774","인천광역시","미추홀구","기타",1,126.6584392,"2",30,NA
"6105","인천광역시","미추홀구","특별시도",2,126.6856221,"2",50,NA
"6121","인천광역시","미추홀구","구도",3,126.674710203,"4",0,NA
"6122","인천광역시","미추홀구","구도",3,NA,"4",0,NA
"6123","인천광역시","미추홀구","구도",3,126.6825194962,"4",0,NA
"6124","인천광역시","미추홀구","구도",3,126.6412300044,"4",0,NA
"6125","인천광역시","미추홀구","구도",3,126.694317024,"4",0,NA
"6126","인천광역시","미추홀구","구도",3,NA,"4",0,NA
"6127","인천광역시","미추홀구","구도",3,126.6686283333,"4",0,NA
"6128","인천광역시","미추홀구","구도",3,126.6828462749,"4",0,NA
"6129","인천광역시","미추홀구","구도",3,126.6796300242,"4",0,NA
"6550","인천광역시","미추홀구","구도",3,126.6737718212,"4",0,NA
"6551","인천광역시","미추홀구","구도",3,126.7015186562,"4",0,NA
"6552","인천광역시","미추홀구","구도",3,126.7015186562,"4",0,NA
"6553","인천광역시","미추홀구","구도",3,126.7015186562,"4",0,NA
"6554","인천광역시","미추홀구","구도",3,126.7015186562,"4",0,NA
"6555","인천광역시","미추홀구","구도",3,126.6526025638,"4",0,NA
"6556","인천광역시","미추홀구","구도",3,126.6798112499,"4",0,NA
"6557","인천광역시","미추홀구","구도",3,NA,"4",0,NA
"6558","인천광역시","미추홀구","구도",3,126.643499221,"4",0,NA
"6559","인천광역시","미추홀구","구도",3,126.6428251625,"4",0,NA
"6560","인천광역시","미추홀구","구도",3,126.680044623,"4",0,NA
"6561","인천광역시","미추홀구","구도",3,126.6761231689,"4",0,NA
"6562","인천광역시","미추홀구","구도",3,NA,"4",0,NA
"6563","인천광역시","미추홀구","구도",3,NA,"4",0,NA
"6564","인천광역시","미추홀구","구도",3,126.6695213139,"4",0,NA
"6565","인천광역시","미추홀구","구도",3,126.662017025,"4",0,NA
"6566","인천광역시","미추홀구","구도",3,126.6768059242,"4",0,NA
"6567","인천광역시","미추홀구","구도",3,126.6774233516,"4",0,NA
"6568","인천광역시","미추홀구","구도",3,126.6744005642,"4",0,NA
"9283","인천광역시","미추홀구","구도",3,126.6897744909,"4",0,NA
"9284","인천광역시","미추홀구","구도",3,126.6867312352,"4",0,NA
"9285","인천광역시","미추홀구","구도",3,126.6837031511,"4",0,NA
"9286","인천광역시","미추홀구","구도",3,126.6718356627,"4",0,NA
"9287","인천광역시","미추홀구","구도",3,126.6767921756,"4",0,NA
"9288","인천광역시","미추홀구","구도",3,126.6745329498,"4",0,NA
"9289","인천광역시","미추홀구","구도",3,126.6804837594,"4",0,NA
"9290","인천광역시","미추홀구","구도",3,126.689855581,"4",0,NA
"9291","인천광역시","미추홀구","구도",3,126.6850043242,"4",0,NA
"9292","인천광역시","미추홀구","구도",3,126.6801033925,"4",0,NA
"9293","인천광역시","미추홀구","구도",3,126.6788739422,"4",0,NA
"9294","인천광역시","미추홀구","구도",3,126.6730153649,"4",0,NA
"9295","인천광역시","미추홀구","구도",3,126.6641794945,"4",0,NA
"9296","인천광역시","미추홀구","구도",3,126.6356715636,"4",0,NA
"9297","인천광역시","미추홀구","구도",3,126.6380775676,"4",0,NA
"9298","인천광역시","미추홀구","구도",3,126.6373623353,"4",0,NA
"9299","인천광역시","미추홀구","구도",3,126.6568696333,"4",0,NA
"9300","인천광역시","미추홀구","구도",3,126.6792314134,"4",0,NA
"9301","인천광역시","미추홀구","구도",3,126.6736365542,"4",0,NA
"9302","인천광역시","미추홀구","구도",3,126.6326813038,"4",0,NA
"9303","인천광역시","미추홀구","구도",3,126.6839591627,"4",0,NA
"9304","인천광역시","미추홀구","구도",3,126.6798112499,"4",0,NA
"9305","인천광역시","미추홀구","구도",3,126.6495605488,"4",0,NA
"9306","인천광역시","미추홀구","구도",3,126.6857825432,"4",0,NA
"9307","인천광역시","미추홀구","구도",3,126.6684789158,"4",0,NA
"9308","인천광역시","미추홀구","구도",3,126.64350443,"4",0,NA
"9309","인천광역시","미추홀구","구도",3,126.6671705137,"4",0,NA
"9310","인천광역시","미추홀구","구도",3,126.6710872007,"4",0,NA
"9311","인천광역시","미추홀구","구도",3,126.6764701187,"4",0,NA
