"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"7963","전라남도","보성군","일반국도",3,127.129994,"1",80,NA
"8060","전라남도","보성군","일반국도",3,127.309245,"2",70,NA
"8061","전라남도","보성군","지방도",3,127.158026,"1",60,NA
"9423","전라남도","보성군","일반국도",3,127.402898,"1",80,NA
"9424","전라남도","보성군","일반국도",3,127.329767,"1",70,NA
"9425","전라남도","보성군","일반국도",3,127.329813,"1",70,NA
"9524","전라남도","보성군","일반국도",3,127.303958,"1",80,NA
"9559","전라남도","보성군","일반국도",3,127.106241,"1",80,NA
"9560","전라남도","보성군","일반국도",3,127.088999,"1",80,NA
"9561","전라남도","보성군","일반국도",3,127.096355,"1",80,NA
"9585","전라남도","보성군","군도",3,127.222758,"2",80,NA
"9680","전라남도","보성군","일반국도",3,127.156149,"1",80,NA
"9681","전라남도","보성군","군도",3,127.345008,"1",60,NA
"9715","전라남도","보성군","일반국도",3,127.298205,"2",70,NA
"9723","전라남도","보성군","고속국도",1,127.154013,"1",100,NA
"9725","전라남도","보성군","고속국도",2,127.167104,"1",100,NA
"9742","전라남도","보성군","일반국도",3,127.092135,"1",80,NA
"9786","전라남도","보성군","일반국도",3,127.326158,"1",80,NA
"9831","전라남도","보성군","일반국도",3,127.261206,"1",80,NA
