"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4246","경상북도","봉화","지방도",1,128.8854683,"2",30,NA
"10971","경상북도","봉화","기타",3,128.1655318,"2",60,NA
"10999","경상북도","봉화","일반국도",1,129.0025386,"1",60,NA
"11000","경상북도","봉화","일반국도",1,128.7878309,"1",60,NA
"14052","경상북도","봉화","군도",1,129.2282316,"1",30,NA
"14058","경상북도","봉화","군도",1,128.6080752,"1",30,NA
"14094","경상북도","봉화","지방도",1,128.9626323,"1",30,NA
"14095","경상북도","봉화","지방도",1,128.8984389,"1",30,NA
"14096","경상북도","봉화","군도",1,128.9142532,"1",30,NA
"14097","경상북도","봉화","군도",1,128.9142532,"1",30,NA
"14098","경상북도","봉화","군도",1,128.8782638,"1",30,NA
"14099","경상북도","봉화","군도",1,128.7905676,"1",30,NA
"17290","경상북도","봉화","일반국도",1,128.7609019,"2",80,NA
"17297","경상북도","봉화","지방도",1,129.3802831,"1",60,NA
"17356","경상북도","봉화","군도",1,128.7727267,"2",50,NA
"17357","경상북도","봉화","군도",2,129.0676553,"1",60,NA
"17365","경상북도","봉화","군도",2,128.5616478,"1",50,NA
