"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1378","전라북도","부안군","일반국도",NA,126.7517305,"2",80,NA
"1400","전라북도","부안군","일반국도",NA,126.5104209,"2",80,NA
"1507","전라북도","부안군","지방도",NA,126.7700486,"1",60,NA
"1508","전라북도","부안군","일반국도",NA,126.6214388,"1",40,NA
"1534","전라북도","부안군","일반국도",NA,126.7708184,"2",80,NA
"2512","전라북도","부안군","일반국도",NA,126.6724928,"1",60,NA
"4800","전라북도","부안군","일반국도",NA,126.7671692,"2",80,NA
"5063","전라북도","부안군","일반국도",NA,126.7516567,"2",80,NA
"11270","전라북도","부안군","지방도",3,126.7320963,"4",0,NA
"11271","전라북도","부안군","지방도",3,126.737056,"4",0,NA
"11272","전라북도","부안군","지방도",3,126.7349296,"4",0,NA
"11273","전라북도","부안군","군도",3,126.7328262,"4",0,NA
"11274","전라북도","부안군","군도",3,126.7331985,"4",0,NA
"11275","전라북도","부안군","군도",3,126.733591,"4",0,NA
"11276","전라북도","부안군","군도",3,126.7375202,"4",0,NA
"11277","전라북도","부안군","군도",3,126.7353482,"4",0,NA
"11278","전라북도","부안군","군도",3,126.5311887,"4",0,NA
"11573","전라북도","부안군","일반국도",NA,126.6872731,"1",40,NA
"11574","전라북도","부안군","일반국도",NA,126.6867264,"1",40,NA
"11575","전라북도","부안군","일반국도",NA,126.6718794,"1",60,NA
"11576","전라북도","부안군","일반국도",NA,126.6678134,"1",40,NA
"11577","전라북도","부안군","일반국도",NA,126.668535,"1",60,NA
"11605","전라북도","부안군","일반국도",NA,126.5060683,"1",80,NA
"13745","전라북도","부안군","일반국도",NA,126.4837844,"2",60,NA
"13746","전라북도","부안군","일반국도",NA,126.4908348,"1",40,NA
"13842","전라북도","부안군","고속국도",NA,126.700073,"1",110,16.8
"14131","전라북도","부안군","일반국도",NA,126.599499,"1",30,NA
"14132","전라북도","부안군","일반국도",NA,126.597468,"1",40,NA
"14159","전라북도","부안군","일반국도",NA,126.763134,"2",80,NA
"14160","전라북도","부안군","일반국도",NA,126.791323,"2",80,NA
"14161","전라북도","부안군","일반국도",NA,126.510695,"2",80,NA
"14162","전라북도","부안군","지방도",NA,126.718968,"2",70,NA
"14163","전라북도","부안군","일반국도",NA,126.578999,"2",80,NA
"14164","전라북도","부안군","지방도",NA,126.750993,"1",40,NA
"14165","전라북도","부안군","지방도",NA,126.7529788,"1",40,NA
"14166","전라북도","부안군","일반국도",NA,126.6778379,"1",40,NA
"14167","전라북도","부안군","일반국도",NA,126.674679,"1",60,NA
"14186","전라북도","부안군","군도",NA,126.7376224,"2",30,NA
"14216","전라북도","부안군","지방도",NA,126.6744161,"1",40,NA
"14217","전라북도","부안군","지방도",NA,126.6744161,"1",40,NA
"14218","전라북도","부안군","지방도",NA,126.6623471,"1",40,NA
"14870","전라북도","부안군","일반국도",NA,126.6772978,"2",30,NA
"14871","전라북도","부안군","일반국도",NA,126.676966,"1",40,NA
"14872","전라북도","부안군","지방도",NA,126.618956,"1",40,NA
"14901","전라북도","부안군","일반국도",NA,126.7211375,"1",60,NA
"14921","전라북도","부안군","일반국도",NA,126.6920075,"1",60,NA
"16849","전라북도","부안군","군도",NA,126.6472219,"1",40,NA
"16850","전라북도","부안군","군도",NA,126.6568529,"1",40,NA
"16851","전라북도","부안군","지방도",NA,126.625336,"1",40,NA
"16852","전라북도","부안군","지방도",NA,126.6245221,"1",40,NA
"16853","전라북도","부안군","군도",NA,126.6534961,"1",40,NA
"16854","전라북도","부안군","군도",NA,126.6531806,"1",40,NA
"16855","전라북도","부안군","군도",NA,126.6543891,"1",40,NA
"16856","전라북도","부안군","군도",NA,126.6781761,"1",40,NA
"17108","전라북도","부안군","일반국도",NA,126.6686667,"1",60,NA
"17109","전라북도","부안군","일반국도",NA,126.7630738,"1",80,NA
