"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"17","경기도","부천시","일반국도",3,126.763941,"2",50,NA
"18","경기도","부천시","시도",3,126.767613207,"2",50,NA
"19","경기도","부천시","시도",3,126.743951295,"2",30,NA
"20","경기도","부천시","시도",3,126.762061808,"2",50,NA
"21","경기도","부천시","시도",3,126.749285964,"2",30,NA
"22","경기도","부천시","시도",3,126.813038,"2",30,NA
"23","경기도","부천시","시도",3,126.76063321,"2",50,NA
"24","경기도","부천시","시도",3,126.76391075,"2",50,NA
"103","경기도","부천시","시도",3,126.812183,"2",30,NA
"126","경기도","부천시","시도",3,126.765126558,"2",50,NA
"127","경기도","부천시","시도",3,126.766581,"2",50,NA
"128","경기도","부천시","시도",3,126.753665771,"2",50,NA
"129","경기도","부천시","시도",3,126.812511,"2",30,NA
"142","경기도","부천시","시도",3,126.812485744,"1",50,NA
"4673","경기도","부천시","시도",3,126.770117554,"1",70,NA
"4674","경기도","부천시","시도",3,126.755766977,"2",30,NA
"4675","경기도","부천시","시도",3,126.787130684,"2",30,NA
"4676","경기도","부천시","시도",3,126.796795054,"2",30,NA
"5229","경기도","부천시","시도",3,126.754657158,"2",50,NA
"5235","경기도","부천시","시도",3,126.75166508,"2",30,NA
"6256","경기도","부천시","시도",3,126.814660406,"1",50,NA
"6257","경기도","부천시","시도",3,126.816701165,"2",30,NA
"7679","경기도","부천시","시도",3,126.812691051,"1",60,NA
"7693","경기도","부천시","시도",3,126.802162,"2",70,NA
"7694","경기도","부천시","시도",3,126.772011407,"1",50,NA
"8517","경기도","부천시","일반국도",3,126.795876,"2",50,NA
"8518","경기도","부천시","시도",3,126.785848223,"2",50,NA
"9067","경기도","부천시","시도",3,126.751478,"2",30,NA
"9274","경기도","부천시","시도",3,126.751826718,"2",60,NA
"9275","경기도","부천시","시도",3,126.755906181,"2",30,NA
"9276","경기도","부천시","시도",3,126.752373293,"2",50,NA
"9277","경기도","부천시","시도",3,126.802909239,"2",30,NA
"9278","경기도","부천시","일반국도",3,126.792757281,"2",30,NA
"9279","경기도","부천시","시도",3,126.804109,"2",30,NA
"9280","경기도","부천시","시도",3,126.825393652,"2",30,NA
"9281","경기도","부천시","시도",3,126.808121,"2",30,NA
"9282","경기도","부천시","시도",3,126.774265379,"2",50,NA
"9387","경기도","부천시","시도",3,126.813522,"2",90,NA
"9388","경기도","부천시","시도",3,126.811738309,"2",50,NA
"9389","경기도","부천시","시도",3,126.766694514,"2",50,NA
"9390","경기도","부천시","시도",3,126.809963708,"2",30,NA
"9391","경기도","부천시","시도",3,126.804806,"2",30,NA
"9392","경기도","부천시","시도",3,126.752993019,"2",50,NA
"9627","경기도","부천시","시도",3,126.818819609,"2",70,NA
"9628","경기도","부천시","시도",3,126.818421,"2",30,NA
"9637","경기도","부천시","시도",3,126.789595,"1",70,NA
"9638","경기도","부천시","시도",3,126.789385,"2",50,NA
"9639","경기도","부천시","일반국도",3,126.782131,"2",50,NA
"10836","경기도","부천시","시도",3,126.808972,"2",30,NA
"10907","경기도","부천시","시도",3,126.770156122,"2",30,NA
"11069","경기도","부천시","시도",3,126.760807,"1",50,NA
"12461","경기도","부천시","시도",3,126.756352,"2",50,NA
"12701","경기도","부천시","시도",3,126.798808701,"1",30,NA
"12702","경기도","부천시","시도",3,126.772269,"1",30,NA
"12703","경기도","부천시","시도",3,126.771378601,"2",30,NA
"12704","경기도","부천시","시도",3,126.765290192,"2",30,NA
"12705","경기도","부천시","시도",3,126.762804495,"2",30,NA
"12706","경기도","부천시","시도",3,126.762895951,"2",30,NA
"12707","경기도","부천시","시도",3,126.805551,"2",30,NA
"12708","경기도","부천시","시도",3,126.785103,"2",30,NA
"13208","경기도","부천시","일반국도",3,126.763694004,"2",60,NA
"13209","경기도","부천시","시도",3,126.778188469,"2",50,NA
"13210","경기도","부천시","시도",3,126.750329651,"2",50,NA
"13404","경기도","부천시","시도",3,126.75767001,"2",30,NA
"14456","경기도","부천시","시도",3,126.798920674,"2",50,NA
"14457","경기도","부천시","시도",3,126.824228331,"2",50,NA
"14491","경기도","부천시","시도",3,126.812166,"2",30,NA
"14587","경기도","부천시","시도",1,126.754783,"2",50,NA
"14611","경기도","부천시","시도",2,126.816668,"2",30,NA
"14636","경기도","부천시","시도",3,126.771678505,"2",50,NA
"14637","경기도","부천시","시도",3,126.809104,"2",50,NA
"14638","경기도","부천시","시도",3,126.759835719,"2",50,NA
"14639","경기도","부천시","시도",3,126.795511445,"2",50,NA
"14640","경기도","부천시","시도",3,126.783553279,"2",50,NA
"14641","경기도","부천시","시도",3,126.777246815,"2",50,NA
"14660","경기도","부천시","시도",1,126.812983,"1",50,NA
"14683","경기도","부천시","시도",3,126.768717,"2",50,NA
"14684","경기도","부천시","시도",3,126.803164,"2",50,NA
"14685","경기도","부천시","시도",3,126.772544201,"2",30,NA
"14708","경기도","부천시","시도",3,126.805807711,"2",50,NA
"14744","경기도","부천시","시도",2,126.759999,"2",30,NA
"14972","경기도","부천시","시도",3,126.764309642,"2",30,NA
"15281","경기도","부천시","시도",2,126.756261,"2",50,NA
"15307","경기도","부천시","시도",1,126.795438,"2",50,NA
"15308","경기도","부천시","일반국도",2,126.783485,"2",50,NA
"15309","경기도","부천시","시도",1,126.777293,"2",50,NA
"15310","경기도","부천시","시도",1,126.812166,"2",30,NA
"15311","경기도","부천시","시도",1,126.8034676,"2",50,NA
"15312","경기도","부천시","시도",2,126.824194,"2",50,NA
"15313","경기도","부천시","시도",2,126.774841,"2",50,NA
"15314","경기도","부천시","시도",1,126.767047,"2",30,NA
"15315","경기도","부천시","시도",1,126.780943,"2",30,NA
"15316","경기도","부천시","시도",2,126.788186,"2",30,NA
"15317","경기도","부천시","시도",1,126.807506,"2",30,NA
"15318","경기도","부천시","시도",1,126.797954,"2",30,NA
"15319","경기도","부천시","시도",1,126.8034227,"2",50,NA
"15320","경기도","부천시","일반국도",1,126.764663,"2",50,NA
"15321","경기도","부천시","시도",2,126.823005,"2",50,NA
"15322","경기도","부천시","시도",1,126.793988,"2",50,NA
"15323","경기도","부천시","시도",1,126.802712,"1",30,NA
"15324","경기도","부천시","시도",1,126.807357,"2",30,NA
"15325","경기도","부천시","시도",2,126.797391,"2",30,NA
"15326","경기도","부천시","시도",2,126.798819,"1",30,NA
"15327","경기도","부천시","시도",1,126.772269,"1",30,NA
"15328","경기도","부천시","시도",1,126.7714292,"2",30,NA
"15329","경기도","부천시","시도",2,126.765301,"2",30,NA
"15330","경기도","부천시","시도",2,126.762876,"2",30,NA
"15331","경기도","부천시","시도",1,126.762876,"2",30,NA
"15332","경기도","부천시","시도",2,127.805551,"2",30,NA
"15333","경기도","부천시","시도",2,126.785103,"2",30,NA
"15334","경기도","부천시","시도",1,126.7608007,"1",50,NA
"15679","경기도","부천시","시도",1,126.751833,"2",30,NA
"16029","경기도","부천시","일반국도",1,126.785882,"2",50,NA
"16074","경기도","부천시","시도",3,126.802712,"1",30,NA
"16075","경기도","부천시","시도",3,126.8072636,"2",30,NA
"16076","경기도","부천시","시도",3,126.797455735,"2",30,NA
"16098","경기도","부천시","시도",1,126.782146,"2",30,NA
"16099","경기도","부천시","시도",2,126.797633,"2",30,NA
"16100","경기도","부천시","일반국도",1,126.763817,"2",60,NA
"16101","경기도","부천시","시도",1,126.778205,"2",50,NA
"16102","경기도","부천시","시도",1,126.750446,"2",50,NA
"16103","경기도","부천시","시도",2,127.196127,"1",70,NA
"16104","경기도","부천시","시도",1,127.203749,"2",30,NA
"16105","경기도","부천시","시도",2,127.085859,"2",30,NA
"16106","경기도","부천시","시도",1,126.776734,"2",30,NA
"16107","경기도","부천시","시도",1,126.751819,"2",60,NA
"16108","경기도","부천시","시도",1,126.7559984,"2",30,NA
"16109","경기도","부천시","시도",2,126.752918332,"2",50,NA
"16110","경기도","부천시","시도",2,126.802869,"2",30,NA
"16111","경기도","부천시","일반국도",1,126.792783,"2",30,NA
"16112","경기도","부천시","시도",1,126.804109,"2",30,NA
"16113","경기도","부천시","시도",1,126.826091,"2",30,NA
"16114","경기도","부천시","시도",1,126.808121,"2",30,NA
"16115","경기도","부천시","시도",2,126.774459,"2",50,NA
"16116","경기도","부천시","시도",2,126.8133466,"1",60,NA
"16117","경기도","부천시","시도",2,126.8030141,"2",70,NA
"16118","경기도","부천시","시도",2,126.771917,"1",50,NA
"16119","경기도","부천시","시도",1,126.805852,"2",50,NA
"16120","경기도","부천시","시도",2,126.768717,"2",50,NA
"16121","경기도","부천시","시도",1,126.8030141,"2",50,NA
"16122","경기도","부천시","시도",2,126.772397,"2",30,NA
"16123","경기도","부천시","시도",1,126.771679,"2",50,NA
"16124","경기도","부천시","시도",1,126.809104,"2",50,NA
"16125","경기도","부천시","시도",1,126.759795,"2",50,NA
"16238","경기도","부천시","시도",1,126.765892,"2",50,NA
"16305","경기도","부천시","시도",2,126.811909,"2",50,NA
"16371","경기도","부천시","시도",2,126.804785,"2",30,NA
"16405","경기도","부천시","시도",2,126.810188,"2",30,NA
"16417","경기도","부천시","시도",2,126.764417,"2",50,NA
"16418","경기도","부천시","시도",2,126.765215,"2",50,NA
"16419","경기도","부천시","시도",2,126.765215,"2",50,NA
"16420","경기도","부천시","시도",2,126.753214,"2",50,NA
"16421","경기도","부천시","시도",2,126.812571,"2",30,NA
"16422","경기도","부천시","시도",1,126.812825,"1",50,NA
"16423","경기도","부천시","시도",2,126.812255,"2",30,NA
"16424","경기도","부천시","일반국도",2,126.763884,"2",50,NA
"16425","경기도","부천시","시도",2,126.769658,"2",50,NA
"16426","경기도","부천시","시도",2,126.743806,"2",30,NA
"16427","경기도","부천시","시도",1,126.762154,"2",50,NA
"16428","경기도","부천시","시도",1,126.752314,"2",30,NA
"16429","경기도","부천시","시도",2,126.813163,"2",30,NA
"16430","경기도","부천시","시도",2,126.760691,"2",50,NA
"16431","경기도","부천시","시도",1,126.764044,"2",50,NA
"16432","경기도","부천시","시도",2,126.764285,"2",30,NA
"16433","경기도","부천시","일반국도",1,126.784869,"2",60,NA
"16434","경기도","부천시","시도",1,126.789595,"1",70,NA
"16435","경기도","부천시","시도",2,126.789386,"2",50,NA
"16436","경기도","부천시","일반국도",2,126.782132,"2",50,NA
"16437","경기도","부천시","시도",1,127.144067,"2",70,NA
"16438","경기도","부천시","시도",2,127.144067,"2",30,NA
"16439","경기도","부천시","시도",1,126.813529,"2",90,NA
"16440","경기도","부천시","시도",2,126.753055,"2",50,NA
"16441","경기도","부천시","시도",2,126.787116,"2",50,NA
"16454","경기도","부천시","시도",1,126.770096,"2",30,NA
"16455","경기도","부천시","시도",2,126.808925,"2",30,NA
"16456","경기도","부천시","시도",2,126.751708,"2",30,NA
"16457","경기도","부천시","시도",2,126.757539,"2",30,NA
"16458","경기도","부천시","시도",2,126.797673,"2",30,NA
"16459","경기도","부천시","시도",2,126.808717,"2",50,NA
"16460","경기도","부천시","시도",2,126.815839,"2",50,NA
"16461","경기도","부천시","시도",1,126.758999,"2",50,NA
"16462","경기도","부천시","시도",2,126.773895,"2",30,NA
"16463","경기도","부천시","시도",1,126.808742,"2",50,NA
"16464","경기도","부천시","시도",1,126.815665,"1",30,NA
"16465","경기도","부천시","시도",1,126.772762,"1",50,NA
"16517","경기도","부천시","일반국도",2,126.795865,"2",50,NA
"16567","경기도","부천시","시도",1,126.780212,"2",50,NA
"16611","경기도","부천시","시도",3,126.787152532,"2",50,NA
"16612","경기도","부천시","시도",3,126.782039601,"2",30,NA
"16613","경기도","부천시","시도",3,126.797315987,"2",30,NA
"16831","경기도","부천시","시도",3,126.774841,"2",50,NA
"16832","경기도","부천시","시도",3,126.766966107,"2",30,NA
"16833","경기도","부천시","시도",3,126.780979908,"2",30,NA
"16834","경기도","부천시","시도",3,126.788135068,"2",30,NA
"16835","경기도","부천시","시도",3,126.807557177,"2",30,NA
"16836","경기도","부천시","시도",3,126.797947687,"2",30,NA
"16837","경기도","부천시","시도",3,126.803465367,"2",50,NA
"16838","경기도","부천시","일반국도",3,126.764648135,"2",50,NA
"16839","경기도","부천시","시도",3,126.823022443,"2",50,NA
"16840","경기도","부천시","시도",3,126.793942523,"2",50,NA
"17190","경기도","부천시","시도",3,126.780237306,"2",50,NA
"17982","경기도","부천시","시도",3,126.7977583,"2",30,NA
"17983","경기도","부천시","시도",3,126.808935447,"2",50,NA
"17996","경기도","부천시","시도",3,126.816154955,"2",50,NA
"17997","경기도","부천시","시도",3,126.758991424,"2",50,NA
"17998","경기도","부천시","시도",3,126.773937891,"2",30,NA
"17999","경기도","부천시","시도",3,126.808771,"2",50,NA
"18215","경기도","부천시","시도",3,126.76005673,"2",30,NA
"18667","경기도","부천시","일반국도",3,126.784681505,"2",60,NA
"19551","경기도","부천시","시도",3,126.8161768,"1",30,NA
"19552","경기도","부천시","시도",3,126.773327,"1",50,NA
"19553","경기도","부천시","시도",3,126.764132,"2",50,NA
