"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1594","인천광역시","부평구","특별시도",1,126.6963018,"2",50,NA
"1595","인천광역시","부평구","특별시도",1,126.7222644,"2",50,NA
"2295","인천광역시","부평구","일반국도",2,126.7290829,"2",50,NA
"6031","인천광역시","부평구","기타",1,126.7075076,"1",30,NA
"6032","인천광역시","부평구","기타",2,126.7070784,"1",30,NA
"6033","인천광역시","부평구","기타",1,126.708677,"2",30,NA
"6034","인천광역시","부평구","기타",2,126.7303171,"2",30,NA
"6035","인천광역시","부평구","기타",2,126.7088272,"2",30,NA
"6036","인천광역시","부평구","기타",1,126.7365237,"2",30,NA
"6037","인천광역시","부평구","기타",1,126.7424031,"2",50,NA
"6038","인천광역시","부평구","기타",2,126.7467322,"2",30,NA
"6080","인천광역시","부평구","특별시도",2,126.7310598,"2",50,NA
"6081","인천광역시","부평구","특별시도",2,126.7186966,"2",30,NA
"6085","인천광역시","부평구","특별시도",1,126.729113,"1",60,NA
"6094","인천광역시","부평구","특별시도",2,126.7105461,"2",30,NA
"6095","인천광역시","부평구","특별시도",2,126.7421053,"2",50,NA
"6103","인천광역시","부평구","특별시도",1,126.7039507,"1",50,NA
"6998","인천광역시","부평구","기타",1,126.7068289,"2",30,NA
"9888","인천광역시","부평구","일반국도",2,126.6917541,"2",50,NA
"9889","인천광역시","부평구","특별시도",2,126.7045054,"2",50,NA
"9900","인천광역시","부평구","특별시도",1,126.7320764,"2",50,NA
"9901","인천광역시","부평구","특별시도",2,126.7217323,"2",50,NA
"9902","인천광역시","부평구","일반국도",2,126.743822,"2",50,NA
"9907","인천광역시","부평구","특별시도",2,126.731199,"2",50,NA
"9918","인천광역시","부평구","기타",1,126.7287525,"1",50,NA
"9919","인천광역시","부평구","기타",1,126.700546,"1",30,NA
"9920","인천광역시","부평구","특별시도",2,126.7433712,"1",50,NA
"9928","인천광역시","부평구","일반국도",2,126.7078129,"2",50,NA
"9970","인천광역시","부평구","기타",1,126.7485406,"2",30,NA
"10000","인천광역시","부평구","기타",2,126.7314312,"2",50,NA
"10052","인천광역시","부평구","일반국도",1,126.7253489,"2",80,NA
"10092","인천광역시","부평구","특별시도",2,126.6945974,"2",60,NA
"10093","인천광역시","부평구","일반국도",1,126.7233475,"2",50,NA
"10094","인천광역시","부평구","특별시도",2,126.7551025,"2",50,NA
"10209","인천광역시","부평구","특별시도",2,126.7361264,"2",50,NA
"10213","인천광역시","부평구","특별시도",1,126.7269535,"1",50,NA
"10219","인천광역시","부평구","특별시도",1,126.7034514,"2",50,NA
"10240","인천광역시","부평구","기타",1,126.6977209,"2",50,NA
"10242","인천광역시","부평구","특별시도",1,126.7403091,"2",50,NA
"10249","인천광역시","부평구","특별시도",2,126.6894701,"1",50,NA
"10251","인천광역시","부평구","기타",1,126.7351544,"2",30,NA
"12186","인천광역시","부평구","기타",1,126.7421456,"2",50,NA
"12187","인천광역시","부평구","기타",1,126.7404612,"2",30,NA
"12188","인천광역시","부평구","특별시도",2,126.7162194,"2",50,NA
"12280","인천광역시","부평구","특별시도",2,126.703554,"2",50,NA
"12281","인천광역시","부평구","특별시도",1,126.7035325,"2",50,NA
"12282","인천광역시","부평구","기타",2,126.7287077,"2",30,NA
"12287","인천광역시","부평구","특별시도",2,126.7224045,"2",50,NA
"12288","인천광역시","부평구","특별시도",1,126.7523755,"2",60,NA
"12308","인천광역시","부평구","특별시도",2,126.7022987,"2",50,NA
"12309","인천광역시","부평구","특별시도",2,126.7033501,"2",50,NA
