"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2420","부산광역시","사하구","특별시도",3,128.986205,"1",50,NA
"2424","부산광역시","사하구","특별시도",3,128.960317,"2",50,NA
"2425","부산광역시","사하구","특별시도",3,128.987653,"2",50,NA
"2436","부산광역시","사하구","특별시도",3,128.965419,"2",50,NA
"5999","부산광역시","사하구","특별시도",3,128.999891,"2",50,NA
"6000","부산광역시","사하구","특별시도",3,128.960768,"2",30,NA
"7750","부산광역시","사하구","특별시도",3,128.979607,"2",50,NA
"7751","부산광역시","사하구","특별시도",3,128.979575,"2",50,NA
"8872","부산광역시","사하구","특별시도",3,128.997979,"2",60,NA
"8873","부산광역시","사하구","특별시도",3,128.992942,"2",50,NA
"8908","부산광역시","사하구","기타",3,128.966181,"2",30,NA
"11240","부산광역시","사하구","특별시도",3,128.976641,"2",50,NA
"11245","부산광역시","사하구","기타",3,128.981592,"2",30,NA
"11246","부산광역시","사하구","특별시도",3,128.978089,"2",50,NA
"11247","부산광역시","사하구","기타",3,128.976732,"2",30,NA
"12123","부산광역시","사하구","시도",3,128.995653,"3",0,30
"12124","부산광역시","사하구","시도",3,128.969944,"3",0,30
"12127","부산광역시","사하구","시도",3,128.9655907,"3",0,30
"12128","부산광역시","사하구","시도",3,128.9655907,"3",0,30
"13193","부산광역시","사하구","특별시도",3,128.962647,"1",50,NA
"14793","부산광역시","사하구","특별시도",3,128.972982,"2",30,NA
"14794","부산광역시","사하구","특별시도",3,128.966748,"2",30,NA
"14795","부산광역시","사하구","특별시도",3,128.960815,"2",50,NA
"14990","부산광역시","사하구","특별시도",3,128.970782,"2",50,NA
"15015","부산광역시","사하구","특별시도",3,128.977303,"1",50,NA
"15016","부산광역시","사하구","특별시도",3,128.998351,"1",50,NA
"15195","부산광역시","사하구","특별시도",3,128.955454,"2",70,NA
"15196","부산광역시","사하구","특별시도",3,128.990359,"2",50,NA
"15197","부산광역시","사하구","특별시도",3,128.974864,"2",50,NA
"15217","부산광역시","사하구","기타",3,128.986511,"2",50,NA
"15245","부산광역시","사하구","특별시도",3,128.976815,"2",50,NA
"15362","부산광역시","사하구","특별시도",3,128.990383,"2",50,NA
"15394","부산광역시","사하구","특별시도",3,128.959448,"1",60,NA
"15415","부산광역시","사하구","특별시도",3,128.993269,"1",50,NA
"15423","부산광역시","사하구","특별시도",3,128.983145,"2",60,NA
"15427","부산광역시","사하구","특별시도",3,128.956567,"2",70,NA
"15429","부산광역시","사하구","일반국도",3,128.941027,"1",60,NA
"15451","부산광역시","사하구","특별시도",3,128.961867,"2",50,NA
"15493","부산광역시","사하구","특별시도",3,128.977738,"2",50,NA
"15494","부산광역시","사하구","특별시도",3,128.977053,"2",50,NA
"15495","부산광역시","사하구","특별시도",3,128.958935,"2",70,NA
"16771","부산광역시","사하구","특별시도",3,128.994133,"1",70,NA
"16787","부산광역시","사하구","특별시도",3,128.997091,"1",50,NA
"17174","부산광역시","사하구","특별시도",3,128.993895,"1",60,NA
