"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5886","경상남도","산청군","일반국도",2,127.917155,"01",60,NA
"5895","경상남도","산청군","일반국도",3,127.829169,"01",80,NA
"6316","경상남도","산청군","일반국도",1,127.998336,"01",60,NA
"6359","경상남도","산청군","일반국도",1,127.855589,"01",80,NA
"6361","경상남도","산청군","일반국도",1,127.938904,"01",60,NA
"6386","경상남도","산청군","고속국도",1,127.910198,"01",100,NA
"6387","경상남도","산청군","고속국도",2,127.815522,"01",100,NA
"7390","경상남도","산청군","일반국도",3,127.835507,"02",80,NA
"7418","경상남도","산청군","일반국도",2,127.863371,"02",80,NA
"7470","경상남도","산청군","일반국도",1,127.973597,"01",80,NA
"7516","경상남도","산청군","일반국도",3,128.034054,"01",60,NA
"7615","경상남도","산청군","고속국도",2,127.882475,"01",100,7.4
"7616","경상남도","산청군","고속국도",2,127.929547,"01",100,NA
"7623","경상남도","산청군","일반국도",1,128.009769,"01",60,NA
"7902","경상남도","산청군","일반국도",2,127.940256,"01",80,NA
"7910","경상남도","산청군","일반국도",3,127.855546,"01",60,NA
"7924","경상남도","산청군","지방도",2,128.001607,"01",50,NA
"8151","경상남도","산청군","일반국도",1,128.076691,"02",80,NA
"8209","경상남도","산청군","일반국도",1,127.832114,"01",60,NA
"8216","경상남도","산청군","일반국도",1,127.962309,"02",80,NA
"8217","경상남도","산청군","일반국도",2,127.962557,"02",80,NA
"8255","경상남도","산청군","일반국도",2,127.898082,"01",60,NA
"8313","경상남도","산청군","일반국도",2,127.875589,"01",30,NA
"8417","경상남도","산청군","일반국도",2,127.845164,"01",60,NA
"8439","경상남도","산청군","지방도",2,128.009944,"01",30,NA
"8440","경상남도","산청군","지방도",1,127.847407,"01",60,NA
"8441","경상남도","산청군","일반국도",1,127.881049,"01",60,NA
"8442","경상남도","산청군","지방도",1,128.032329,"01",60,NA
