"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3406","강원도","삼척시","고속국도",2,129.145441,"1",100,NA
"3410","강원도","삼척시","일반국도",3,129.1773889,"2",50,NA
"5078","강원도","삼척시","일반국도",3,129.0416408,"1",50,NA
"6672","강원도","삼척시","일반국도",3,129.1217201,"2",60,NA
"9662","강원도","삼척시","일반국도",3,129.337644,"1",80,199
"9711","강원도","삼척시","일반국도",3,129.337644,"1",80,199
"10006","강원도","삼척시","일반국도",3,129.219869,"1",80,199
"10336","강원도","삼척시","일반국도",3,129.219869,"1",80,199
"10606","강원도","삼척시","일반국도",3,129.337644,"1",80,199
"10607","강원도","삼척시","일반국도",3,129.337644,"1",80,199
"11079","강원도","삼척시","일반국도",3,129.155259,"2",60,NA
"11081","강원도","삼척시","일반국도",3,129.0573655,"2",60,NA
"11082","강원도","삼척시","일반국도",3,129.049955,"2",60,NA
"11102","강원도","삼척시","일반국도",3,129.219869,"1",80,199
"11103","강원도","삼척시","일반국도",3,129.219869,"1",80,199
"11120","강원도","삼척시","일반국도",3,129.1218941,"2",60,NA
"11133","강원도","삼척시","일반국도",3,129.1028758,"1",60,NA
"16067","강원도","삼척시","일반국도",3,129.178575,"2",50,NA
"17524","강원도","삼척시","일반국도",3,128.9417126,"1",30,NA
"17826","강원도","삼척시","일반국도",3,129.1026397,"2",60,NA
