"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4236","경상북도","상주","시도",1,128.5758283,"2",30,NA
"4239","경상북도","상주","일반국도",1,128.9213052,"2",50,NA
"4243","경상북도","상주","시도",2,128.9477202,"1",30,NA
"5590","경상북도","상주","지방도",1,128.1596748,"1",30,NA
"5591","경상북도","상주","시도",2,128.1585556,"2",30,NA
"5592","경상북도","상주","시도",2,128.1564534,"1",30,NA
"5593","경상북도","상주","시도",1,128.1603007,"2",30,NA
"5594","경상북도","상주","시도",2,128.1724292,"1",30,NA
"5629","경상북도","상주","지방도",2,127.8707383,"1",60,NA
"5630","경상북도","상주","지방도",1,128.1480045,"1",60,NA
"5631","경상북도","상주","지방도",1,128.1044084,"1",60,NA
"5983","경상북도","상주","지방도",2,127.9346888,"1",60,NA
"5984","경상북도","상주","지방도",2,127.9346888,"1",60,NA
"5985","경상북도","상주","지방도",1,127.9783375,"1",60,NA
"5986","경상북도","상주","지방도",1,128.6050658,"1",60,NA
"10837","경상북도","상주","지방도",2,129.108633,"1",60,NA
"10882","경상북도","상주","일반국도",1,128.1885368,"1",50,NA
"10883","경상북도","상주","시도",1,128.0264775,"2",50,NA
"10972","경상북도","상주","일반국도",1,128.1472599,"2",50,NA
"10973","경상북도","상주","일반국도",1,128.1504549,"2",60,NA
"10974","경상북도","상주","일반국도",1,128.7348839,"2",50,NA
"11024","경상북도","상주","일반국도",1,128.1528929,"2",50,NA
"11025","경상북도","상주","일반국도",2,128.1609485,"2",50,NA
"11026","경상북도","상주","시도",1,128.1596458,"2",50,NA
"11027","경상북도","상주","시도",2,128.4199542,"2",50,NA
"11161","경상북도","상주","일반국도",1,128.1192181,"1",60,NA
"11162","경상북도","상주","일반국도",2,128.5831421,"2",80,NA
"11181","경상북도","상주","기타",2,128.3022334,"1",70,NA
"11206","경상북도","상주","고속국도",2,128.5756871,"2",100,NA
"11211","경상북도","상주","일반국도",1,128.5216824,"2",80,NA
"11228","경상북도","상주","기타",3,128.1200755,"1",60,NA
"11229","경상북도","상주","기타",3,128.0782324,"1",60,NA
"11420","경상북도","상주","시도",3,128.1514532,"2",50,NA
"12064","경상북도","상주","일반국도",2,128.1525474,"2",60,NA
"13157","경상북도","상주","일반국도",2,128.1511659,"2",50,NA
"13408","경상북도","상주","시도",1,128.2129268,"2",60,NA
"13537","경상북도","상주","일반국도",2,128.1514851,"1",60,NA
"13617","경상북도","상주","기타",1,128.1532929,"2",60,NA
"13640","경상북도","상주","일반국도",1,128.0942628,"2",60,NA
"13684","경상북도","상주","일반국도",1,128.028979,"1",60,NA
"13713","경상북도","상주","일반국도",2,128.1505893,"2",50,NA
"14071","경상북도","상주","시도",2,128.192122,"2",50,NA
"14118","경상북도","상주","지방도",2,127.8910197,"1",30,NA
"14119","경상북도","상주","지방도",2,128.5923768,"1",30,NA
"14257","경상북도","상주","시도",1,128.1432239,"2",60,NA
"17293","경상북도","상주","일반국도",2,128.564071,"1",60,NA
