"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5109","경상북도","상주시","2",2,128.169364,"1",80,NA
"5110","경상북도","상주시","2",2,128.154348,"1",60,NA
"5111","경상북도","상주시","5",1,128.212619,"1",60,NA
"5112","경상북도","상주시","2",2,128.255167,"1",80,NA
"5113","경상북도","상주시","2",1,128.151826,"1",60,NA
"5114","경상북도","상주시","2",1,128.149558,"1",50,NA
"5115","경상북도","상주시","2",2,128.092971,"1",60,NA
"5116","경상북도","상주시","2",2,128.028884,"1",60,NA
"5117","경상북도","상주시","5",1,128.142596,"1",60,NA
"5118","경상북도","상주시","4",1,128.153796,"1",60,NA
"5119","경상북도","상주시","5",1,128.151266,"01",50,NA
"5120","경상북도","상주시","5",2,128.173541,"01",60,NA
"5121","경상북도","상주시","4",2,128.072987,"1",60,NA
"5122","경상북도","상주시","4",3,128.118958,"1",60,NA
"5123","경상북도","상주시","4",3,128.157255,"1",60,NA
"5124","경상북도","상주시","2",2,128.151418,"01",50,NA
"5125","경상북도","상주시","5",2,128.165805,"01",50,NA
"5126","경상북도","상주시","2",1,128.147488,"01",60,NA
"5127","경상북도","상주시","2",1,127.938301,"1",60,NA
"5128","경상북도","상주시","4",1,128.027345,"1",60,NA
"5129","경상북도","상주시","5",1,128.188479,"1",50,NA
"5130","경상북도","상주시","2",1,128.151208,"01",50,NA
