"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2223","제주특별자치도","서귀포시","지방도",1,126.377751,"1",50,NA
"2224","제주특별자치도","서귀포시","지방도",1,126.844391,"1",50,NA
"2225","제주특별자치도","서귀포시","지방도",1,126.356121,"1",80,13.8
"2226","제주특별자치도","서귀포시","지방도",1,126.356121,"1",80,13.8
"2476","제주특별자치도","서귀포시","지방도",1,126.304631,"1",30,NA
"2576","제주특별자치도","서귀포시","지방도",1,126.841441,"2",60,NA
"2577","제주특별자치도","서귀포시","지방도",2,126.642201,"2",60,NA
"2578","제주특별자치도","서귀포시","지방도",2,126.617171,"2",50,NA
"2579","제주특별자치도","서귀포시","지방도",2,126.239561,"1",30,NA
"2580","제주특별자치도","서귀포시","지방도",2,126.897221,"1",30,NA
"2583","제주특별자치도","서귀포시","지방도",1,126.253311,"2",60,NA
"2584","제주특별자치도","서귀포시","지방도",2,126.561101,"2",50,NA
"3531","제주특별자치도","서귀포시","시도",2,126.567221,"2",50,NA
"3532","제주특별자치도","서귀포시","지방도",2,126.592891,"2",70,NA
"3533","제주특별자치도","서귀포시","지방도",2,126.381681,"1",70,NA
"3534","제주특별자치도","서귀포시","지방도",2,126.442381,"1",70,NA
"3535","제주특별자치도","서귀포시","지방도",1,126.542911,"1",30,NA
"3536","제주특별자치도","서귀포시","지방도",2,126.346031,"1",80,NA
"6172","제주특별자치도","서귀포시","지방도",2,126.744321,"2",50,NA
"6173","제주특별자치도","서귀포시","지방도",1,126.446441,"1",50,NA
"6174","제주특별자치도","서귀포시","지방도",1,126.413431,"2",70,NA
"6175","제주특별자치도","서귀포시","지방도",1,126.529631,"1",70,NA
"6176","제주특별자치도","서귀포시","지방도",2,126.458821,"1",30,NA
"6177","제주특별자치도","서귀포시","지방도",2,126.901551,"1",50,NA
"6179","제주특별자치도","서귀포시","지방도",2,126.553271,"2",60,NA
"6180","제주특별자치도","서귀포시","지방도",1,126.912901,"2",50,NA
"6181","제주특별자치도","서귀포시","지방도",2,126.900391,"1",50,NA
"6182","제주특별자치도","서귀포시","지방도",2,126.499691,"2",50,NA
"6183","제주특별자치도","서귀포시","지방도",2,126.438791,"1",70,NA
"6184","제주특별자치도","서귀포시","지방도",1,126.515771,"1",50,NA
"6185","제주특별자치도","서귀포시","지방도",2,126.489311,"1",70,NA
"6186","제주특별자치도","서귀포시","지방도",2,126.561141,"2",50,NA
"6208","제주특별자치도","서귀포시","지방도",1,126.353891,"1",50,NA
"6209","제주특별자치도","서귀포시","지방도",1,126.570421,"1",50,NA
"6210","제주특별자치도","서귀포시","지방도",2,126.351411,"2",80,NA
"6211","제주특별자치도","서귀포시","지방도",1,126.352361,"2",80,NA
