"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"159","대구광역시","서부","일반국도",1,128.5480769,"1",40,NA
"2211","대구광역시","서부","시도",1,128.5463228,"2",50,NA
"2212","대구광역시","서부","시도",1,128.5793569,"2",30,NA
"2213","대구광역시","서부","시도",1,128.551773,"2",30,NA
"2214","대구광역시","서부","시도",2,128.5522719,"2",30,NA
"2215","대구광역시","서부","시도",2,128.5633065,"2",50,NA
"2227","대구광역시","서부","시도",2,128.5686387,"2",60,NA
"2228","대구광역시","서부","시도",1,128.5711386,"2",50,NA
"2253","대구광역시","서부","시도",2,128.5628376,"2",40,NA
"2271","대구광역시","서부","시도",2,128.5333194,"1",60,NA
"2328","대구광역시","서부","시도",1,128.5499598,"2",30,NA
"2329","대구광역시","서부","시도",2,128.5497506,"2",30,NA
"2391","대구광역시","서부","시도",2,128.5655918,"2",40,NA
"2401","대구광역시","서부","일반국도",2,128.5643901,"2",60,NA
"2402","대구광역시","서부","시도",2,128.5546644,"2",50,NA
"2403","대구광역시","서부","시도",1,128.5379328,"2",60,NA
"2404","대구광역시","서부","시도",2,128.5565366,"2",50,NA
"2759","대구광역시","서부","시도",1,128.5649051,"2",50,NA
"3270","대구광역시","서부","시도",2,128.5546752,"2",50,NA
"3401","대구광역시","서부","시도",1,128.5553564,"2",50,NA
"5324","대구광역시","서부","시도",1,128.5464354,"2",50,NA
"5332","대구광역시","서부","일반국도",2,128.5500028,"2",60,NA
"5357","대구광역시","서부","시도",2,128.5709025,"2",50,NA
"6851","대구광역시","서부","시도",1,128.5505124,"2",50,NA
"6852","대구광역시","서부","시도",2,128.5372569,"2",60,NA
"6861","대구광역시","서부","시도",2,128.567818,"2",50,NA
"6881","대구광역시","서부","시도",1,128.5774257,"1",50,NA
"6900","대구광역시","서부","시도",1,128.5714068,"2",50,NA
"6901","대구광역시","서부","시도",1,128.5714068,"2",50,NA
"6919","대구광역시","서부","시도",2,128.5738422,"2",60,NA
"6928","대구광역시","서부","일반국도",1,128.555812,"2",50,NA
"6949","대구광역시","서부","시도",1,128.5695775,"2",60,NA
"6954","대구광역시","서부","일반국도",2,128.548014,"2",60,NA
"6980","대구광역시","서부","시도",1,128.5468324,"2",50,NA
"13050","대구광역시","서부","일반국도",1,128.5520734,"2",60,NA
"13339","대구광역시","서부","시도",2,128.5668738,"2",30,NA
"13340","대구광역시","서부","시도",1,128.5656937,"2",30,NA
"13348","대구광역시","서부","시도",1,128.5781874,"2",40,NA
"13349","대구광역시","서부","시도",2,128.5707523,"2",50,NA
"16493","대구광역시","서부","시도",2,128.5720291,"2",50,NA
"17692","대구광역시","서부","시도",2,128.5465803,"2",50,NA
"17697","대구광역시","서부","시도",2,128.5546269,"2",50,NA
"17698","대구광역시","서부","시도",1,128.5715892,"2",50,NA
