"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"286","충청남도","서북구","시도",3,127.1047271,"4",0,NA
"1928","충청남도","서북구","시도",3,127.138734,"4",0,NA
"1954","충청남도","서북구","시도",3,127.143943,"4",0,NA
"1979","충청남도","서북구","시도",3,127.1414914,"4",0,NA
"2789","충청남도","서북구","시도",3,127.1104026,"4",0,NA
"2845","충청남도","서북구","시도",3,127.1373786,"4",0,NA
"4681","충청남도","서북구","시도",3,127.141221,"4",0,NA
"4682","충청남도","서북구","시도",3,127.1094622,"4",0,NA
"4683","충청남도","서북구","시도",3,127.1087561,"4",0,NA
"4684","충청남도","서북구","시도",3,127.1190845,"4",0,NA
"4685","충청남도","서북구","시도",3,127.1277828,"4",0,NA
"4686","충청남도","서북구","시도",3,127.1243279,"4",0,NA
"4687","충청남도","서북구","시도",3,127.1306047,"4",0,NA
"4688","충청남도","서북구","시도",3,127.1232324,"4",0,NA
"4689","충청남도","서북구","시도",3,127.1085263,"4",0,NA
"4690","충청남도","서북구","시도",3,127.1152675,"4",0,NA
"5022","충청남도","서북구","시도",3,127.1524188,"4",0,NA
"5023","충청남도","서북구","시도",3,127.1346453,"4",0,NA
"5024","충청남도","서북구","시도",3,127.1102874,"4",0,NA
"5025","충청남도","서북구","시도",3,127.1276177,"4",0,NA
"5026","충청남도","서북구","시도",3,127.125162,"4",0,NA
"5027","충청남도","서북구","시도",3,127.1322727,"4",0,NA
"5028","충청남도","서북구","시도",3,127.133939,"4",0,NA
"5029","충청남도","서북구","시도",3,127.144458,"4",0,NA
"5030","충청남도","서북구","시도",3,127.1332339,"4",0,NA
"5031","충청남도","서북구","시도",3,127.1336414,"4",0,NA
"5032","충청남도","서북구","시도",3,127.1409929,"4",0,NA
"5033","충청남도","서북구","시도",3,127.1366411,"4",0,NA
"5034","충청남도","서북구","시도",3,127.1314724,"4",0,NA
"5035","충청남도","서북구","시도",3,127.1434687,"4",0,NA
"5036","충청남도","서북구","시도",3,127.1183203,"4",0,NA
"5037","충청남도","서북구","시도",3,127.1355401,"4",0,NA
"5038","충청남도","서북구","시도",3,127.1211611,"4",0,NA
"5039","충청남도","서북구","시도",3,127.124537,"4",0,NA
"5040","충청남도","서북구","시도",3,127.1438789,"4",0,NA
"5041","충청남도","서북구","시도",3,127.1255763,"4",0,NA
"5042","충청남도","서북구","시도",3,127.1113834,"4",0,NA
"5043","충청남도","서북구","시도",3,127.1017766,"4",0,NA
"5044","충청남도","서북구","시도",3,127.107685,"4",0,NA
"5045","충청남도","서북구","시도",3,127.1047271,"4",0,NA
"5047","충청남도","서북구","시도",3,127.138734,"4",0,NA
"5048","충청남도","서북구","시도",3,127.1264335,"4",0,NA
"5049","충청남도","서북구","시도",3,127.1415723,"4",0,NA
"5050","충청남도","서북구","시도",3,127.1293554,"4",0,NA
"5051","충청남도","서북구","시도",3,127.1341179,"4",0,NA
"5052","충청남도","서북구","시도",3,127.1245066,"4",0,NA
"5053","충청남도","서북구","시도",3,127.1292364,"4",0,NA
"13175","충청남도","서북구","시도",3,127.1379501,"4",0,NA
"13176","충청남도","서북구","시도",3,127.1501999,"4",0,NA
"13177","충청남도","서북구","시도",3,127.1077406,"4",0,NA
"13178","충청남도","서북구","시도",3,127.1222537,"4",0,NA
"13179","충청남도","서북구","시도",3,127.1424697,"4",0,NA
"13180","충청남도","서북구","시도",3,127.1320714,"4",0,NA
"13181","충청남도","서북구","시도",3,127.1231053,"4",0,NA
"13182","충청남도","서북구","시도",3,127.110379,"4",0,NA
"13183","충청남도","서북구","시도",3,127.1085701,"4",0,NA
"13184","충청남도","서북구","시도",3,127.146526,"4",0,NA
"13185","충청남도","서북구","시도",3,127.098593,"4",0,NA
"13186","충청남도","서북구","시도",3,127.1193006,"4",0,NA
"13187","충청남도","서북구","시도",3,127.1412988,"4",0,NA
"13188","충청남도","서북구","시도",3,127.1539486,"4",0,NA
"13189","충청남도","서북구","시도",3,127.1559433,"4",0,NA
"13190","충청남도","서북구","시도",3,127.126633,"4",0,NA
"13248","충청남도","서북구","시도",3,127.1262076,"4",0,NA
"13249","충청남도","서북구","시도",3,127.1448778,"4",0,NA
"13250","충청남도","서북구","시도",3,127.145106,"4",0,NA
"13251","충청남도","서북구","시도",3,127.1394509,"4",0,NA
"13252","충청남도","서북구","시도",3,127.1488654,"4",0,NA
