"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4524","서울특별시","서초구","특별시도",1,126.993807,"2",50,NA
"4551","서울특별시","서초구","특별시도",1,127.001966,"2",60,NA
"4557","서울특별시","서초구","특별시도",1,126.986922,"1",80,NA
"4558","서울특별시","서초구","특별시도",2,127.018424,"1",80,NA
"4562","서울특별시","서초구","특별시도",2,126.993806,"2",30,NA
"4563","서울특별시","서초구","특별시도",2,126.993034,"2",30,NA
"11285","서울특별시","서초구","고속국도",2,127.002679,"1",80,NA
"11309","서울특별시","서초구","특별시도",1,127.077931,"1",60,NA
"11314","서울특별시","서초구","특별시도",1,127.023833,"1",30,NA
"12342","서울특별시","서초구","고속국도",1,127.045884,"1",40,NA
"12348","서울특별시","서초구","특별시도",1,127.010182,"1",60,NA
"12350","서울특별시","서초구","특별시도",2,127.016503,"1",50,NA
"12372","서울특별시","서초구","특별시도",2,127.006271,"1",60,NA
"12373","서울특별시","서초구","특별시도",1,126.989491,"2",50,NA
"12374","서울특별시","서초구","특별시도",2,127.059746,"2",60,NA
"12375","서울특별시","서초구","특별시도",2,126.995453,"2",50,NA
"12391","서울특별시","서초구","특별시도",1,126.986972,"1",60,NA
"12392","서울특별시","서초구","특별시도",1,126.982442,"2",50,NA
"12393","서울특별시","서초구","특별시도",1,126.998838,"2",60,NA
"12394","서울특별시","서초구","고속국도",2,127.020537,"1",80,NA
"12395","서울특별시","서초구","고속국도",1,127.019808,"1",80,NA
"12632","서울특별시","서초구","특별시도",2,126.991028,"2",60,NA
"12633","서울특별시","서초구","일반국도",2,127.013242,"2",60,NA
"12877","서울특별시","서초구","특별시도",1,127.023263,"2",50,NA
"12878","서울특별시","서초구","특별시도",2,127.025194,"2",50,NA
"12879","서울특별시","서초구","특별시도",1,126.982928,"2",50,NA
"12880","서울특별시","서초구","특별시도",1,127.045991,"2",60,NA
"12894","서울특별시","서초구","일반국도",2,127.012764,"2",60,NA
"12895","서울특별시","서초구","특별시도",1,126.988126,"2",50,NA
"12900","서울특별시","서초구","특별시도",2,127.02981,"2",60,NA
"12901","서울특별시","서초구","특별시도",2,127.016037,"2",60,NA
"12932","서울특별시","서초구","특별시도",2,127.012857,"2",50,NA
"12933","서울특별시","서초구","특별시도",1,127.01167,"2",60,NA
"12934","서울특별시","서초구","특별시도",1,126.991117,"2",60,NA
"13203","서울특별시","서초구","특별시도",1,127.007223,"2",60,NA
