"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"58","경기도","성남시","고속국도",3,127.069353402,"1",100,NA
"123","경기도","성남시","시도",3,127.113252,"2",50,NA
"124","경기도","성남시","시도",3,127.152812436,"2",60,NA
"3272","경기도","성남시","기타",3,127.1259468,"4",0,NA
"3273","경기도","성남시","기타",3,127.1592688,"4",0,NA
"3274","경기도","성남시","기타",3,127.157241,"4",0,NA
"3275","경기도","성남시","기타",3,127.1502708,"4",0,NA
"3276","경기도","성남시","기타",3,127.1514735,"4",0,NA
"3277","경기도","성남시","기타",3,127.1688723,"4",0,NA
"3278","경기도","성남시","일반국도",3,127.1283229,"4",0,NA
"3279","경기도","성남시","일반국도",3,127.1284381,"4",0,NA
"3280","경기도","성남시","기타",3,127.1437352,"4",0,NA
"3281","경기도","성남시","기타",3,127.1358729,"4",0,NA
"3282","경기도","성남시","기타",3,127.1400813,"4",0,NA
"3283","경기도","성남시","기타",3,127.1483947,"4",0,NA
"3284","경기도","성남시","지방도",3,127.1398136,"4",0,NA
"3285","경기도","성남시","기타",3,127.1412629,"4",0,NA
"3286","경기도","성남시","기타",3,127.1421594,"4",0,NA
"3287","경기도","성남시","기타",3,127.1365738,"4",0,NA
"3288","경기도","성남시","기타",3,127.1392078,"4",0,NA
"3289","경기도","성남시","기타",3,127.1457743,"4",0,NA
"3290","경기도","성남시","기타",3,127.1509587,"4",0,NA
"3291","경기도","성남시","기타",3,127.1470188,"4",0,NA
"3292","경기도","성남시","기타",3,127.1500853,"4",0,NA
"3293","경기도","성남시","지방도",3,127.102221,"4",0,NA
"3294","경기도","성남시","기타",3,127.100748,"4",0,NA
"3295","경기도","성남시","기타",3,127.094484,"4",0,NA
"3296","경기도","성남시","기타",3,127.093456,"4",0,NA
"3297","경기도","성남시","기타",3,127.097741,"4",0,NA
"3298","경기도","성남시","기타",3,127.1499048,"4",0,NA
"3299","경기도","성남시","기타",3,127.1484938,"4",0,NA
"3300","경기도","성남시","기타",3,127.1440624,"4",0,NA
"3301","경기도","성남시","기타",3,127.144501,"4",0,NA
"3302","경기도","성남시","기타",3,127.1464468,"4",0,NA
"3303","경기도","성남시","일반국도",3,127.1273548,"4",0,NA
"3304","경기도","성남시","기타",3,127.1287299,"4",0,NA
"3305","경기도","성남시","일반국도",3,127.127332,"4",0,NA
"3306","경기도","성남시","기타",3,127.1314874,"4",0,NA
"3307","경기도","성남시","기타",3,127.1383154,"4",0,NA
"3308","경기도","성남시","기타",3,127.1383967,"4",0,NA
"3309","경기도","성남시","기타",3,127.133584,"4",0,NA
"3310","경기도","성남시","기타",3,127.1311611,"4",0,NA
"3311","경기도","성남시","기타",3,127.132117,"4",0,NA
"3312","경기도","성남시","기타",3,127.131681,"4",0,NA
"3313","경기도","성남시","기타",3,127.1430145,"4",0,NA
"3314","경기도","성남시","기타",3,127.1408864,"4",0,NA
"3315","경기도","성남시","기타",3,127.135465,"4",0,NA
"3316","경기도","성남시","기타",3,127.1322181,"4",0,NA
"3317","경기도","성남시","기타",3,127.1301768,"4",0,NA
"3318","경기도","성남시","일반국도",3,127.1283766,"4",0,NA
"3319","경기도","성남시","기타",3,127.1322928,"4",0,NA
"3320","경기도","성남시","기타",3,127.127461,"4",0,NA
"3321","경기도","성남시","일반국도",3,127.1280168,"4",0,NA
"3322","경기도","성남시","기타",3,127.1316917,"4",0,NA
"3337","경기도","성남시","기타",3,127.1425645,"4",0,NA
"3338","경기도","성남시","기타",3,127.1386681,"4",0,NA
"3339","경기도","성남시","기타",3,127.1418859,"4",0,NA
"3340","경기도","성남시","기타",3,127.151741,"4",0,NA
"3341","경기도","성남시","기타",3,127.1464502,"4",0,NA
"3342","경기도","성남시","기타",3,127.149381,"4",0,NA
"3343","경기도","성남시","기타",3,127.149311,"4",0,NA
"3344","경기도","성남시","기타",3,127.1459283,"4",0,NA
"3345","경기도","성남시","기타",3,127.1432424,"4",0,NA
"3346","경기도","성남시","기타",3,127.1528147,"4",0,NA
"3393","경기도","성남시","기타",3,127.100761,"4",0,NA
"3530","경기도","성남시","기타",3,127.095531,"4",0,NA
"3584","경기도","성남시","기타",3,127.155582,"1",30,NA
"3585","경기도","성남시","기타",3,127.127661,"2",30,NA
"3586","경기도","성남시","기타",3,127.1017516,"2",60,NA
"3587","경기도","성남시","기타",3,127.1126676,"2",30,NA
"3588","경기도","성남시","기타",3,127.1120732,"2",30,NA
"3589","경기도","성남시","기타",3,127.1121294,"2",30,NA
"3590","경기도","성남시","기타",3,127.1259824,"4",0,NA
"3591","경기도","성남시","기타",3,127.1119564,"2",30,NA
"3592","경기도","성남시","기타",3,127.1007941,"2",30,NA
"3593","경기도","성남시","기타",3,127.1507148,"2",30,NA
"3594","경기도","성남시","기타",3,127.1404773,"2",30,NA
"3595","경기도","성남시","기타",3,127.1320889,"2",30,NA
"3596","경기도","성남시","기타",3,127.133317,"2",30,NA
"3597","경기도","성남시","기타",3,127.1299592,"2",30,NA
"3598","경기도","성남시","기타",3,127.1660861,"2",30,NA
"3599","경기도","성남시","기타",3,127.1619019,"2",30,NA
"3600","경기도","성남시","기타",3,127.1603168,"2",30,NA
"3601","경기도","성남시","기타",3,127.1661304,"2",30,NA
"3602","경기도","성남시","기타",3,127.1585846,"2",30,NA
"3603","경기도","성남시","기타",3,127.1437089,"2",30,NA
"3604","경기도","성남시","기타",3,127.1297475,"2",30,NA
"3605","경기도","성남시","기타",3,127.0902671,"2",50,NA
"3606","경기도","성남시","기타",3,127.1050134,"2",50,NA
"3607","경기도","성남시","기타",3,127.1136596,"2",50,NA
"3608","경기도","성남시","기타",3,127.1089714,"1",60,NA
"3609","경기도","성남시","기타",3,127.1578362,"1",30,NA
"3611","경기도","성남시","기타",3,127.089587,"2",30,NA
"3612","경기도","성남시","기타",3,127.1455135,"2",30,NA
"3613","경기도","성남시","기타",3,127.1466141,"2",30,NA
"3614","경기도","성남시","기타",3,127.1198002,"2",30,NA
"3615","경기도","성남시","기타",3,127.1197315,"2",30,NA
"3616","경기도","성남시","기타",3,127.1269367,"2",30,NA
"3617","경기도","성남시","기타",3,127.1156452,"2",30,NA
"3618","경기도","성남시","기타",3,127.1298764,"2",30,NA
"3619","경기도","성남시","기타",3,127.1333893,"2",30,NA
"3620","경기도","성남시","기타",3,127.1167538,"2",30,NA
"3621","경기도","성남시","기타",3,127.1110596,"2",30,NA
"3622","경기도","성남시","기타",3,127.1053275,"2",30,NA
"3623","경기도","성남시","기타",3,127.1296532,"2",30,NA
"3624","경기도","성남시","기타",3,127.0689381,"2",30,NA
"3625","경기도","성남시","기타",3,127.1264932,"2",30,NA
"3626","경기도","성남시","기타",3,127.1224032,"2",30,NA
"3627","경기도","성남시","기타",3,127.1256267,"2",30,NA
"3628","경기도","성남시","기타",3,127.0989134,"2",30,NA
"3629","경기도","성남시","기타",3,127.1163459,"2",30,NA
"3630","경기도","성남시","기타",3,127.1177564,"2",30,NA
"3631","경기도","성남시","기타",3,127.1303783,"2",30,NA
"3632","경기도","성남시","기타",3,127.1396854,"2",30,NA
"3633","경기도","성남시","기타",3,127.175799,"1",30,NA
