"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4525","서울특별시","성동구","특별시도",1,127.036727,"2",60,NA
"12344","서울특별시","성동구","특별시도",1,127.019293,"1",40,NA
"12416","서울특별시","성동구","특별시도",1,127.019615,"2",60,NA
"12836","서울특별시","성동구","특별시도",2,127.064966,"2",50,NA
"12897","서울특별시","성동구","고속국도",2,127.048921,"1",80,NA
"12925","서울특별시","성동구","고속국도",1,127.038202,"1",70,NA
"12926","서울특별시","성동구","고속국도",2,127.057781,"1",80,NA
"17539","서울특별시","성동구","특별시도",2,127.045535,"2",60,NA
"17648","서울특별시","성동구","특별시도",2,127.035574,"2",60,NA
"17649","서울특별시","성동구","특별시도",2,127.037718,"2",60,NA
