"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4526","서울특별시","성북구","특별시도",2,127.005595,"2",50,NA
"4527","서울특별시","성북구","특별시도",2,127.068976,"2",60,NA
"10036","서울특별시","성북구","특별시도",1,127.03544,"1",60,NA
"11298","서울특별시","성북구","특별시도",1,127.031776,"2",60,NA
"11316","서울특별시","성북구","특별시도",2,127.034914,"1",60,NA
"12875","서울특별시","성북구","특별시도",1,127.029616,"2",60,NA
"12882","서울특별시","성북구","특별시도",2,127.022593,"2",50,NA
"12887","서울특별시","성북구","특별시도",1,127.051869,"1",60,NA
"12888","서울특별시","성북구","특별시도",1,127.02188,"1",50,NA
"12929","서울특별시","성북구","특별시도",1,127.031223,"1",50,NA
"12930","서울특별시","성북구","특별시도",1,127.053471,"1",70,NA
"12953","서울특별시","성북구","특별시도",2,127.014231,"2",50,NA
"13229","서울특별시","성북구","구도",3,127.0132711,"4",30,NA
"13429","서울특별시","성북구","구도",3,127.0416711,"4",0,NA
"13430","서울특별시","성북구","구도",3,127.0288738,"4",0,NA
"13431","서울특별시","성북구","구도",3,127.0226231,"4",0,NA
"13432","서울특별시","성북구","구도",3,127.0257176,"4",0,NA
"13433","서울특별시","성북구","구도",3,127.0181758,"4",0,NA
"13434","서울특별시","성북구","시도",3,126.9914545,"4",0,NA
"13435","서울특별시","성북구","구도",3,127.0344052,"4",0,NA
"13436","서울특별시","성북구","구도",3,127.0537717,"4",0,NA
"16226","서울특별시","성북구","구도",3,127.020227,"4",0,NA
"16227","서울특별시","성북구","구도",3,127.0194888,"4",0,NA
"16228","서울특별시","성북구","구도",3,127.0429806,"4",0,NA
"16229","서울특별시","성북구","구도",3,127.0283276,"4",0,NA
"16230","서울특별시","성북구","구도",3,127.022011,"4",0,NA
"16231","서울특별시","성북구","구도",3,127.0237401,"4",30,NA
"16232","서울특별시","성북구","시도",3,127.0236542,"4",0,NA
"16233","서울특별시","성북구","구도",3,127.0194872,"4",0,NA
"16234","서울특별시","성북구","구도",3,127.0250139,"4",0,NA
"16235","서울특별시","성북구","구도",3,127.0321837,"4",0,NA
"16236","서울특별시","성북구","구도",3,127.0455162,"4",0,NA
"16237","서울특별시","성북구","구도",3,127.0346388,"4",0,NA
"16239","서울특별시","성북구","구도",3,127.0085351,"4",0,NA
"16240","서울특별시","성북구","구도",3,127.0215519,"4",0,NA
"16241","서울특별시","성북구","구도",3,127.0312346,"4",30,NA
"16268","서울특별시","성북구","구도",3,127.0223506,"4",0,NA
"16294","서울특별시","성북구","구도",3,127.0036155,"4",0,NA
"16295","서울특별시","성북구","구도",3,127.0173641,"4",0,NA
"16323","서울특별시","성북구","구도",3,127.0316498,"4",0,NA
"16324","서울특별시","성북구","구도",3,127.0511837,"4",0,NA
"16325","서울특별시","성북구","구도",3,127.0616668,"4",0,NA
"16326","서울특별시","성북구","구도",3,127.0413479,"4",0,NA
"16327","서울특별시","성북구","구도",3,127.0364791,"4",0,NA
"16328","서울특별시","성북구","구도",3,127.0299391,"4",0,NA
"16329","서울특별시","성북구","구도",3,127.0096943,"4",0,NA
"16330","서울특별시","성북구","구도",3,127.0606514,"4",30,NA
"16331","서울특별시","성북구","구도",3,127.0455126,"4",0,NA
"16332","서울특별시","성북구","구도",3,127.049187,"4",0,NA
"16333","서울특별시","성북구","구도",3,127.0426512,"4",0,NA
"16334","서울특별시","성북구","구도",3,127.0245563,"4",0,NA
"16335","서울특별시","성북구","시도",3,127.0053215,"4",0,NA
"16336","서울특별시","성북구","구도",3,127.017477,"4",0,NA
"16337","서울특별시","성북구","시도",3,127.0319361,"4",0,NA
"16338","서울특별시","성북구","구도",3,127.0392263,"4",30,NA
"16339","서울특별시","성북구","구도",3,127.0212718,"4",0,NA
"16340","서울특별시","성북구","구도",3,127.0209503,"4",30,NA
"16341","서울특별시","성북구","구도",3,127.0088948,"4",0,NA
"16342","서울특별시","성북구","구도",3,127.024422,"4",0,NA
"16343","서울특별시","성북구","시도",3,127.0189888,"4",0,NA
"16344","서울특별시","성북구","구도",3,127.0230392,"4",0,NA
"16345","서울특별시","성북구","구도",3,127.0133353,"4",0,NA
"16346","서울특별시","성북구","구도",3,127.0459526,"4",0,NA
"16347","서울특별시","성북구","구도",3,127.0147886,"4",0,NA
"16348","서울특별시","성북구","구도",3,127.0219496,"4",0,NA
"16349","서울특별시","성북구","구도",3,126.9985597,"4",0,NA
"16350","서울특별시","성북구","구도",3,127.0158932,"4",0,NA
"16351","서울특별시","성북구","구도",3,127.0295454,"4",0,NA
"16352","서울특별시","성북구","구도",3,127.0294469,"4",0,NA
"16353","서울특별시","성북구","구도",3,127.0186906,"4",0,NA
"16354","서울특별시","성북구","구도",3,127.0187162,"4",0,NA
"16355","서울특별시","성북구","구도",3,127.0130776,"4",0,NA
"16356","서울특별시","성북구","구도",3,127.0145377,"4",0,NA
"16357","서울특별시","성북구","구도",3,127.0098938,"4",0,NA
"16358","서울특별시","성북구","구도",3,127.0229166,"4",0,NA
"16359","서울특별시","성북구","구도",3,127.0292684,"4",0,NA
"16360","서울특별시","성북구","구도",3,127.0366386,"4",0,NA
"17554","서울특별시","성북구","특별시도",1,127.013506,"2",50,NA
"17559","서울특별시","성북구","특별시도",1,127.058516,"2",60,NA
"17609","서울특별시","성북구","특별시도",1,127.032226,"2",60,NA
"17626","서울특별시","성북구","특별시도",2,127.065943,"2",60,NA
"17627","서울특별시","성북구","특별시도",2,127.029905,"2",60,NA
"17629","서울특별시","성북구","특별시도",2,127.06073,"2",60,NA
"17630","서울특별시","성북구","특별시도",2,127.057118,"2",50,NA
"17632","서울특별시","성북구","특별시도",2,127.013608,"2",50,NA
