"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"153","대구광역시","성서","일반국도",1,128.5275473,"2",60,NA
"1556","대구광역시","성서","시도",2,128.539805,"2",30,NA
"1737","대구광역시","성서","시도",2,128.5470791,"2",40,NA
"1738","대구광역시","성서","시도",1,128.5464891,"2",40,NA
"1739","대구광역시","성서","시도",2,128.5510756,"2",40,NA
"1740","대구광역시","성서","시도",1,128.5467036,"2",30,NA
"1741","대구광역시","성서","시도",2,128.5470577,"2",30,NA
"1742","대구광역시","성서","시도",2,128.5181167,"2",30,NA
"1743","대구광역시","성서","시도",1,128.5180898,"2",30,NA
"1744","대구광역시","성서","시도",2,128.5185244,"2",30,NA
"1745","대구광역시","성서","시도",1,128.4957095,"2",30,NA
"1746","대구광역시","성서","시도",2,128.4954788,"2",30,NA
"1747","대구광역시","성서","시도",1,128.482277,"2",30,NA
"1748","대구광역시","성서","시도",2,128.482036,"2",30,NA
"1749","대구광역시","성서","시도",1,128.5261257,"2",40,NA
"1750","대구광역시","성서","시도",2,128.5255786,"2",40,NA
"1751","대구광역시","성서","시도",1,128.5320373,"2",30,NA
"2321","대구광역시","성서","시도",2,128.4957417,"1",30,NA
"2336","대구광역시","성서","일반국도",1,128.4738227,"2",60,NA
"2392","대구광역시","성서","시도",2,128.4732862,"2",60,NA
"2411","대구광역시","성서","일반국도",1,128.5462799,"2",60,NA
"2412","대구광역시","성서","시도",2,128.5301973,"2",60,NA
"2413","대구광역시","성서","시도",1,128.5448529,"2",40,NA
"2414","대구광역시","성서","일반국도",1,128.5715516,"2",50,NA
"3264","대구광역시","성서","일반국도",1,128.5634782,"2",40,NA
"3265","대구광역시","성서","시도",2,128.5518588,"2",40,NA
"3266","대구광역시","성서","시도",2,128.5128166,"2",30,NA
"5327","대구광역시","성서","일반국도",1,128.4922602,"2",60,NA
"5328","대구광역시","성서","일반국도",2,128.5074736,"2",50,NA
"5343","대구광역시","성서","시도",1,128.4916647,"2",60,NA
"5361","대구광역시","성서","일반국도",2,128.481023,"2",60,NA
"5362","대구광역시","성서","일반국도",1,128.481167,"2",60,NA
"6860","대구광역시","성서","일반국도",1,128.4977801,"2",60,NA
"6879","대구광역시","성서","시도",2,128.5093083,"2",60,NA
"6883","대구광역시","성서","시도",1,128.5743411,"1",50,NA
"6884","대구광역시","성서","시도",2,128.5071142,"1",50,NA
"6885","대구광역시","성서","시도",1,128.5020878,"1",50,NA
"6893","대구광역시","성서","시도",2,128.5141684,"1",40,NA
"6907","대구광역시","성서","일반국도",1,128.5159816,"2",60,NA
"6916","대구광역시","성서","시도",1,128.5368438,"1",60,NA
"6917","대구광역시","성서","시도",2,128.5031607,"1",40,NA
"6934","대구광역시","성서","일반국도",2,128.5595729,"2",50,NA
"6983","대구광역시","성서","시도",1,128.5236366,"1",50,NA
"6984","대구광역시","성서","시도",2,128.5259326,"1",50,NA
"6985","대구광역시","성서","시도",2,128.4727927,"1",60,NA
"13100","대구광역시","성서","시도",1,128.4823682,"2",60,NA
"13126","대구광역시","성서","시도",1,128.4910907,"2",60,NA
"13331","대구광역시","성서","시도",2,128.5302671,"2",50,NA
