"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5576","경상북도","성주","지방도",2,128.3124676,"1",30,NA
"5577","경상북도","성주","군도",1,128.3124676,"1",30,NA
"5578","경상북도","성주","군도",2,129.3570979,"1",30,NA
"5582","경상북도","성주","군도",2,128.2621442,"1",30,NA
"5583","경상북도","성주","군도",1,129.0928896,"1",30,NA
"7069","경상북도","성주","기타",2,128.3416083,"1",70,NA
"7070","경상북도","성주","기타",1,128.3645492,"1",70,NA
"10948","경상북도","성주","일반국도",1,129.1067942,"2",80,NA
"11188","경상북도","성주","일반국도",1,128.2780382,"1",50,NA
"11189","경상북도","성주","일반국도",2,128.2198865,"1",50,NA
"11190","경상북도","성주","일반국도",1,128.3732634,"2",70,NA
"11191","경상북도","성주","일반국도",2,128.3619089,"2",70,NA
"11192","경상북도","성주","일반국도",1,128.3556562,"2",70,NA
"11193","경상북도","성주","시도",2,128.1713471,"1",40,NA
"12062","경상북도","성주","기타",1,128.2012051,"2",60,NA
"12063","경상북도","성주","기타",1,128.2062027,"2",70,NA
"13135","경상북도","성주","기타",2,128.3647906,"1",70,NA
"13136","경상북도","성주","기타",1,128.3416083,"1",70,NA
"13589","경상북도","성주","일반국도",1,128.2607493,"1",50,NA
"13602","경상북도","성주","일반국도",2,128.3332949,"2",70,NA
"13619","경상북도","성주","일반국도",1,128.3328725,"2",80,NA
"13718","경상북도","성주","기타",2,128.2643549,"1",60,NA
"14261","경상북도","성주","일반국도",1,128.3415917,"2",70,NA
