"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3463","강원도","속초","일반국도",3,128.718839,"2",80,NA
"3464","강원도","속초","일반국도",3,128.718848,"2",80,NA
"3465","강원도","속초","군도",3,128.622229,"1",30,NA
"3466","강원도","속초","군도",3,128.622229,"1",30,NA
"19019","강원도","속초","시도",3,128.577736,"2",30,NA
"19020","강원도","속초","시도",3,128.5811,"1",30,NA
"19021","강원도","속초","시도",3,128.587861,"2",30,NA
"19022","강원도","속초","시도",3,128.57819,"1",30,NA
"19023","강원도","속초","시도",3,128.597051,"1",30,NA
"19024","강원도","속초","시도",3,128.592407,"2",30,NA
"19025","강원도","속초","시도",3,128.592568,"2",30,NA
"19026","강원도","속초","일반국도",3,128.608085,"1",30,NA
"19027","강원도","속초","시도",3,128.604819,"1",30,NA
"19028","강원도","속초","시도",3,128.6048271,"1",30,NA
