"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2301","강원도","속초시","지방도",3,128.5570863,"2",60,NA
"2451","강원도","속초시","시도",3,128.5783185,"2",50,NA
"3437","강원도","속초시","일반국도",3,128.5640476,"1",60,NA
"4151","강원도","속초시","지방도",3,128.5743364,"1",30,NA
"6003","강원도","속초시","시도",3,128.5573774,"2",50,NA
"6275","강원도","속초시","일반국도",3,128.5703863,"2",50,NA
"6276","강원도","속초시","시도",3,128.5943794,"1",50,NA
"6658","강원도","속초시","지방도",3,128.5361554,"1",50,NA
"6670","강원도","속초시","지방도",3,128.5272758,"2",60,NA
"16065","강원도","속초시","시도",3,128.5808321,"1",50,NA
"16066","강원도","속초시","시도",3,128.586175,"1",50,NA
