"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4543","서울특별시","송파구","특별시도",1,127.133137,"2",50,NA
"4549","서울특별시","송파구","특별시도",2,127.118207,"2",60,NA
"4550","서울특별시","송파구","특별시도",1,127.121833,"2",60,NA
"11284","서울특별시","송파구","고속국도",2,127.112451,"1",80,NA
"11307","서울특별시","송파구","특별시도",1,127.123754,"1",60,NA
"11310","서울특별시","송파구","고속국도",1,127.077135,"1",80,NA
"12360","서울특별시","송파구","특별시도",1,127.127558,"2",60,NA
"12624","서울특별시","송파구","일반국도",1,127.10019,"2",50,NA
"12625","서울특별시","송파구","일반국도",2,127.099961,"2",50,NA
"12626","서울특별시","송파구","특별시도",1,127.100434,"2",60,NA
"12627","서울특별시","송파구","특별시도",2,127.099743,"2",60,NA
"12628","서울특별시","송파구","특별시도",2,127.101532,"2",60,NA
"12629","서울특별시","송파구","일반국도",1,127.104096,"2",50,NA
"13199","서울특별시","송파구","특별시도",2,127.113905,"2",60,NA
"17540","서울특별시","송파구","일반국도",2,127.126467,"2",50,NA
"17586","서울특별시","송파구","고속국도",1,127.099898,"1",80,NA
"17596","서울특별시","송파구","특별시도",1,127.117788,"2",50,NA
"17640","서울특별시","송파구","특별시도",2,127.118381,"2",60,NA
"17641","서울특별시","송파구","특별시도",2,127.09305,"2",60,NA
"17642","서울특별시","송파구","특별시도",2,127.070496,"2",60,NA
