"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"150","대구광역시","수성","시도",1,128.608653,"2",60,NA
"152","대구광역시","수성","시도",2,128.5182079,"2",60,NA
"157","대구광역시","수성","시도",1,128.6264833,"1",60,NA
"158","대구광역시","수성","시도",1,128.6234255,"1",50,NA
"166","대구광역시","수성","시도",1,128.6495288,"2",50,NA
"167","대구광역시","수성","시도",1,128.611538,"2",50,NA
"171","대구광역시","수성","시도",2,128.6111786,"99",80,4610
"172","대구광역시","수성","시도",2,128.6112161,"99",80,4610
"173","대구광역시","수성","시도",2,128.6112054,"99",80,4610
"497","대구광역시","수성","시도",2,128.6461814,"2",60,NA
"1783","대구광역시","수성","시도",1,128.7070354,"2",30,NA
"1784","대구광역시","수성","시도",2,128.7069334,"2",30,NA
"1785","대구광역시","수성","시도",1,128.639154,"2",50,NA
"1786","대구광역시","수성","시도",2,128.638741,"2",50,NA
"1787","대구광역시","수성","시도",2,128.6176534,"2",40,NA
"1788","대구광역시","수성","시도",1,128.6171921,"2",40,NA
"1789","대구광역시","수성","시도",1,128.7063755,"2",30,NA
"1790","대구광역시","수성","시도",2,128.7057801,"2",30,NA
"1791","대구광역시","수성","시도",1,128.7087895,"2",30,NA
"1792","대구광역시","수성","시도",2,128.7084677,"2",30,NA
"1793","대구광역시","수성","시도",1,128.6101003,"2",40,NA
"1794","대구광역시","수성","시도",2,128.6125733,"2",40,NA
"1795","대구광역시","수성","시도",1,128.6448671,"2",30,NA
"1796","대구광역시","수성","시도",2,128.6238654,"2",30,NA
"2232","대구광역시","수성","시도",1,128.6257001,"2",60,NA
"2233","대구광역시","수성","시도",2,128.6950727,"2",60,NA
"2259","대구광역시","수성","시도",1,128.7170239,"2",50,NA
"2260","대구광역시","수성","시도",1,128.6081852,"2",50,NA
"2323","대구광역시","수성","시도",1,128.707325,"2",60,NA
"2334","대구광역시","수성","시도",1,128.6240371,"2",30,NA
"2335","대구광역시","수성","시도",2,128.6318799,"2",50,NA
"2396","대구광역시","수성","시도",1,128.6244609,"1",60,NA
"2408","대구광역시","수성","시도",1,128.6506071,"2",60,NA
"2742","대구광역시","수성","시도",2,128.6105992,"2",50,NA
"3263","대구광역시","수성","시도",1,128.6164733,"2",50,NA
"5338","대구광역시","수성","시도",2,128.6120905,"2",50,NA
"5339","대구광역시","수성","시도",2,128.6312601,"2",50,NA
"5340","대구광역시","수성","시도",2,128.6333336,"2",50,NA
"5341","대구광역시","수성","시도",2,128.6396422,"2",50,NA
"5352","대구광역시","수성","시도",1,128.629997,"1",60,NA
"5358","대구광역시","수성","시도",2,128.6570336,"2",50,NA
"5359","대구광역시","수성","시도",1,128.612426,"2",60,NA
"5360","대구광역시","수성","시도",2,128.612117,"2",60,NA
"6576","대구광역시","수성","시도",1,128.6423137,"1",50,NA
"6856","대구광역시","수성","시도",1,128.6387839,"2",50,NA
"6857","대구광역시","수성","일반국도",2,128.709208,"2",60,NA
"6877","대구광역시","수성","시도",2,128.6354365,"2",60,NA
"6882","대구광역시","수성","시도",2,128.6075898,"1",60,NA
"6889","대구광역시","수성","시도",1,128.622536,"1",60,NA
"6890","대구광역시","수성","일반국도",2,128.6562504,"1",60,NA
"6891","대구광역시","수성","일반국도",1,128.6488904,"1",60,NA
"6903","대구광역시","수성","시도",2,128.6131312,"2",40,NA
"6904","대구광역시","수성","시도",2,128.6783035,"2",60,NA
"6915","대구광역시","수성","일반국도",1,128.652858,"1",60,NA
"6923","대구광역시","수성","시도",2,128.6144241,"2",50,NA
"6924","대구광역시","수성","시도",1,128.6402323,"2",60,NA
"6930","대구광역시","수성","시도",1,128.675862,"2",60,NA
"6931","대구광역시","수성","시도",2,128.640455,"2",50,NA
"6932","대구광역시","수성","시도",1,128.622521,"2",60,NA
"6933","대구광역시","수성","시도",2,128.639137,"2",50,NA
"6944","대구광역시","수성","시도",2,128.6256893,"1",60,NA
"6947","대구광역시","수성","시도",1,128.6242678,"2",60,NA
"6948","대구광역시","수성","일반국도",1,128.6459507,"2",60,NA
"6950","대구광역시","수성","시도",2,128.659282,"1",60,NA
"7759","대구광역시","수성","시도",2,128.6340095,"2",50,NA
"13316","대구광역시","수성","일반국도",2,128.6857386,"2",60,NA
"13335","대구광역시","수성","시도",1,128.6117258,"99",80,4507
"13336","대구광역시","수성","시도",1,128.6116989,"99",80,4507
"13337","대구광역시","수성","시도",1,128.6116989,"99",80,4507
"13338","대구광역시","수성","시도",1,128.6117097,"99",80,4507
"13350","대구광역시","수성","시도",2,128.6838986,"2",60,NA
"13351","대구광역시","수성","시도",1,128.607089,"2",60,NA
"13352","대구광역시","수성","시도",2,128.6133136,"2",50,NA
"13353","대구광역시","수성","시도",1,128.6338862,"2",50,NA
"13354","대구광역시","수성","시도",2,128.6452158,"2",60,NA
"17693","대구광역시","수성","시도",1,128.6239191,"2",60,NA
