"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2416","부산광역시","수영구","특별시도",3,129.102695,"2",50,NA
"7754","부산광역시","수영구","특별시도",3,129.112157,"2",50,NA
"8866","부산광역시","수영구","기타",3,129.116722,"2",50,NA
"8867","부산광역시","수영구","기타",3,129.114576,"2",30,NA
"12694","부산광역시","수영구","기타",3,129.120139,"2",30,NA
"14765","부산광역시","수영구","특별시도",3,129.093687,"2",50,NA
"14788","부산광역시","수영구","특별시도",3,129.114681,"2",50,NA
"14991","부산광역시","수영구","특별시도",3,129.117982,"2",50,NA
"15240","부산광역시","수영구","특별시도",3,129.126761,"2",50,NA
"15349","부산광역시","수영구","특별시도",3,129.113251,"1",50,NA
"15404","부산광역시","수영구","특별시도",3,129.122154,"2",50,NA
