"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6","경기도","수원시","시도",3,127.030594,"2",50,NA
"7","경기도","수원시","시도",3,127.007961431,"2",50,NA
"8","경기도","수원시","시도",3,127.010780852,"2",50,NA
"9","경기도","수원시","시도",3,126.982714,"2",60,NA
"10","경기도","수원시","시도",3,127.007793,"2",50,NA
"11","경기도","수원시","시도",3,126.963935919,"2",30,NA
"12","경기도","수원시","시도",3,127.002994,"2",50,NA
"16","경기도","수원시","시도",3,126.97196752,"2",50,NA
"26","경기도","수원시","시도",3,127.059248,"2",30,NA
"27","경기도","수원시","시도",3,127.059205,"2",30,NA
"51","경기도","수원시","시도",3,127.046712,"2",50,NA
"104","경기도","수원시","일반국도",3,127.016285701,"2",50,NA
"105","경기도","수원시","시도",3,126.966004656,"2",50,NA
"112","경기도","수원시","시도",3,127.055627,"1",50,NA
"118","경기도","수원시","시도",3,127.055351,"2",50,NA
"119","경기도","수원시","시도",3,127.082399375,"2",50,NA
"120","경기도","수원시","일반국도",3,127.055719,"2",60,NA
"121","경기도","수원시","일반국도",3,127.055097,"2",60,NA
"125","경기도","수원시","시도",3,126.976889,"2",50,NA
"2342","경기도","수원시","시도",3,126.978633646,"2",50,NA
"4537","경기도","수원시","시도",3,127.043737,"1",70,NA
"5226","경기도","수원시","시도",3,127.023616884,"2",50,NA
"5227","경기도","수원시","일반국도",3,127.024000096,"2",50,NA
"5602","경기도","수원시","일반국도",3,127.027819526,"2",30,NA
"5603","경기도","수원시","시도",3,126.983092647,"2",50,NA
"5674","경기도","수원시","시도",3,126.945606,"2",30,NA
"5675","경기도","수원시","시도",3,127.003723,"2",50,NA
"5676","경기도","수원시","시도",3,126.957596,"2",50,NA
"5677","경기도","수원시","시도",3,127.018793264,"2",50,NA
"5681","경기도","수원시","시도",3,127.036451,"1",60,NA
"6244","경기도","수원시","일반국도",3,126.987939079,"2",50,NA
"6291","경기도","수원시","시도",3,126.962307892,"1",50,NA
"6294","경기도","수원시","일반국도",3,126.978317035,"2",50,NA
"6295","경기도","수원시","시도",3,126.9573509,"2",50,NA
"6803","경기도","수원시","시도",2,127.0155310073,"02",50,NA
"7100","경기도","수원시","시도",3,127.061422,"2",50,NA
"7661","경기도","수원시","시도",3,126.942647,"2",40,NA
"7665","경기도","수원시","시도",3,127.062882,"2",80,NA
"7666","경기도","수원시","시도",3,126.990785,"2",50,NA
"7667","경기도","수원시","시도",3,127.016756525,"2",50,NA
"7668","경기도","수원시","시도",3,126.985884,"2",50,NA
"7683","경기도","수원시","시도",3,127.042297,"1",70,NA
"7684","경기도","수원시","일반국도",3,126.996286,"1",50,NA
"7713","경기도","수원시","시도",3,127.060661012,"2",60,NA
"7747","경기도","수원시","시도",3,127.048665,"2",60,NA
"9058","경기도","수원시","일반국도",3,127.064207245,"2",50,NA
"9175","경기도","수원시","시도",3,127.046113,"2",60,NA
"9230","경기도","수원시","시도",3,126.976503,"2",40,NA
"9271","경기도","수원시","시도",3,127.040585489,"2",70,NA
"9374","경기도","수원시","시도",3,126.990031,"2",50,NA
"9631","경기도","수원시","시도",3,126.994683,"2",30,NA
"9635","경기도","수원시","일반국도",3,127.019124,"1",50,NA
"9640","경기도","수원시","시도",3,127.038350797,"2",50,NA
"11071","경기도","수원시","일반국도",3,127.029615379,"1",50,NA
"11469","경기도","수원시","시도",3,127.027091987,"2",30,NA
"11536","경기도","수원시","시도",3,126.996120916,"2",30,NA
"11537","경기도","수원시","시도",3,127.04391082,"2",30,NA
"11538","경기도","수원시","시도",3,126.978516557,"2",30,NA
"11539","경기도","수원시","시도",3,126.945491,"2",30,NA
"12458","경기도","수원시","일반국도",3,127.021745,"2",60,NA
"12459","경기도","수원시","시도",3,127.014315204,"2",60,NA
"12464","경기도","수원시","시도",3,127.028429,"2",50,NA
"12465","경기도","수원시","시도",3,126.989929,"2",30,NA
"12697","경기도","수원시","시도",3,126.996232,"2",30,NA
"12698","경기도","수원시","일반국도",3,127.004432888,"2",50,NA
"12722","경기도","수원시","시도",3,127.063031,"2",30,NA
"12723","경기도","수원시","시도",3,127.075543,"2",50,NA
"12724","경기도","수원시","시도",3,127.06128163,"2",30,NA
"12725","경기도","수원시","시도",3,127.013823,"2",50,NA
"12803","경기도","수원시","시도",2,127.0537796678,"02",30,NA
"12804","경기도","수원시","시도",2,127.0537796678,"02",30,NA
"12805","경기도","수원시","시도",2,127.0816425558,"02",30,NA
"12806","경기도","수원시","시도",1,127.0735299325,"02",60,NA
"12807","경기도","수원시","시도",2,127.0637759661,"02",30,NA
"12808","경기도","수원시","시도",2,127.0130047595,"02",30,NA
"12809","경기도","수원시","시도",1,127.0588354327,"02",30,NA
"12810","경기도","수원시","시도",2,126.9899746244,"02",60,NA
"12811","경기도","수원시","시도",2,126.9899746244,"02",60,NA
"12812","경기도","수원시","시도",1,126.956754544,"02",50,NA
"12813","경기도","수원시","시도",2,126.9909563553,"02",50,NA
"12814","경기도","수원시","시도",1,127.0085409931,"02",50,NA
"12815","경기도","수원시","시도",1,126.990366273,"02",50,NA
"12816","경기도","수원시","시도",2,127.0675534745,"02",50,NA
"12817","경기도","수원시","시도",2,127.0171232834,"02",50,NA
"12818","경기도","수원시","일반국도",1,127.0137506133,"02",50,NA
"12819","경기도","수원시","시도",2,126.9978066958,"02",60,NA
"12820","경기도","수원시","시도",2,126.9541483766,"01",60,NA
"12821","경기도","수원시","시도",2,126.9521194799,"01",60,NA
"12822","경기도","수원시","시도",2,126.9779288703,"02",60,NA
"12823","경기도","수원시","시도",1,126.9565075646,"02",50,NA
"12824","경기도","수원시","시도",NA,127.011336415,"02",60,NA
"12825","경기도","수원시","시도",NA,126.9903356708,"02",50,NA
"12826","경기도","수원시","시도",1,127.037470402,"01",60,NA
"12827","경기도","수원시","일반국도",1,127.0277496988,"02",60,NA
"12828","경기도","수원시","시도",2,126.9825948664,"02",30,NA
"12829","경기도","수원시","시도",1,127.0269116711,"02",50,NA
