"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1382","전라북도","순창군","일반국도",NA,127.1948238,"2",80,NA
"1383","전라북도","순창군","일반국도",NA,127.1411361,"2",60,NA
"1405","전라북도","순창군","일반국도",NA,127.1501458,"2",60,NA
"1406","전라북도","순창군","일반국도",NA,127.1498854,"2",60,NA
"1544","전라북도","순창군","일반국도",NA,127.099772,"1",70,NA
"1546","전라북도","순창군","일반국도",NA,127.1493809,"2",50,NA
"1547","전라북도","순창군","일반국도",NA,127.1491659,"2",50,NA
"1548","전라북도","순창군","일반국도",NA,127.1410099,"2",70,NA
"1549","전라북도","순창군","일반국도",NA,127.138492,"2",60,NA
"4753","전라북도","순창군","일반국도",NA,127.2560399,"1",60,NA
"4755","전라북도","순창군","일반국도",NA,127.1445484,"2",60,NA
"4756","전라북도","순창군","일반국도",NA,127.1449507,"2",60,NA
"4789","전라북도","순창군","지방도",NA,126.9176586,"2",70,NA
"4790","전라북도","순창군","지방도",NA,126.9173797,"2",70,NA
"5065","전라북도","순창군","일반국도",NA,127.141392,"2",60,NA
"5931","전라북도","순창군","군도",NA,127.0738878,"1",40,NA
"5932","전라북도","순창군","군도",NA,127.0738878,"1",40,NA
"5956","전라북도","순창군","지방도",NA,127.0766576,"1",40,NA
"5957","전라북도","순창군","지방도",NA,127.0761287,"1",40,NA
"8654","전라북도","순창군","고속국도",NA,127.1127662,"1",100,NA
"11557","전라북도","순창군","일반국도",NA,127.2089894,"1",80,NA
"11565","전라북도","순창군","일반국도",NA,127.088187,"2",70,NA
"11566","전라북도","순창군","일반국도",NA,127.088586,"2",70,NA
"11591","전라북도","순창군","군도",NA,127.1437629,"1",30,NA
"11628","전라북도","순창군","군도",NA,127.1435841,"1",30,NA
"14136","전라북도","순창군","일반국도",NA,126.9656756,"1",60,NA
"14137","전라북도","순창군","일반국도",NA,126.9656756,"1",60,NA
"14892","전라북도","순창군","일반국도",NA,127.1407236,"1",70,NA
"16643","전라북도","순창군","일반국도",NA,127.1435128,"1",80,NA
"16847","전라북도","순창군","일반국도",NA,126.9903864,"1",40,NA
