"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5156","전라남도","순천시","2",2,127.4844132356,"99",80,NA
"5157","전라남도","순천시","5",3,127.5024905014,"1",50,NA
"5828","전라남도","순천시","5",2,127.578180996,"99",60,NA
"7641","전라남도","순천시","지방도",3,127.359445,"1",60,NA
"7642","전라남도","순천시","지방도",3,127.445927,"1",80,NA
"7643","전라남도","순천시","지방도",3,127.444628,"1",80,NA
"7653","전라남도","순천시","시도",3,127.521402,"2",50,NA
"7678","전라남도","순천시","시도",3,127.551294,"1",80,10.6
"7950","전라남도","순천시","시도",3,127.522838,"2",50,NA
"7951","전라남도","순천시","시도",3,127.504203,"2",50,NA
"7952","전라남도","순천시","시도",3,127.514032,"2",50,NA
"7953","전라남도","순천시","시도",3,127.521728,"2",50,NA
"7954","전라남도","순천시","시도",3,127.442689,"2",80,NA
"7955","전라남도","순천시","시도",3,127.460221,"2",80,NA
"7956","전라남도","순천시","시도",3,127.563954,"1",80,NA
"7957","전라남도","순천시","시도",3,127.539033,"1",80,NA
"7984","전라남도","순천시","시도",3,127.497488,"2",50,NA
"7985","전라남도","순천시","시도",3,127.528618,"2",30,NA
"7986","전라남도","순천시","시도",3,127.523156,"2",30,NA
"7987","전라남도","순천시","시도",3,127.514678,"2",30,NA
"8033","전라남도","순천시","일반국도",3,127.530112,"3",50,NA
"8075","전라남도","순천시","지방도",3,127.544424,"2",50,NA
"9413","전라남도","순천시","시도",3,127.487845,"2",50,NA
"9433","전라남도","순천시","시도",3,127.564423,"2",80,NA
"9464","전라남도","순천시","지방도",3,127.534339,"2",50,NA
"9465","전라남도","순천시","지방도",3,127.497107,"2",50,NA
"9466","전라남도","순천시","지방도",3,127.488556,"1",50,NA
"9467","전라남도","순천시","지방도",3,127.502413,"1",50,NA
"9482","전라남도","순천시","시도",3,127.477621,"2",70,NA
"9490","전라남도","순천시","고속국도",2,127.359628,"1",100,NA
"9509","전라남도","순천시","일반국도",3,127.484099,"2",70,NA
"9510","전라남도","순천시","지방도",3,127.537049,"2",80,NA
"9538","전라남도","순천시","고속국도",2,127.462979,"2",100,15.8
"9539","전라남도","순천시","고속국도",2,127.462979,"2",100,15.8
"9540","전라남도","순천시","고속국도",2,127.529228,"2",100,15.8
"9541","전라남도","순천시","고속국도",2,127.529228,"2",100,15.8
"9542","전라남도","순천시","시도",3,127.548787,"1",50,NA
"9543","전라남도","순천시","시도",3,127.545279,"1",50,NA
"9666","전라남도","순천시","시도",3,127.539314,"1",50,NA
"9667","전라남도","순천시","시도",3,127.497493,"1",50,NA
"9668","전라남도","순천시","일반국도",3,127.487979,"1",50,NA
"9669","전라남도","순천시","일반국도",3,127.552399,"1",70,NA
"9701","전라남도","순천시","일반국도",3,127.542741,"2",50,NA
"9717","전라남도","순천시","일반국도",3,127.517024,"1",50,NA
"9726","전라남도","순천시","군도",3,127.534587,"2",50,NA
"9735","전라남도","순천시","일반국도",3,127.204076,"1",60,NA
"9737","전라남도","순천시","고속국도",1,127.282044,"1",100,NA
"9738","전라남도","순천시","고속국도",1,127.550411,"1",100,NA
"9739","전라남도","순천시","고속국도",1,127.530942,"1",100,NA
"9753","전라남도","순천시","시도",3,127.522067,"2",50,NA
"9760","전라남도","순천시","일반국도",3,127.495509,"1",50,NA
"9761","전라남도","순천시","시도",3,127.541202,"2",50,NA
"9767","전라남도","순천시","시도",3,127.525292,"2",80,NA
"9768","전라남도","순천시","시도",3,127.573887,"2",60,NA
"9769","전라남도","순천시","일반국도",3,127.421991,"2",80,NA
"9770","전라남도","순천시","일반국도",3,127.427451,"2",80,NA
"9818","전라남도","순천시","일반국도",3,127.489333,"2",60,NA
"9819","전라남도","순천시","일반국도",3,127.425195,"1",80,NA
"9840","전라남도","순천시","고속국도",2,127.467686,"1",100,NA
"12396","전라남도","순천시","5",3,127.4972967939,"1",60,NA
"12397","전라남도","순천시","2",1,127.4251529763,"1",80,NA
"12398","전라남도","순천시","5",2,127.5258217772,"99",80,NA
"12423","전라남도","순천시","2",2,127.4419934202,"1",80,NA
"12424","전라남도","순천시","2",1,127.4297535543,"1",80,NA
"12425","전라남도","순천시","2",2,127.4895722048,"99",70,NA
"12426","전라남도","순천시","5",2,127.5715173088,"99",60,NA
"12427","전라남도","순천시","2",3,127.5172641454,"1",60,NA
"12428","전라남도","순천시","2",2,127.5417698518,"99",60,NA
"12429","전라남도","순천시","5",2,127.5376869517,"1",70,NA
"12958","전라남도","순천시","일반국도",3,127.521391,"3",50,NA
"12960","전라남도","순천시","시도",3,127.520491,"2",50,NA
"12961","전라남도","순천시","시도",3,127.496368,"2",50,NA
"12962","전라남도","순천시","일반국도",3,127.232736,"1",40,NA
"15842","전라남도","순천시","시도",3,127.494014,"2",50,NA
"16180","전라남도","순천시","일반국도",3,127.483931,"2",50,NA
"16181","전라남도","순천시","일반국도",3,127.483931,"2",50,NA
"16182","전라남도","순천시","시도",3,127.498456,"2",50,NA
"16183","전라남도","순천시","일반국도",3,127.516743,"2",50,NA
"16184","전라남도","순천시","일반국도",3,127.488115,"2",70,NA
"16185","전라남도","순천시","시도",3,127.543611,"2",50,NA
"16186","전라남도","순천시","시도",3,127.546974,"2",30,NA
"16188","전라남도","순천시","일반국도",3,127.508101,"1",50,NA
