"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1","경기도","시흥시","시도",3,126.709326273,"2",50,NA
"2","경기도","시흥시","시도",3,126.711575492,"2",50,NA
"30","경기도","시흥시","일반국도",3,126.806653,"2",50,NA
"48","경기도","시흥시","시도",3,126.7309754,"1",50,NA
"49","경기도","시흥시","시도",3,126.729992932,"1",50,NA
"55","경기도","시흥시","일반국도",3,126.733698,"2",60,NA
"56","경기도","시흥시","일반국도",3,126.734502,"2",60,NA
"59","경기도","시흥시","시도",3,126.801744,"1",60,NA
"106","경기도","시흥시","일반국도",3,126.873011,"2",60,NA
"2250","경기도","시흥시","시도",3,126.847446829,"2",30,NA
"4274","경기도","시흥시","시도",3,126.847413707,"2",30,NA
"4663","경기도","시흥시","시도",3,126.787535,"2",50,NA
"4664","경기도","시흥시","시도",3,126.780553,"2",30,NA
"4665","경기도","시흥시","시도",3,126.713600495,"2",50,NA
"4677","경기도","시흥시","시도",3,126.735327337,"2",30,NA
"4678","경기도","시흥시","시도",3,126.724812395,"2",30,NA
"5665","경기도","시흥시","시도",3,126.8604801,"2",30,NA
"6254","경기도","시흥시","시도",3,126.736292725,"2",50,NA
"6297","경기도","시흥시","시도",3,126.785929,"1",60,NA
"7685","경기도","시흥시","시도",3,126.819811,"1",50,NA
"8528","경기도","시흥시","시도",3,126.827409415,"1",50,NA
"9066","경기도","시흥시","일반국도",3,126.873068,"2",60,NA
"9165","경기도","시흥시","시도",3,126.712194,"2",50,NA
"9216","경기도","시흥시","시도",3,126.731492,"2",60,NA
"9217","경기도","시흥시","시도",3,126.717613547,"2",50,NA
"9375","경기도","시흥시","시도",3,126.811635,"2",30,NA
"9376","경기도","시흥시","일반국도",3,126.753018,"2",50,NA
"9377","경기도","시흥시","일반국도",3,126.727049504,"2",30,NA
"9378","경기도","시흥시","시도",3,126.733888254,"2",30,NA
"9599","경기도","시흥시","시도",3,126.791798,"2",50,NA
"9600","경기도","시흥시","시도",3,126.723297,"2",60,NA
"9604","경기도","시흥시","시도",3,126.734148877,"2",60,NA
"9616","경기도","시흥시","시도",3,126.811933,"1",50,NA
"9617","경기도","시흥시","시도",3,126.806669645,"1",60,NA
"9618","경기도","시흥시","시도",3,126.788745,"2",60,NA
"9619","경기도","시흥시","시도",3,126.785324,"2",60,NA
"9620","경기도","시흥시","일반국도",3,126.796135,"2",30,NA
"9621","경기도","시흥시","일반국도",3,126.785345194,"2",50,NA
"9622","경기도","시흥시","시도",3,126.736361385,"2",60,NA
"9623","경기도","시흥시","시도",3,126.747889727,"2",50,NA
"9624","경기도","시흥시","시도",3,126.739425569,"2",50,NA
"9632","경기도","시흥시","시도",3,126.757302,"2",50,NA
"9651","경기도","시흥시","시도",3,126.784699,"1",90,NA
"9652","경기도","시흥시","시도",3,126.789183898,"1",60,NA
"9653","경기도","시흥시","일반국도",3,126.860874,"2",60,NA
"9654","경기도","시흥시","일반국도",3,126.860805,"2",60,NA
"9655","경기도","시흥시","시도",3,126.730591518,"2",60,NA
"9656","경기도","시흥시","시도",3,126.730545455,"2",30,NA
"10011","경기도","시흥시","고속국도",1,126.7604844,"1",50,NA
"10088","경기도","시흥시","고속국도",1,126.8679437,"1",50,NA
"11072","경기도","시흥시","시도",3,126.774432201,"1",60,NA
"12637","경기도","시흥시","시도",3,126.780175,"1",30,NA
"12638","경기도","시흥시","시도",3,126.775769,"1",60,NA
"12646","경기도","시흥시","시도",3,126.8600686,"2",30,NA
"13225","경기도","시흥시","시도",3,126.72944317,"2",50,NA
"13239","경기도","시흥시","시도",3,126.739876904,"1",70,NA
"13694","경기도","시흥시","일반국도",3,126.826239,"2",60,NA
"14387","경기도","시흥시","시도",3,126.721930526,"2",60,NA
"14388","경기도","시흥시","시도",3,126.737136,"2",50,NA
"14389","경기도","시흥시","시도",3,126.721907684,"2",60,NA
"14444","경기도","시흥시","시도",3,126.790922816,"2",30,NA
"14507","경기도","시흥시","시도",3,126.790618071,"1",30,NA
"14657","경기도","시흥시","시도",3,126.723148293,"2",50,NA
"14681","경기도","시흥시","시도",3,126.726293,"2",50,NA
"14682","경기도","시흥시","시도",3,126.747737864,"2",50,NA
"14715","경기도","시흥시","일반국도",3,126.789404,"2",50,NA
"14718","경기도","시흥시","시도",3,126.713175978,"2",30,NA
