"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"477","충청남도","아산시","시도",1,127.017298,"2",50,NA
"478","충청남도","아산시","지방도",2,127.096121,"2",60,NA
"479","충청남도","아산시","시도",1,127.106906,"2",60,NA
"486","충청남도","아산시","시도",2,127.059382,"2",50,NA
"487","충청남도","아산시","시도",1,127.059335,"2",50,NA
"492","충청남도","아산시","일반국도",2,126.918348,"2",60,NA
"493","충청남도","아산시","시도",2,127.017075,"2",50,NA
"494","충청남도","아산시","일반국도",1,127.00494,"2",60,NA
"495","충청남도","아산시","지방도",2,127.026389,"2",60,NA
"554","충청남도","아산시","일반국도",1,126.9775,"1",80,NA
"569","충청남도","아산시","일반국도",1,126.948891,"2",50,NA
"589","충청남도","아산시","일반국도",1,127.008056,"2",50,NA
"590","충청남도","아산시","일반국도",1,127.043333,"2",50,NA
"601","충청남도","아산시","일반국도",2,126.899304,"2",60,NA
"618","충청남도","아산시","시도",1,127.013641,"2",50,NA
"619","충청남도","아산시","시도",2,127.013395,"2",50,NA
"624","충청남도","아산시","일반국도",1,126.934458,"2",50,NA
"816","충청남도","아산시","시도",1,127.02275,"2",30,NA
"817","충청남도","아산시","시도",2,127.02275,"2",30,NA
"818","충청남도","아산시","지방도",1,126.92575,"1",50,NA
"832","충청남도","아산시","일반국도",2,127.087968,"1",80,NA
"847","충청남도","아산시","시도",1,127.008917,"2",50,NA
"848","충청남도","아산시","일반국도",1,126.96175,"2",50,NA
"849","충청남도","아산시","일반국도",1,127.035,"2",50,NA
"850","충청남도","아산시","시도",1,127.08825,"2",60,NA
"873","충청남도","아산시","지방도",1,127.066528,"2",60,NA
"874","충청남도","아산시","일반국도",2,126.878167,"1",60,NA
"900","충청남도","아산시","시도",1,127.022744,"2",50,NA
"901","충청남도","아산시","시도",1,127.022744,"2",50,NA
"902","충청남도","아산시","시도",2,127.02268,"2",50,NA
"903","충청남도","아산시","시도",2,127.02269,"2",50,NA
"906","충청남도","아산시","시도",2,127.106333,"2",60,NA
"925","충청남도","아산시","시도",2,127.052694,"2",50,NA
"926","충청남도","아산시","시도",1,127.052444,"2",50,NA
"927","충청남도","아산시","일반국도",2,127.029833,"2",60,NA
"928","충청남도","아산시","시도",1,127.065814,"2",60,NA
"929","충청남도","아산시","시도",1,126.989333,"2",50,NA
