"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1340","경기도","안산시 단원구","시도",3,126.837899,"4",0,NA
"1510","경기도","안산시 단원구","시도",3,126.834193,"4",0,NA
"1558","경기도","안산시 단원구","시도",3,126.807608,"4",0,NA
"4154","경기도","안산시 단원구","시도",3,126.827087,"4",0,NA
"4155","경기도","안산시 단원구","시도",3,126.837221,"4",0,NA
"4156","경기도","안산시 단원구","시도",3,126.831468,"4",0,NA
"4157","경기도","안산시 단원구","시도",3,126.833083,"4",0,NA
"4158","경기도","안산시 단원구","시도",3,126.83725,"4",0,NA
"4159","경기도","안산시 단원구","시도",3,126.841449,"4",0,NA
"4160","경기도","안산시 단원구","시도",3,126.837715,"4",0,NA
"4161","경기도","안산시 단원구","시도",3,126.837022,"4",0,NA
"4758","경기도","안산시 단원구","시도",3,126.836573,"4",0,NA
"5077","경기도","안산시 단원구","시도",3,126.790844,"4",0,NA
"5624","경기도","안산시 단원구","시도",3,126.790122,"4",0,NA
"5664","경기도","안산시 단원구","시도",3,126.831984,"4",0,NA
"8666","경기도","안산시 단원구","시도",3,126.829994,"4",0,NA
"8667","경기도","안산시 단원구","시도",3,126.792823,"4",0,NA
"8668","경기도","안산시 단원구","시도",3,126.790479,"4",0,NA
"8669","경기도","안산시 단원구","시도",3,126.819608,"4",0,NA
"8670","경기도","안산시 단원구","시도",3,126.789111,"4",0,NA
"8671","경기도","안산시 단원구","시도",3,126.80773,"4",0,NA
"8672","경기도","안산시 단원구","시도",3,126.803381,"4",0,NA
"8673","경기도","안산시 단원구","시도",3,126.805093,"4",0,NA
"8697","경기도","안산시 단원구","시도",3,126.796088,"4",0,NA
"10410","경기도","안산시 단원구","시도",3,126.838125,"4",0,NA
"11163","경기도","안산시 단원구","시도",3,126.838385,"4",0,NA
"11397","경기도","안산시 단원구","시도",3,126.833782,"4",0,NA
"11398","경기도","안산시 단원구","시도",3,126.832962,"4",0,NA
"11399","경기도","안산시 단원구","시도",3,126.831071,"4",0,NA
"11400","경기도","안산시 단원구","시도",3,126.8293,"4",0,NA
"11401","경기도","안산시 단원구","시도",3,126.829112,"4",0,NA
"11402","경기도","안산시 단원구","시도",3,126.830821,"4",0,NA
"11403","경기도","안산시 단원구","시도",3,126.830738,"4",0,NA
