"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"11934","경기도","안산시 상록구","시도",3,126.855118,"4",0,NA
"11935","경기도","안산시 상록구","시도",3,126.863747,"4",0,NA
"11936","경기도","안산시 상록구","시도",3,126.862693,"4",0,NA
"11937","경기도","안산시 상록구","시도",3,126.859439,"4",0,NA
"11938","경기도","안산시 상록구","시도",3,126.862992,"4",0,NA
"11939","경기도","안산시 상록구","시도",3,126.854165,"4",0,NA
"11940","경기도","안산시 상록구","시도",3,126.860436,"4",0,NA
"11941","경기도","안산시 상록구","시도",3,126.847516,"4",0,NA
"11942","경기도","안산시 상록구","시도",3,126.86432,"4",0,NA
"11943","경기도","안산시 상록구","시도",3,126.904889,"4",0,NA
"11963","경기도","안산시 상록구","시도",3,126.860905,"4",0,NA
"11964","경기도","안산시 상록구","시도",3,126.865005,"4",0,NA
"11965","경기도","안산시 상록구","시도",3,126.864802,"4",0,NA
"11966","경기도","안산시 상록구","시도",3,126.862312,"4",0,NA
"11967","경기도","안산시 상록구","시도",3,124.870278,"4",0,NA
"11968","경기도","안산시 상록구","시도",3,126.85344,"4",0,NA
"11969","경기도","안산시 상록구","시도",3,126.873073,"4",0,NA
"11970","경기도","안산시 상록구","시도",3,126.871672,"4",0,NA
"11971","경기도","안산시 상록구","시도",3,126.871187,"4",0,NA
"11972","경기도","안산시 상록구","시도",3,126.868351,"4",0,NA
"11973","경기도","안산시 상록구","시도",3,126.873274,"4",0,NA
"11974","경기도","안산시 상록구","시도",3,124.870278,"4",0,NA
"11975","경기도","안산시 상록구","시도",3,126.844549,"4",0,NA
"11976","경기도","안산시 상록구","시도",3,126.866867,"4",0,NA
"11977","경기도","안산시 상록구","시도",3,126.872252,"4",0,NA
"11978","경기도","안산시 상록구","시도",3,126.866796,"4",0,NA
"11979","경기도","안산시 상록구","시도",3,126.841098,"4",0,NA
"11980","경기도","안산시 상록구","시도",3,126.847392,"4",0,NA
"11981","경기도","안산시 상록구","시도",3,126.847044,"4",0,NA
"11982","경기도","안산시 상록구","시도",3,126.850163,"4",0,NA
"11983","경기도","안산시 상록구","시도",3,126.876148,"4",0,NA
"11984","경기도","안산시 상록구","시도",3,126.84761,"4",0,NA
"11985","경기도","안산시 상록구","시도",3,126.836364,"4",0,NA
"11986","경기도","안산시 상록구","시도",3,126.869697,"4",0,NA
"11987","경기도","안산시 상록구","시도",3,126.864558,"4",0,NA
"11988","경기도","안산시 상록구","시도",3,126.863331,"4",0,NA
"11989","경기도","안산시 상록구","시도",3,126.852217,"4",0,NA
"11990","경기도","안산시 상록구","시도",3,126.8522,"4",0,NA
"12002","경기도","안산시 상록구","시도",3,126.899125,"4",0,NA
"12003","경기도","안산시 상록구","시도",3,126.84826,"4",0,NA
"12004","경기도","안산시 상록구","시도",3,126.843469,"4",0,NA
"12005","경기도","안산시 상록구","시도",3,126.847499,"4",0,NA
"12006","경기도","안산시 상록구","시도",3,126.847499,"4",0,NA
"12007","경기도","안산시 상록구","시도",3,126.850118,"4",0,NA
"12008","경기도","안산시 상록구","시도",3,126.851002,"4",0,NA
"12009","경기도","안산시 상록구","시도",3,126.851711,"4",0,NA
"12010","경기도","안산시 상록구","시도",3,126.853037,"4",0,NA
"12011","경기도","안산시 상록구","시도",3,126.85635,"4",0,NA
"12012","경기도","안산시 상록구","시도",3,126.8587,"4",0,NA
"12013","경기도","안산시 상록구","시도",3,126.860956,"4",0,NA
"12014","경기도","안산시 상록구","시도",3,126.864188,"4",0,NA
"12015","경기도","안산시 상록구","시도",3,126.863848,"4",0,NA
"12016","경기도","안산시 상록구","시도",3,126.866484,"4",0,NA
"12017","경기도","안산시 상록구","시도",3,126.866533,"4",0,NA
"12018","경기도","안산시 상록구","시도",3,126.861216,"4",0,NA
"12662","경기도","안산시 상록구","시도",3,124.870278,"4",0,NA
"12663","경기도","안산시 상록구","시도",3,126.852652,"4",0,NA
"12664","경기도","안산시 상록구","시도",3,126.851326,"4",0,NA
"12665","경기도","안산시 상록구","시도",3,126.850998,"4",0,NA
"12666","경기도","안산시 상록구","시도",3,126.852336,"4",0,NA
"12667","경기도","안산시 상록구","시도",3,126.865916,"4",0,NA
"12668","경기도","안산시 상록구","시도",3,126.865093,"4",0,NA
"12669","경기도","안산시 상록구","시도",3,126.87288,"4",0,NA
"12670","경기도","안산시 상록구","시도",3,124.870278,"4",0,NA
"12671","경기도","안산시 상록구","시도",3,126.866579,"4",0,NA
"12672","경기도","안산시 상록구","시도",3,126.84476,"4",0,NA
"12673","경기도","안산시 상록구","시도",3,126.856621,"4",0,NA
