"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3","경기도","안산시","일반국도",3,126.83689383,"2",60,NA
"4","경기도","안산시","시도",3,126.820783,"2",60,NA
"33","경기도","안산시","시도",3,126.866769,"2",50,NA
"34","경기도","안산시","시도",3,126.807171,"2",50,NA
"35","경기도","안산시","시도",3,126.569237297,"2",50,NA
"61","경기도","안산시","일반국도",3,126.887961,"1",70,NA
"62","경기도","안산시","일반국도",3,126.865645,"1",70,NA
"63","경기도","안산시","일반국도",3,126.872075295,"1",60,NA
"64","경기도","안산시","일반국도",3,126.874415564,"2",70,NA
"65","경기도","안산시","시도",3,126.809040985,"2",50,NA
"66","경기도","안산시","시도",3,126.821233863,"2",50,NA
"67","경기도","안산시","시도",3,126.847103,"2",70,NA
"100","경기도","안산시","시도",3,126.779727,"1",50,NA
"3419","경기도","안산시","시도",3,126.762981,"2",30,NA
"3420","경기도","안산시","시도",3,126.766641,"2",60,NA
"3421","경기도","안산시","일반국도",3,126.868690151,"1",60,NA
"3422","경기도","안산시","일반국도",3,126.790914598,"1",60,NA
"4838","경기도","안산시","시도",3,126.857445977,"2",50,NA
"4839","경기도","안산시","시도",3,126.816674458,"2",30,NA
"5611","경기도","안산시","시도",3,126.574557,"2",70,NA
"5612","경기도","안산시","시도",3,126.770674,"2",50,NA
"5613","경기도","안산시","시도",3,126.856293,"2",50,NA
"5614","경기도","안산시","시도",3,126.852122,"2",50,NA
"5615","경기도","안산시","시도",3,126.844966902,"2",50,NA
"5616","경기도","안산시","시도",3,126.883781485,"2",50,NA
"5679","경기도","안산시","일반국도",3,126.818536,"1",80,NA
"6051","경기도","안산시","고속국도",1,126.812526,"1",100,NA
"6052","경기도","안산시","고속국도",1,126.812526,"1",100,NA
"6096","경기도","안산시","고속국도",2,126.805885,"1",100,NA
"6097","경기도","안산시","고속국도",2,126.805885,"1",100,NA
"6220","경기도","안산시","고속국도",3,126.880761,"1",100,NA
"6243","경기도","안산시","시도",3,126.800478743,"1",50,NA
"6261","경기도","안산시","고속국도",3,126.870171,"1",100,NA
"6849","경기도","안산시","시도",3,126.764417,"2",50,NA
"7077","경기도","안산시","시도",3,126.851737416,"2",30,NA
"7078","경기도","안산시","시도",3,126.825205,"2",30,NA
"7079","경기도","안산시","시도",3,126.818674,"2",30,NA
"7080","경기도","안산시","시도",3,126.862892229,"2",30,NA
"7081","경기도","안산시","시도",3,126.848196,"2",30,NA
"7082","경기도","안산시","시도",3,126.850418,"2",30,NA
"7083","경기도","안산시","시도",3,126.849899,"2",30,NA
"7084","경기도","안산시","시도",3,126.805433,"2",30,NA
"7085","경기도","안산시","시도",3,126.804887,"2",30,NA
"7086","경기도","안산시","시도",3,126.823477,"2",30,NA
"7087","경기도","안산시","시도",3,126.826394846,"2",30,NA
"7088","경기도","안산시","시도",3,126.836176,"2",30,NA
"7089","경기도","안산시","시도",3,126.827419,"2",50,NA
"7090","경기도","안산시","시도",3,126.8271884,"2",50,NA
"7106","경기도","안산시","시도",3,126.863437,"2",30,NA
"7118","경기도","안산시","지방도",3,126.8349718,"1",70,NA
"7656","경기도","안산시","시도",3,126.828266139,"1",100,NA
"7696","경기도","안산시","시도",3,126.829169675,"2",60,NA
"7708","경기도","안산시","시도",3,126.866668995,"2",30,NA
"7709","경기도","안산시","시도",3,126.761431325,"2",30,NA
"7710","경기도","안산시","시도",3,126.829502168,"2",50,NA
"7711","경기도","안산시","일반국도",3,126.859382738,"2",50,NA
"7740","경기도","안산시","일반국도",3,126.914707,"1",50,NA
"7741","경기도","안산시","시도",3,126.857282,"1",70,NA
"7742","경기도","안산시","시도",3,126.554055,"2",60,NA
"7743","경기도","안산시","시도",3,126.790532,"2",50,NA
"7744","경기도","안산시","지방도",3,126.817897,"2",50,NA
"7745","경기도","안산시","일반국도",3,126.8641961,"2",50,NA
"9057","경기도","안산시","시도",3,126.852544,"2",50,NA
"9164","경기도","안산시","시도",3,126.74742438,"2",30,NA
"9222","경기도","안산시","시도",3,126.795668,"1",50,NA
"9223","경기도","안산시","시도",3,126.795702,"1",50,NA
"9229","경기도","안산시","시도",3,126.806302,"2",50,NA
"9270","경기도","안산시","시도",3,126.828718933,"2",50,NA
"9393","경기도","안산시","시도",3,126.772180807,"2",50,NA
"9394","경기도","안산시","시도",3,126.764207814,"2",60,NA
"9395","경기도","안산시","시도",3,126.788442,"2",30,NA
"9396","경기도","안산시","시도",3,126.788893806,"2",50,NA
"9397","경기도","안산시","시도",3,126.808967,"2",50,NA
"9398","경기도","안산시","시도",3,126.826094,"2",50,NA
"9399","경기도","안산시","시도",3,126.901969,"2",30,NA
"9400","경기도","안산시","일반국도",3,126.858954162,"2",70,NA
"9401","경기도","안산시","시도",3,126.853648,"2",30,NA
"9402","경기도","안산시","일반국도",3,126.875682513,"2",60,NA
"9403","경기도","안산시","일반국도",3,126.875479,"2",60,NA
"9404","경기도","안산시","일반국도",3,126.848934,"2",60,NA
"9405","경기도","안산시","시도",3,126.844083928,"2",50,NA
"9406","경기도","안산시","일반국도",3,126.874658,"2",70,NA
"9407","경기도","안산시","시도",3,126.845831276,"2",50,NA
"10055","경기도","안산시","고속국도",2,126.7998295,"1",50,NA
"11386","경기도","안산시","고속국도",3,126.859815,"1",100,NA
"11387","경기도","안산시","고속국도",3,126.859815,"1",100,NA
"11388","경기도","안산시","시도",3,126.852879,"1",50,NA
"12448","경기도","안산시","시도",3,126.847675,"2",50,NA
"12466","경기도","안산시","시도",3,126.837734,"2",50,NA
"13214","경기도","안산시","시도",3,126.863455,"2",50,NA
"14390","경기도","안산시","지방도",3,126.569700114,"2",50,NA
"14391","경기도","안산시","시도",3,126.577271,"2",50,NA
"14392","경기도","안산시","시도",3,126.816759146,"2",50,NA
"14393","경기도","안산시","시도",3,126.815186,"2",50,NA
"14409","경기도","안산시","일반국도",3,126.933077,"1",70,NA
"14556","경기도","안산시","시도",3,126.850092799,"2",60,NA
"14557","경기도","안산시","시도",3,126.818118,"2",30,NA
"14664","경기도","안산시","시도",3,126.837097,"2",30,NA
"14665","경기도","안산시","시도",3,126.865152625,"2",30,NA
"14944","경기도","안산시","일반국도",3,126.916736,"1",70,NA
"14961","경기도","안산시","시도",3,126.839345562,"2",50,NA
"14967","경기도","안산시","일반국도",3,126.825663,"2",60,NA
"15821","경기도","안산시","시도",3,126.8614112,"2",30,NA
"15822","경기도","안산시","시도",3,126.8673109,"2",30,NA
"16091","경기도","안산시","시도",3,126.8612097,"2",30,NA
"16092","경기도","안산시","시도",3,126.8552837,"2",30,NA
"16093","경기도","안산시","시도",3,126.844563931,"2",30,NA
"16094","경기도","안산시","시도",3,126.847856,"2",30,NA
"16521","경기도","안산시","시도",3,126.845352,"2",60,NA
"16557","경기도","안산시","시도",3,126.856356,"1",70,NA
"16558","경기도","안산시","시도",3,126.796314,"2",50,NA
"16662","경기도","안산시","시도",3,126.876597,"1",60,NA
"16791","경기도","안산시","시도",3,126.796618083,"2",30,NA
"16792","경기도","안산시","시도",3,126.8357918,"2",30,NA
"16793","경기도","안산시","시도",3,126.814337,"2",30,NA
"16794","경기도","안산시","시도",3,126.81288998,"2",30,NA
"16812","경기도","안산시","시도",3,126.846402,"1",50,NA
"16814","경기도","안산시","시도",3,126.843554,"2",50,NA
"16815","경기도","안산시","시도",3,126.82277303,"2",50,NA
"16816","경기도","안산시","시도",3,126.802636189,"2",50,NA
"16841","경기도","안산시","시도",3,126.8181299,"2",30,NA
"16842","경기도","안산시","시도",3,126.8232863,"2",30,NA
"16864","경기도","안산시","일반국도",3,126.914876,"1",70,NA
"16978","경기도","안산시","시도",3,126.788979484,"1",50,NA
"16979","경기도","안산시","일반국도",3,126.902544,"1",70,NA
"17541","경기도","안산시","시도",3,126.806635626,"2",50,NA
"17987","경기도","안산시","시도",3,126.835131,"2",50,NA
"17988","경기도","안산시","시도",3,126.815694945,"2",50,NA
"17989","경기도","안산시","시도",3,126.818530423,"2",50,NA
"17990","경기도","안산시","시도",3,126.646396122,"2",50,NA
"17991","경기도","안산시","시도",3,126.810181939,"2",50,NA
"17992","경기도","안산시","시도",3,126.826361574,"2",30,NA
"17993","경기도","안산시","시도",3,126.859534299,"2",50,NA
"18028","경기도","안산시","시도",3,126.7993691,"1",30,NA
"18186","경기도","안산시","시도",3,126.781389,"2",50,NA
"18187","경기도","안산시","시도",3,126.826804,"2",30,NA
"18671","경기도","안산시","시도",3,126.829401,"2",50,NA
"18742","경기도","안산시","시도",3,126.814954,"2",30,NA
