"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5","경기도","안성시","시도",3,127.242478,"2",60,NA
"107","경기도","안성시","일반국도",3,127.474985821,"2",70,NA
"143","경기도","안성시","일반국도",3,127.3655704,"2",70,NA
"144","경기도","안성시","일반국도",3,127.371513,"2",70,NA
"145","경기도","안성시","일반국도",3,127.260707,"2",70,NA
"6218","경기도","안성시","고속국도",3,127.115203256,"1",100,NA
"6298","경기도","안성시","시도",3,127.410967,"1",60,NA
"6956","경기도","안성시","지방도",2,127.420908,"1",30,45
"6957","경기도","안성시","지방도",2,127.262711,"1",50,45
"6958","경기도","안성시","지방도",2,127.278528,"1",60,45
"6959","경기도","안성시","지방도",2,127.257574,"1",70,45
"7019","경기도","안성시","지방도",2,127.244203,"1",60,45
"7020","경기도","안성시","지방도",1,127.195929,"1",60,45
"7021","경기도","안성시","지방도",1,127.265206,"1",30,45
"7022","경기도","안성시","지방도",1,127.2725395,"1",30,45
"7023","경기도","안성시","지방도",1,127.324537,"1",30,45
"7024","경기도","안성시","지방도",1,127.168262,"1",30,45
"7025","경기도","안성시","지방도",1,127.172747,"1",30,45
"7104","경기도","안성시","지방도",3,127.4333049,"1",30,NA
"7105","경기도","안성시","시도",3,127.244168661,"1",30,NA
"7119","경기도","안성시","시도",3,127.159951,"1",30,NA
"7120","경기도","안성시","지방도",3,127.264499,"1",30,NA
"7121","경기도","안성시","지방도",3,127.260405,"2",30,NA
"7686","경기도","안성시","일반국도",3,127.456662471,"1",50,NA
"7697","경기도","안성시","일반국도",3,127.162222041,"2",50,NA
"9059","경기도","안성시","지방도",3,127.121552515,"2",50,NA
"9211","경기도","안성시","일반국도",3,127.35663236,"2",70,NA
"9257","경기도","안성시","지방도",3,127.218576,"1",60,NA
"9258","경기도","안성시","일반국도",3,127.422639,"2",50,NA
"9326","경기도","안성시","시도",3,127.227872,"2",50,NA
"9352","경기도","안성시","지방도",3,127.257552,"1",70,NA
"9353","경기도","안성시","시도",3,127.262751722,"2",50,NA
"9354","경기도","안성시","지방도",3,127.278378,"2",60,NA
"9359","경기도","안성시","시도",3,127.265177,"2",30,NA
"9379","경기도","안성시","시도",3,127.237952014,"2",50,NA
"9380","경기도","안성시","지방도",3,127.244093,"2",60,NA
"9381","경기도","안성시","지방도",3,127.278758,"2",60,NA
"9612","경기도","안성시","지방도",3,127.250594,"2",60,NA
"11073","경기도","안성시","일반국도",3,127.441417,"1",80,NA
"11204","경기도","안성시","지방도",3,127.220385,"2",60,NA
"12454","경기도","안성시","시도",3,127.172356,"2",30,NA
"12455","경기도","안성시","시도",3,127.168190521,"2",30,NA
"12456","경기도","안성시","시도",3,127.420587,"2",30,NA
"12699","경기도","안성시","지방도",3,127.485024468,"2",60,NA
"13240","경기도","안성시","시도",3,127.206216,"1",50,NA
"14410","경기도","안성시","시도",3,127.271905,"1",30,NA
"14411","경기도","안성시","지방도",3,127.324454597,"1",30,NA
"14412","경기도","안성시","시도",3,127.195929,"1",30,NA
"14416","경기도","안성시","지방도",3,127.284619,"1",40,NA
"14417","경기도","안성시","지방도",3,127.275817,"1",40,NA
"14601","경기도","안성시","시도",3,127.288506,"2",50,NA
"14602","경기도","안성시","시도",3,127.288484205,"2",50,NA
"14614","경기도","안성시","시도",3,127.212228,"1",60,NA
"14642","경기도","안성시","지방도",3,127.250232889,"2",60,NA
"14643","경기도","안성시","시도",3,127.25280319,"2",30,NA
"14644","경기도","안성시","시도",3,127.257499,"2",50,NA
"14931","경기도","안성시","고속국도",3,127.159278,"3",110,NA
"14932","경기도","안성시","고속국도",3,127.159279,"1",110,NA
"14945","경기도","안성시","지방도",3,127.240261221,"1",80,NA
"15481","경기도","안성시","지방도",3,127.250802223,"2",80,NA
"15535","경기도","안성시","지방도",3,127.230708,"1",50,NA
"15789","경기도","안성시","시도",3,127.257108542,"2",50,NA
"15790","경기도","안성시","시도",3,127.257217,"2",50,NA
"16090","경기도","안성시","지방도",3,127.48506844,"2",60,NA
"16658","경기도","안성시","고속국도",3,127.158961,"3",110,NA
"16660","경기도","안성시","고속국도",3,127.170277,"1",100,NA
"16974","경기도","안성시","일반국도",3,127.423292,"2",70,NA
"17005","경기도","안성시","지방도",3,127.2505633,"1",60,45
"17006","경기도","안성시","지방도",2,127.2267216,"1",60,45
"17007","경기도","안성시","지방도",2,127.4332664,"1",80,45
"17008","경기도","안성시","지방도",1,127.218804,"1",60,45
"17009","경기도","안성시","지방도",1,127.3564192,"1",80,45
"17010","경기도","안성시","지방도",1,127.4222237,"1",80,45
"17011","경기도","안성시","지방도",1,127.2314784,"1",60,45
"17012","경기도","안성시","지방도",1,127.212017,"1",60,45
"17013","경기도","안성시","지방도",2,127.250125,"1",30,45
"17014","경기도","안성시","지방도",2,127.257681,"1",30,45
"17015","경기도","안성시","지방도",2,127.288925,"1",60,45
"17016","경기도","안성시","지방도",2,127.288925,"1",60,45
"17017","경기도","안성시","지방도",2,127.237902,"1",60,45
"17018","경기도","안성시","지방도",2,127.278607,"1",60,45
"17179","경기도","안성시","시도",3,127.250452,"2",50,NA
"17338","경기도","안성시","일반국도",3,127.433428292,"2",50,NA
"17972","경기도","안성시","일반국도",3,127.160932,"1",80,NA
"18188","경기도","안성시","일반국도",3,127.145569,"2",70,NA
"18628","경기도","안성시","일반국도",3,127.226415,"2",80,NA
"18739","경기도","안성시","시도",3,127.167883,"2",30,NA
