"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5081","강원도","양구군","일반국도",3,127.9853203,"1",60,NA
"11767","강원도","양구군","일반국도",3,128.007676,"1",60,NA
"11793","강원도","양구군","일반국도",3,128.025309,"2",60,NA
"11827","강원도","양구군","일반국도",3,128.0079831,"1",60,NA
"14529","10","양구군","99",3,127.9891126905,"4",30,NA
"14530","10","양구군","99",3,127.9908919182,"4",30,NA
"14531","10","양구군","99",3,127.98911269,"4",30,NA
"14532","10","양구군","99",3,127.9861713,"4",30,NA
"14533","10","양구군","99",3,127.9869995,"4",30,NA
"14534","10","양구군","99",3,127.9880768,"4",30,NA
"17516","강원도","양구군","일반국도",3,128.042232,"1",60,NA
"17517","강원도","양구군","일반국도",3,127.9856767,"2",70,NA
