"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5889","경상남도","양산시","일반국도",1,129.034717,"02",70,NA
"5891","경상남도","양산시","일반국도",2,129.090307,"02",70,NA
"5897","경상남도","양산시","시도",1,129.045161,"02",50,NA
"6147","경상남도","양산시","지방도",2,129.027514,"02",50,NA
"6148","경상남도","양산시","지방도",1,129.162292,"02",70,NA
"6165","경상남도","양산시","지방도",2,129.168521,"02",70,NA
"6349","경상남도","양산시","일반국도",2,129.056103,"02",70,NA
"6353","경상남도","양산시","일반국도",1,129.086042,"01",70,NA
"6354","경상남도","양산시","시도",1,128.991789,"01",50,NA
"6370","경상남도","양산시","지방도",2,129.155236,"02",70,NA
"6393","경상남도","양산시","일반국도",1,129.025212,"02",70,NA
"6399","경상남도","양산시","시도",2,129.100611,"01",60,NA
"6402","경상남도","양산시","시도",2,129.171121,"01",50,NA
"6524","경상남도","양산시","시도",2,129.016097,"02",50,NA
"6525","경상남도","양산시","지방도",3,129.032238,"01",50,NA
"7414","경상남도","양산시","시도",3,129.019713,"02",50,NA
"7479","경상남도","양산시","시도",1,129.148151,"02",50,NA
"7495","경상남도","양산시","시도",1,129.021087,"02",50,NA
"7496","경상남도","양산시","시도",2,129.000268,"02",50,NA
"7511","경상남도","양산시","일반국도",1,129.040655,"02",70,NA
"7512","경상남도","양산시","일반국도",2,129.040444,"02",70,NA
"7576","경상남도","양산시","시도",2,129.016639,"02",50,NA
"7590","경상남도","양산시","지방도",2,129.018821,"02",50,NA
"7591","경상남도","양산시","일반국도",1,129.035373,"02",70,NA
"7869","경상남도","양산시","시도",2,129.010457,"02",50,NA
"7892","경상남도","양산시","일반국도",2,129.029131,"02",70,NA
"7930","경상남도","양산시","일반국도",1,129.111248,"02",70,NA
"7931","경상남도","양산시","일반국도",2,129.111163,"01",70,NA
"8084","경상남도","양산시","시도",1,129.049831,"02",50,NA
"8124","경상남도","양산시","지방도",1,129.053483,"01",70,NA
"8125","경상남도","양산시","지방도",1,129.070794,"01",70,NA
"8139","경상남도","양산시","일반국도",1,129.021209,"02",70,NA
"8176","경상남도","양산시","시도",1,128.992831,"02",50,NA
"8179","경상남도","양산시","일반국도",2,129.037356,"02",70,NA
"8180","경상남도","양산시","일반국도",1,129.037611,"02",70,NA
"8181","경상남도","양산시","일반국도",3,129.073613,"02",70,NA
"8193","경상남도","양산시","지방도",1,129.182883,"02",70,NA
"8194","경상남도","양산시","시도",2,129.006167,"02",50,NA
"8195","경상남도","양산시","시도",2,128.994509,"02",50,NA
"8226","경상남도","양산시","일반국도",1,129.172188,"01",80,NA
"8227","경상남도","양산시","지방도",2,129.183443,"02",70,NA
"8229","경상남도","양산시","시도",1,129.032026,"02",30,NA
"8230","경상남도","양산시","시도",2,129.032319,"02",30,NA
"8231","경상남도","양산시","시도",1,128.990071,"02",30,NA
"8232","경상남도","양산시","시도",2,128.990621,"02",30,NA
"8384","경상남도","양산시","시도",1,128.996991,"02",30,NA
"8385","경상남도","양산시","시도",2,128.996685,"02",30,NA
"8401","경상남도","양산시","일반국도",2,129.056457,"02",70,NA
"8402","경상남도","양산시","지방도",2,129.155478,"02",70,NA
"8403","경상남도","양산시","지방도",2,129.123218,"01",70,NA
"8435","경상남도","양산시","시도",2,129.163155,"01",50,NA
"8436","경상남도","양산시","시도",1,129.163147,"01",50,NA
"8463","경상남도","양산시","시도",1,129.017153,"02",50,NA
"8464","경상남도","양산시","시도",2,129.017145,"02",50,NA
"8483","경상남도","양산시","지방도",1,129.155598,"02",70,NA
"8494","경상남도","양산시","일반국도",2,129.172141,"01",80,NA
"8495","경상남도","양산시","일반국도",2,129.163964,"01",80,NA
"8573","경상남도","양산시","시도",2,129.004927,"02",30,NA
"8634","경상남도","양산시","시도",2,129.152389,"02",30,NA
"8734","경상남도","양산시","지방도",1,129.018976,"02",50,NA
"8770","경상남도","양산시","시도",1,128.998327,"02",30,NA
"8771","경상남도","양산시","시도",2,128.998761,"02",30,NA
"8772","경상남도","양산시","시도",2,129.145711,"02",30,NA
"8773","경상남도","양산시","시도",1,129.145864,"02",30,NA
"15344","부산광역시","양산시","고속국도",1,129.046001,"1",100,NA
