"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2308","강원도","양양군","일반국도",3,128.608837,"1",60,NA
"3423","강원도","양양군","고속국도",2,128.529323,"1",100,16
"3424","강원도","양양군","고속국도",2,128.529323,"1",100,16
"3425","강원도","양양군","고속국도",1,128.529503,"1",100,16
"3426","강원도","양양군","고속국도",1,128.529503,"1",100,16
"5691","강원도","양양군","일반국도",3,128.6264119,"1",60,NA
"6274","강원도","양양군","일반국도",3,128.621861,"2",70,NA
"6659","강원도","양양군","일반국도",3,128.6080977,"1",60,NA
"6671","강원도","양양군","일반국도",3,128.7886453,"2",80,NA
"11117","강원도","양양군","일반국도",3,128.633979,"2",70,NA
"11154","강원도","양양군","일반국도",3,128.7658355,"2",60,NA
"11791","강원도","양양군","일반국도",3,128.6294589,"2",70,NA
"11792","강원도","양양군","일반국도",3,128.6294589,"2",70,NA
"11799","강원도","양양군","일반국도",3,128.6462385,"1",80,NA
"13982","강원도","양양군","기타",3,128.624528462,"4",30,NA
"13983","강원도","양양군","기타",3,128.6224324899,"4",30,NA
"13984","강원도","양양군","기타",3,128.6213652441,"4",30,NA
"13985","강원도","양양군","기타",3,128.6229021792,"4",30,NA
"13986","강원도","양양군","기타",3,NA,"4",30,NA
"13987","강원도","양양군","기타",3,NA,"4",30,NA
"13988","강원도","양양군","기타",3,128.619016999,"4",30,NA
"13989","강원도","양양군","기타",3,128.6274852204,"4",30,NA
"13990","강원도","양양군","기타",3,NA,"4",30,NA
"13991","강원도","양양군","기타",3,NA,"4",30,NA
"17519","강원도","양양군","고속국도",2,128.634027,"1",100,NA
"17809","강원도","양양군","일반국도",3,128.616066,"2",70,NA
"17810","강원도","양양군","일반국도",3,128.616305,"2",70,NA
"17825","강원도","양양군","일반국도",3,128.7683668,"1",80,NA
