"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3448","경기도","양주시","지방도",3,126.9696337,"2",60,NA
"3449","경기도","양주시","지방도",3,127.0266156,"2",60,NA
"3450","경기도","양주시","시도",3,126.9691904,"2",50,NA
"3451","경기도","양주시","지방도",3,126.9679482,"2",60,NA
"3897","경기도","양주시","시도",3,127.088819,"1",60,NA
"3899","경기도","양주시","시도",3,127.0883766,"2",60,NA
"3920","경기도","양주시","지방도",3,127.0494322,"2",60,NA
"3931","경기도","양주시","지방도",3,127.054444,"2",60,NA
"4170","경기도","양주시","지방도",3,126.9756104,"2",30,NA
"4171","경기도","양주시","시도",3,126.969444,"2",60,NA
"4172","경기도","양주시","시도",3,127.0822014,"2",60,NA
"4321","경기도","양주시","시도",3,127.079414,"2",50,NA
"4322","경기도","양주시","지방도",3,127.068834,"2",50,NA
"4323","경기도","양주시","시도",3,127.084955,"2",50,NA
"4324","경기도","양주시","일반국도",3,127.054643,"2",50,NA
"4325","경기도","양주시","지방도",3,126.989137,"2",50,NA
"4329","경기도","양주시","일반국도",3,126.971784,"1",80,NA
"4330","경기도","양주시","일반국도",3,126.987241,"1",80,NA
"4346","경기도","양주시","시도",3,127.0256605,"2",50,NA
"4347","경기도","양주시","시도",3,127.0368077,"2",50,NA
"4348","경기도","양주시","시도",3,126.9986882,"2",60,NA
"4349","경기도","양주시","지방도",3,126.9551935,"2",50,NA
"4350","경기도","양주시","지방도",3,126.980417,"2",60,NA
"4351","경기도","양주시","지방도",3,127.0237615,"2",40,NA
"4352","경기도","양주시","시도",3,127.0847321,"2",50,NA
"4353","경기도","양주시","시도",3,127.0797479,"2",50,NA
"4354","경기도","양주시","시도",3,127.049447,"2",30,NA
"4355","경기도","양주시","지방도",3,127.046583,"2",50,NA
"4356","경기도","양주시","시도",3,127.103439,"2",60,NA
"4357","경기도","양주시","시도",3,126.965615,"2",60,NA
"4358","경기도","양주시","지방도",3,126.996623,"2",60,NA
"4359","경기도","양주시","지방도",3,126.998741,"1",60,NA
"4373","경기도","양주시","고속국도",3,126.945335,"1",100,NA
"4374","경기도","양주시","고속국도",3,126.945335,"1",100,NA
"4375","경기도","양주시","고속국도",3,126.945335,"1",100,NA
"4376","경기도","양주시","고속국도",3,126.945335,"1",100,NA
"4382","경기도","양주시","지방도",3,127.0304583,"2",40,NA
"4397","경기도","양주시","지방도",3,126.8953399,"2",40,NA
