"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4528","서울특별시","양천구","특별시도",2,126.880805,"2",50,NA
"4560","서울특별시","양천구","특별시도",2,126.83509,"2",50,NA
"12362","서울특별시","양천구","특별시도",2,126.84106,"2",60,NA
"12407","서울특별시","양천구","특별시도",1,126.870761,"2",50,NA
"12916","서울특별시","양천구","특별시도",1,126.886713,"2",60,NA
"12954","서울특별시","양천구","특별시도",1,126.870775,"2",50,NA
"16398","서울특별시","양천구","특별시도",2,126.828996,"2",50,NA
"17534","서울특별시","양천구","특별시도",1,126.863041,"2",50,NA
"17572","서울특별시","양천구","특별시도",2,126.888006,"2",60,NA
"17592","서울특별시","양천구","특별시도",2,126.869927,"1",50,NA
"17606","서울특별시","양천구","특별시도",2,126.832309,"2",60,NA
"17608","서울특별시","양천구","특별시도",2,126.836666,"2",60,NA
"17631","서울특별시","양천구","특별시도",2,126.869883,"2",40,NA
"18339","서울특별시","양천구","특별시도",2,126.875166,"2",60,NA
"18340","서울특별시","양천구","특별시도",1,126.852527,"2",50,NA
"18341","서울특별시","양천구","특별시도",2,126.864113,"2",60,NA
"18348","서울특별시","양천구","특별시도",1,126.878198,"2",60,NA
"18376","서울특별시","양천구","특별시도",1,126.840272,"2",30,NA
"18380","서울특별시","양천구","특별시도",2,126.864558,"2",50,NA
"18381","서울특별시","양천구","특별시도",1,126.826152,"2",60,NA
"18382","서울특별시","양천구","특별시도",1,126.844553,"2",50,NA
