"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"50","경기도","양평군","군도",3,127.496700341,"2",50,NA
"130","경기도","양평군","일반국도",3,127.766172,"1",60,NA
"4837","경기도","양평군","일반국도",3,127.724741,"2",80,NA
"5861","경기도","양평군","고속국도",3,127.4075709,"1",100,NA
"5862","경기도","양평군","고속국도",3,127.4075709,"1",100,NA
"5867","경기도","양평군","고속국도",3,127.4711417,"1",100,NA
"6221","경기도","양평군","일반국도",3,127.441294,"1",60,NA
"7699","경기도","양평군","일반국도",3,127.693551,"2",50,NA
"7739","경기도","양평군","군도",3,127.520486,"2",90,NA
"9198","경기도","양평군","군도",3,127.590797308,"2",30,NA
"9199","경기도","양평군","군도",3,127.325002,"2",30,NA
"9235","경기도","양평군","군도",3,127.486817726,"2",30,NA
"9625","경기도","양평군","일반국도",3,127.660156,"2",50,NA
"9626","경기도","양평군","일반국도",3,127.449846,"2",80,NA
"9629","경기도","양평군","군도",3,127.509088,"2",30,NA
"11075","경기도","양평군","일반국도",3,127.5758909,"1",70,NA
"11540","경기도","양평군","시도",3,127.502205801,"2",50,NA
"11541","경기도","양평군","시도",3,127.515198,"2",50,NA
"11542","경기도","양평군","시도",3,127.489443775,"2",50,NA
"13217","경기도","양평군","일반국도",3,127.400908,"2",60,NA
"13241","경기도","양평군","일반국도",3,127.575883,"1",60,NA
"14450","경기도","양평군","일반국도",3,127.545964,"1",70,NA
"14458","경기도","양평군","지방도",3,127.479577679,"2",60,NA
"14459","경기도","양평군","일반국도",3,127.399469,"2",70,NA
"14667","경기도","양평군","일반국도",3,127.518155,"2",60,NA
"14703","경기도","양평군","일반국도",3,127.351421,"1",70,NA
"14946","경기도","양평군","일반국도",3,127.381106,"1",70,NA
"14947","경기도","양평군","일반국도",3,127.304103,"1",80,NA
"14954","경기도","양평군","군도",3,127.492005,"4",0,NA
"14955","경기도","양평군","군도",3,127.490325,"4",0,NA
"14956","경기도","양평군","군도",3,127.488654,"4",0,NA
"14957","경기도","양평군","군도",3,127.489156,"4",0,NA
"14958","경기도","양평군","군도",3,127.488508,"4",0,NA
"14959","경기도","양평군","군도",3,127.487008,"4",0,NA
"14960","경기도","양평군","군도",3,127.487008,"4",0,NA
"14979","경기도","양평군","군도",3,127.320467,"4",0,NA
"14980","경기도","양평군","군도",3,127.319071,"4",0,NA
"14981","경기도","양평군","군도",3,127.594559,"4",0,NA
"14982","경기도","양평군","군도",3,127.593209,"4",0,NA
"14983","경기도","양평군","군도",3,127.593209,"4",0,NA
"14984","경기도","양평군","군도",3,127.591847,"4",0,NA
"14985","경기도","양평군","군도",3,127.502521,"4",0,NA
"14986","경기도","양평군","군도",3,127.502521,"4",0,NA
"14987","경기도","양평군","군도",3,127.496345,"4",0,NA
"14988","경기도","양평군","군도",3,127.496345,"4",0,NA
"14989","경기도","양평군","군도",3,127.492019,"4",0,NA
"15694","경기도","양평군","지방도",3,127.348952202,"2",30,NA
"15695","경기도","양평군","지방도",3,127.610707,"2",30,NA
"16603","경기도","양평군","지방도",3,127.475658,"1",90,NA
"17187","경기도","양평군","지방도",3,127.620555,"1",60,NA
"17316","경기도","양평군","일반국도",3,127.441864659,"2",90,NA
"18192","경기도","양평군","일반국도",3,127.466356,"2",50,NA
"18740","경기도","양평군","지방도",3,127.326483,"1",60,NA
