"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"108","경기도","여주시","일반국도",3,127.637933,"2",60,NA
"113","경기도","여주시","지방도",3,127.613897,"1",70,NA
"114","경기도","여주시","일반국도",3,127.586773579,"1",70,NA
"149","경기도","여주시","시도",3,127.631258,"2",70,NA
"5225","경기도","여주시","일반국도",3,127.556515534,"2",70,NA
"5866","경기도","여주시","고속국도",3,127.491781,"1",100,NA
"5868","경기도","여주시","고속국도",3,127.5796833,"1",110,NA
"5869","경기도","여주시","고속국도",3,127.5707861,"1",110,NA
"7700","경기도","여주시","일반국도",3,127.529426826,"2",80,NA
"8647","경기도","여주시","일반국도",3,127.570632,"1",60,NA
"9053","경기도","여주시","일반국도",3,127.564150645,"2",60,NA
"9247","경기도","여주시","지방도",3,127.588379,"2",60,NA
"9248","경기도","여주시","지방도",3,127.553408,"2",50,NA
"9249","경기도","여주시","지방도",3,127.553245,"2",70,NA
"9250","경기도","여주시","일반국도",3,127.563125386,"2",70,NA
"9251","경기도","여주시","지방도",3,127.541501229,"2",60,NA
"9252","경기도","여주시","지방도",3,127.610682,"2",60,NA
"9253","경기도","여주시","시도",3,127.644859,"2",70,NA
"9262","경기도","여주시","지방도",3,127.579675,"1",60,NA
"9263","경기도","여주시","지방도",3,127.524083,"1",50,NA
"9264","경기도","여주시","일반국도",3,127.568481452,"1",60,NA
"9636","경기도","여주시","지방도",3,127.666689059,"1",50,NA
"9641","경기도","여주시","일반국도",3,127.662555,"2",50,NA
"11253","경기도","여주시","지방도",3,127.603902,"2",70,NA
"12450","경기도","여주시","시도",3,127.64356552,"2",30,NA
"13218","경기도","여주시","일반국도",3,127.580926,"2",70,NA
"13850","경기도","여주시","시도",3,127.6283278,"4",0,NA
"14338","경기도","여주시","시도",3,127.6350851,"4",0,NA
"14546","경기도","여주시","시도",3,127.6364453,"4",0,NA
"14666","경기도","여주시","시도",3,127.6350887,"4",0,NA
"14668","경기도","여주시","일반국도",3,127.5417754,"2",60,NA
"14694","경기도","여주시","일반국도",3,127.647398,"2",60,NA
"14695","경기도","여주시","시도",3,127.634427,"2",50,NA
"14696","경기도","여주시","지방도",3,127.443603,"2",60,NA
"14697","경기도","여주시","일반국도",3,127.534671,"2",60,NA
"14698","경기도","여주시","시도",3,127.638155,"2",50,NA
"14711","경기도","여주시","시도",3,127.630109,"2",50,NA
"14726","경기도","여주시","시도",3,127.6392736,"4",0,NA
"15083","경기도","여주시","시도",3,127.6372475,"4",0,NA
"15084","경기도","여주시","시도",3,127.6349192,"4",0,NA
"15085","경기도","여주시","시도",3,127.6329127,"4",0,NA
"15086","경기도","여주시","시도",3,127.6357245,"4",0,NA
"15087","경기도","여주시","시도",3,127.6399108,"4",0,NA
"15088","경기도","여주시","시도",3,127.6366236,"4",0,NA
"15089","경기도","여주시","시도",3,127.6377578,"4",0,NA
"15090","경기도","여주시","시도",3,127.6359666,"4",0,NA
"15091","경기도","여주시","시도",3,127.6444406,"4",0,NA
"15092","경기도","여주시","시도",3,127.5428463,"4",0,NA
"15093","경기도","여주시","시도",3,127.546109,"4",0,NA
"15094","경기도","여주시","시도",3,127.6322754,"4",0,NA
"15095","경기도","여주시","시도",3,127.6293082,"4",0,NA
"15096","경기도","여주시","시도",3,127.6299383,"4",0,NA
"15097","경기도","여주시","시도",3,127.6441048,"4",0,NA
"15098","경기도","여주시","시도",3,127.6393842,"4",0,NA
"15106","경기도","여주시","일반국도",3,127.555936,"2",70,NA
"15107","경기도","여주시","일반국도",3,127.662555,"2",60,NA
"15108","경기도","여주시","지방도",3,127.630109,"2",70,NA
"15109","경기도","여주시","일반국도",3,127.650341,"2",80,NA
"15110","경기도","여주시","일반국도",3,127.652722,"2",80,NA
"15111","경기도","여주시","지방도",3,127.634413,"2",30,NA
"15112","경기도","여주시","지방도",3,127.637361,"2",50,NA
"15113","경기도","여주시","지방도",3,127.664539,"2",80,NA
"15114","경기도","여주시","지방도",3,127.653633,"2",50,NA
"15115","경기도","여주시","일반국도",3,127.605002,"2",80,NA
"15116","경기도","여주시","일반국도",3,127.580926,"2",60,NA
"15117","경기도","여주시","지방도",3,127.587894,"2",50,NA
"15118","경기도","여주시","지방도",3,127.553659,"2",70,NA
"15119","경기도","여주시","지방도",3,127.553069,"2",70,NA
"15120","경기도","여주시","일반국도",3,127.563287,"2",70,NA
"15121","경기도","여주시","지방도",3,127.541434,"2",60,NA
