"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1568","인천광역시","연수구","지방도",2,126.6365895,"1",60,NA
"1575","인천광역시","연수구","특별시도",2,126.6674826,"1",60,NA
"1576","인천광역시","연수구","특별시도",2,126.6674826,"1",60,NA
"1583","인천광역시","연수구","특별시도",1,126.6977182,"2",60,NA
"1584","인천광역시","연수구","특별시도",2,126.668234,"2",60,NA
"1591","인천광역시","연수구","특별시도",2,126.6847792,"1",50,NA
"2289","인천광역시","연수구","지방도",2,126.660646,"1",60,NA
"6071","인천광역시","연수구","특별시도",1,126.6554942,"2",50,NA
"6072","인천광역시","연수구","기타",2,126.6344656,"2",50,NA
"6093","인천광역시","연수구","특별시도",1,126.6649439,"2",30,NA
"6104","인천광역시","연수구","특별시도",1,126.6653453,"1",50,NA
"6989","인천광역시","연수구","특별시도",1,126.6282522,"2",50,NA
"6990","인천광역시","연수구","특별시도",2,126.6286758,"2",50,NA
"9896","인천광역시","연수구","지방도",2,126.6465813,"2",60,NA
"9897","인천광역시","연수구","특별시도",1,126.6343614,"2",50,NA
"9898","인천광역시","연수구","특별시도",2,126.6942461,"2",60,NA
"9899","인천광역시","연수구","특별시도",1,126.6448118,"2",50,NA
"9903","인천광역시","연수구","지방도",1,126.6389644,"1",60,NA
"9923","인천광역시","연수구","특별시도",2,126.646278,"1",50,NA
"9924","인천광역시","연수구","특별시도",1,126.6753428,"1",50,NA
"9943","인천광역시","연수구","특별시도",3,126.6828796,"1",60,NA
"9944","인천광역시","연수구","특별시도",3,126.6830554,"1",60,NA
"9958","인천광역시","연수구","특별시도",2,126.623093,"2",50,NA
"9959","인천광역시","연수구","특별시도",1,126.6235013,"2",50,NA
"9984","인천광역시","연수구","고속국도",3,126.5940688,"1",100,NA
"9985","인천광역시","연수구","고속국도",3,126.5940607,"1",100,NA
"9986","인천광역시","연수구","고속국도",3,126.5208758,"1",100,NA
"9987","인천광역시","연수구","고속국도",3,126.5209209,"1",100,NA
"9988","인천광역시","연수구","고속국도",3,126.5209547,"1",100,NA
"9989","인천광역시","연수구","고속국도",3,126.5208252,"1",100,NA
"9990","인천광역시","연수구","고속국도",3,126.5207773,"1",100,NA
"9991","인천광역시","연수구","고속국도",3,126.5207463,"1",100,NA
"9992","인천광역시","연수구","고속국도",3,126.5940713,"1",100,NA
"9993","인천광역시","연수구","고속국도",3,126.5940711,"1",100,NA
"9994","인천광역시","연수구","고속국도",3,126.5940765,"1",100,NA
"10007","인천광역시","연수구","특별시도",1,126.6691164,"2",30,NA
"10029","인천광역시","연수구","고속국도",3,126.5940688,"1",100,NA
"10085","인천광역시","연수구","특별시도",1,126.6601898,"1",50,NA
