"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2440","부산광역시","연제구","특별시도",3,129.097415,"2",50,NA
"2490","부산광역시","연제구","일반국도",3,129.073419,"2",50,NA
"2491","부산광역시","연제구","특별시도",3,129.071892,"2",50,NA
"5180","부산광역시","연제구","일반국도",3,129.0955022,"4",0,NA
"5181","부산광역시","연제구","일반국도",3,129.108417,"4",0,NA
"5182","부산광역시","연제구","일반국도",3,129.0836192,"4",0,NA
"6461","부산광역시","연제구","일반국도",3,129.0757203,"4",0,NA
"6462","부산광역시","연제구","일반국도",3,129.0845878,"4",0,NA
"6463","부산광역시","연제구","일반국도",3,129.0816188,"4",0,NA
"6464","부산광역시","연제구","일반국도",3,129.0959386,"4",0,NA
"6465","부산광역시","연제구","일반국도",3,129.0919158,"4",0,NA
"6466","부산광역시","연제구","일반국도",3,129.0751121,"4",0,NA
"6467","부산광역시","연제구","일반국도",3,129.087532,"4",0,NA
"6468","부산광역시","연제구","일반국도",3,129.1026536,"4",0,NA
"6470","부산광역시","연제구","일반국도",3,129.1066491,"4",0,NA
"6471","부산광역시","연제구","일반국도",3,129.0746234,"4",0,NA
"6472","부산광역시","연제구","일반국도",3,129.0850509,"4",0,NA
"6473","부산광역시","연제구","일반국도",3,129.0678375,"4",0,NA
"6474","부산광역시","연제구","일반국도",3,129.074685,"4",0,NA
"6475","부산광역시","연제구","일반국도",3,129.083194,"4",0,NA
"6476","부산광역시","연제구","일반국도",3,129.0778734,"4",0,NA
"6477","부산광역시","연제구","일반국도",3,129.077845,"4",0,NA
"6478","부산광역시","연제구","일반국도",3,129.077845,"4",0,NA
"6490","부산광역시","연제구","일반국도",3,129.0815238,"4",0,NA
"6491","부산광역시","연제구","일반국도",3,129.0806669,"4",0,NA
"6492","부산광역시","연제구","일반국도",3,129.0785884,"4",0,NA
"6493","부산광역시","연제구","일반국도",3,129.0788022,"4",0,NA
"6494","부산광역시","연제구","일반국도",3,129.1052406,"4",0,NA
"6495","부산광역시","연제구","일반국도",3,129.0832098,"4",0,NA
"6496","부산광역시","연제구","일반국도",3,129.108163,"4",0,NA
"6497","부산광역시","연제구","일반국도",3,129.1110548,"4",0,NA
"6498","부산광역시","연제구","일반국도",3,129.0801787,"4",0,NA
"6499","부산광역시","연제구","일반국도",3,129.0784668,"4",0,NA
"6500","부산광역시","연제구","일반국도",3,129.0742793,"4",0,NA
"6501","부산광역시","연제구","일반국도",3,129.1073734,"4",0,NA
"6502","부산광역시","연제구","일반국도",3,129.0755738,"4",0,NA
"6503","부산광역시","연제구","일반국도",3,129.0815238,"4",0,NA
"6504","부산광역시","연제구","일반국도",3,129.0665946,"4",0,NA
"6505","부산광역시","연제구","일반국도",3,129.0658542,"4",0,NA
"6506","부산광역시","연제구","일반국도",3,129.0742398,"4",0,NA
"6507","부산광역시","연제구","일반국도",3,129.0837785,"4",0,NA
"6508","부산광역시","연제구","일반국도",3,129.094674,"4",0,NA
"6509","부산광역시","연제구","일반국도",3,129.0977111,"4",0,NA
"6510","부산광역시","연제구","일반국도",3,129.0998791,"4",0,NA
"6511","부산광역시","연제구","일반국도",3,129.087487,"4",0,NA
"6512","부산광역시","연제구","일반국도",3,129.082793,"4",0,NA
"6513","부산광역시","연제구","일반국도",3,129.0867669,"4",0,NA
"6514","부산광역시","연제구","일반국도",3,129.0822697,"4",0,NA
"6515","부산광역시","연제구","일반국도",3,129.0857022,"4",0,NA
"6516","부산광역시","연제구","일반국도",3,129.0783697,"4",0,NA
"6517","부산광역시","연제구","일반국도",3,129.067702,"4",0,NA
"7342","부산광역시","연제구","특별시도",3,129.066971,"2",50,NA
"7752","부산광역시","연제구","특별시도",3,129.112184,"2",50,NA
"7753","부산광역시","연제구","특별시도",3,129.113809,"2",50,NA
"8868","부산광역시","연제구","특별시도",3,129.108927,"2",40,NA
"8869","부산광역시","연제구","기타",3,129.091021,"2",30,NA
"8890","부산광역시","연제구","기타",3,129.068136,"1",30,NA
"11241","부산광역시","연제구","일반국도",3,129.074582,"2",50,NA
"12168","부산광역시","연제구","시도",3,129.0806648,"3",0,30
"12169","부산광역시","연제구","시도",3,129.0802182,"3",0,30
"13195","부산광역시","연제구","일반국도",3,129.081983,"2",50,NA
"14771","부산광역시","연제구","특별시도",3,129.107327,"1",50,NA
"14796","부산광역시","연제구","특별시도",3,129.109274,"2",50,NA
"14797","부산광역시","연제구","특별시도",3,129.064806,"2",50,NA
"14798","부산광역시","연제구","특별시도",3,129.088187,"2",50,NA
"15025","부산광역시","연제구","일반국도",3,129.059197,"2",50,NA
"15146","부산광역시","연제구","일반국도",3,129.070395,"2",50,NA
"15147","부산광역시","연제구","일반국도",3,129.070046,"2",50,NA
"15218","부산광역시","연제구","특별시도",3,129.113799,"2",50,NA
"15233","부산광역시","연제구","특별시도",3,129.066773,"1",50,NA
"15392","부산광역시","연제구","특별시도",3,129.089991,"1",50,NA
"15413","부산광역시","연제구","특별시도",3,129.122731,"1",50,NA
"15452","부산광역시","연제구","특별시도",3,129.062617,"2",50,NA
"15477","부산광역시","연제구","특별시도",3,129.109471,"2",50,NA
"15478","부산광역시","연제구","특별시도",3,129.081482,"2",50,NA
"15504","부산광역시","연제구","특별시도",3,129.116944,"2",50,NA
"15505","부산광역시","연제구","일반국도",3,129.080236,"2",50,NA
"17845","부산광역시","연제구","특별시도",3,129.101219,"2",50,NA
"17846","부산광역시","연제구","기타",3,129.069531,"2",30,NA
