"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4162","경기도","연천군","시도",3,127.024166,"1",60,NA
"4379","경기도","연천군","일반국도",3,127.005086,"1",80,NA
"4383","경기도","연천군","일반국도",3,127.070701,"2",70,NA
"4693","경기도","연천군","일반국도",3,127.220801,"1",80,NA
"4721","경기도","연천군","일반국도",3,127.0448107,"2",80,NA
"4722","경기도","연천군","일반국도",3,127.044101,"2",80,NA
"4980","경기도","연천군","일반국도",3,127.074548,"1",80,NA
"4981","경기도","연천군","일반국도",3,127.086727,"1",80,NA
"4982","경기도","연천군","일반국도",3,127.063866,"2",60,NA
"4983","경기도","연천군","일반국도",3,127.067407,"2",60,NA
"4984","경기도","연천군","시도",3,127.078417,"2",50,NA
"4985","경기도","연천군","시도",3,127.078181,"2",50,NA
"4986","경기도","연천군","시도",3,127.108592,"2",50,NA
"4987","경기도","연천군","시도",3,127.1087281,"2",50,NA
"5817","경기도","연천군","시도",3,127.0040755,"2",50,NA
"5818","경기도","연천군","시도",3,127.0041661,"2",50,NA
"5823","경기도","연천군","일반국도",3,127.0908806,"2",70,NA
"6960","경기도","연천군","지방도",1,127.0710272679,"2",50,NA
"6961","경기도","연천군","지방도",1,127.0775736739,"2",80,NA
"6962","경기도","연천군","지방도",1,127.0706177,"2",80,NA
"6963","경기도","연천군","지방도",2,127.0878202948,"2",60,NA
"6964","경기도","연천군","지방도",1,127.0238404,"2",60,NA
"6965","경기도","연천군","지방도",2,127.0696698,"01+02",60,NA
"6966","경기도","연천군","지방도",1,127.0641459603,"01+02",60,NA
"6967","경기도","연천군","지방도",1,127.0788418,"01+02",50,NA
"6968","경기도","연천군","지방도",2,127.0788418,"01+02",50,NA
"6969","경기도","연천군","지방도",1,127.108753189,"01+02",50,NA
"6970","경기도","연천군","지방도",2,127.108753189,"01+02",50,NA
"6971","경기도","연천군","지방도",1,127.0696698,"2",60,NA
"6972","경기도","연천군","지방도",2,127.0775736739,"2",80,NA
"6973","경기도","연천군","지방도",2,127.0676568493,"2",80,NA
"6974","경기도","연천군","지방도",1,127.0676568493,"2",80,NA
"6975","경기도","연천군","지방도",1,127.0775736739,"2",80,NA
"18079","경기도","연천군","일반국도",3,127.0768209,"2",70,NA
"18119","경기도","연천군","일반국도",3,127.077501,"2",70,NA
"18120","경기도","연천군","일반국도",3,127.067777,"2",70,NA
"18121","경기도","연천군","일반국도",3,127.067501,"2",70,NA
"18770","경기도","연천군","지방도",2,127.0775736739,"2",80,NA
"18771","경기도","연천군","지방도",2,127.0676568493,"2",80,NA
"18772","경기도","연천군","지방도",1,127.0676568493,"2",80,NA
"18773","경기도","연천군","지방도",1,127.0775736739,"2",80,NA
"18774","경기도","연천군","지방도",1,127.0710272679,"2",50,NA
"18775","경기도","연천군","지방도",1,127.0655373,"2",80,NA
"18776","경기도","연천군","지방도",1,127.0706177,"2",80,NA
"18777","경기도","연천군","지방도",2,127.0878202948,"2",60,NA
"18778","경기도","연천군","지방도",1,127.0238404,"2",60,NA
"18779","경기도","연천군","지방도",2,127.0696698,"01+02",60,NA
"18780","경기도","연천군","지방도",1,127.0641459603,"01+02",60,NA
"18781","경기도","연천군","지방도",1,127.0788418,"01+02",50,NA
"18782","경기도","연천군","지방도",2,127.0788418,"01+02",50,NA
"18783","경기도","연천군","지방도",1,127.108753189,"01+02",50,NA
"18784","경기도","연천군","지방도",2,127.108753189,"01+02",50,NA
"18785","경기도","연천군","지방도",1,127.0696698,"2",60,NA
"18786","경기도","연천군","지방도",2,127.0775736739,"2",80,NA
"18787","경기도","연천군","지방도",2,127.0676568493,"2",80,NA
"18788","경기도","연천군","지방도",1,127.0676568493,"2",80,NA
"18789","경기도","연천군","지방도",1,127.0655373,"2",80,NA
"18997","경기도","연천군","지방도",1,127.0710272679,"2",50,NA
"18998","경기도","연천군","지방도",1,127.0655373,"2",80,NA
"18999","경기도","연천군","지방도",1,127.0706177,"2",80,NA
"19000","경기도","연천군","지방도",2,127.0878202948,"2",60,NA
"19001","경기도","연천군","지방도",1,127.0238404,"2",60,NA
"19002","경기도","연천군","지방도",2,127.0696698,"01+02",60,NA
"19003","경기도","연천군","지방도",1,127.0641459603,"01+02",60,NA
"19004","경기도","연천군","지방도",1,127.0788418,"01+02",50,NA
"19005","경기도","연천군","지방도",2,127.0788418,"01+02",50,NA
"19006","경기도","연천군","지방도",1,127.108753189,"01+02",50,NA
"19007","경기도","연천군","지방도",2,127.108753189,"01+02",50,NA
"19008","경기도","연천군","지방도",1,127.0696698,"2",60,NA
