"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2441","부산광역시","영도구","특별시도",3,129.036803,"2",50,NA
"2492","부산광역시","영도구","특별시도",3,129.080887,"2",50,NA
"7727","부산광역시","영도구","특별시도",3,129.046491,"2",50,NA
"7728","부산광역시","영도구","특별시도",3,129.045815,"2",50,NA
"11243","부산광역시","영도구","기타",3,129.071768,"2",30,NA
"11244","부산광역시","영도구","기타",3,129.042801,"2",30,NA
"11727","부산광역시","영도구","특별시도",3,129.042639,"1",50,NA
"12686","부산광역시","영도구","기타",3,129.045001,"2",30,NA
"14772","부산광역시","영도구","기타",3,129.060628,"1",50,NA
"14820","부산광역시","영도구","특별시도",3,129.067681,"1",50,NA
"14827","부산광역시","영도구","특별시도",3,129.039231,"2",30,NA
"15234","부산광역시","영도구","기타",3,129.075371,"1",50,NA
"15365","부산광역시","영도구","특별시도",3,129.072181,"2",50,NA
"15366","부산광역시","영도구","특별시도",3,129.049241,"2",50,NA
"15367","부산광역시","영도구","특별시도",3,129.054913,"2",50,NA
"15368","부산광역시","영도구","특별시도",3,129.041354,"2",50,NA
"15369","부산광역시","영도구","기타",3,129.070653,"1",50,NA
"15397","부산광역시","영도구","특별시도",3,129.043542,"2",50,NA
"15408","부산광역시","영도구","특별시도",3,129.039871,"1",60,NA
"15497","부산광역시","영도구","기타",3,129.071081,"1",50,NA
"15502","부산광역시","영도구","특별시도",3,129.039786,"2",50,NA
"19110","부산광역시","영도구","7",3,129.0705059,"4",50,NA
"19111","부산광역시","영도구","7",3,129.040088,"4",50,NA
"19112","부산광역시","영도구","7",3,129.0414794,"4",50,NA
"19113","부산광역시","영도구","7",3,129.0380297,"4",50,NA
"19114","부산광역시","영도구","7",3,129.0420697,"4",50,NA
"19115","부산광역시","영도구","7",3,129.0434267,"4",50,NA
"19116","부산광역시","영도구","7",3,129.0721979,"4",50,NA
"19117","부산광역시","영도구","7",3,129.0400711,"4",50,NA
"19118","부산광역시","영도구","7",3,129.0441816,"4",50,NA
"19119","부산광역시","영도구","7",3,129.0693477,"4",50,NA
"19120","부산광역시","영도구","7",3,129.0424332,"4",50,NA
"19121","부산광역시","영도구","7",3,129.0377643,"4",50,NA
"19122","부산광역시","영도구","7",3,129.0674845,"4",50,NA
"19123","부산광역시","영도구","7",3,129.0460846,"4",50,NA
"19124","부산광역시","영도구","7",3,129.0425988,"4",50,NA
"19125","부산광역시","영도구","7",3,129.0423592,"4",50,NA
"19126","부산광역시","영도구","7",3,129.0425989,"4",50,NA
"19127","부산광역시","영도구","7",3,129.0440782,"4",50,NA
"19128","부산광역시","영도구","7",3,129.0461809,"4",50,NA
