"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4529","서울특별시","영등포구","특별시도",1,126.901504,"2",60,NA
"11287","서울특별시","영등포구","일반국도",2,126.887412,"1",80,NA
"12347","서울특별시","영등포구","특별시도",2,126.895321,"1",60,NA
"12383","서울특별시","영등포구","특별시도",2,126.91783,"2",60,NA
"12384","서울특별시","영등포구","특별시도",1,126.935227,"2",50,NA
"12406","서울특별시","영등포구","특별시도",2,126.904892,"2",50,NA
"12408","서울특별시","영등포구","일반국도",1,126.907133,"2",50,NA
"12634","서울특별시","영등포구","특별시도",2,126.917146,"2",60,NA
"12911","서울특별시","영등포구","고속국도",2,126.888221,"1",80,NA
"12914","서울특별시","영등포구","특별시도",1,126.917151,"2",60,NA
"12917","서울특별시","영등포구","특별시도",2,126.928784,"2",50,NA
"12924","서울특별시","영등포구","특별시도",1,126.906404,"1",60,NA
"13223","서울특별시","영등포구","특별시도",2,126.89066,"2",50,NA
"17535","서울특별시","영등포구","특별시도",1,126.892773,"2",60,NA
"17536","서울특별시","영등포구","특별시도",2,126.901458,"2",60,NA
"17551","서울특별시","영등포구","특별시도",2,126.921592,"2",50,NA
"17565","서울특별시","영등포구","일반국도",2,126.912385,"2",60,NA
"17566","서울특별시","영등포구","일반국도",2,126.912269,"2",50,NA
"17567","서울특별시","영등포구","일반국도",1,126.913368,"2",60,NA
"17579","서울특별시","영등포구","특별시도",2,126.893395,"1",50,NA
"17583","서울특별시","영등포구","고속국도",1,126.890233,"1",80,NA
"17945","서울특별시","영등포구","특별시도",2,126.932546,"2",60,NA
"18316","서울특별시","영등포구","일반국도",2,126.896772,"2",60,NA
"18346","서울특별시","영등포구","특별시도",1,126.901716,"2",50,NA
"18347","서울특별시","영등포구","특별시도",2,126.909317,"2",50,NA
"18603","서울특별시","영등포구","특별시도",1,126.898154,"2",60,NA
