"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5404","전라남도","영암군","군도",3,126.460146,"1",30,NA
"5405","전라남도","영암군","군도",3,126.460146,"1",30,NA
"5406","전라남도","영암군","군도",3,126.582173,"1",30,NA
"5407","전라남도","영암군","군도",3,126.632914,"1",30,NA
"5408","전라남도","영암군","군도",3,126.482992,"1",30,NA
"5409","전라남도","영암군","일반국도",3,126.465514,"2",60,NA
"5410","전라남도","영암군","일반국도",3,126.429516,"1",80,NA
"5411","전라남도","영암군","일반국도",3,126.424681,"1",80,NA
"7966","전라남도","영암군","일반국도",3,126.475496,"2",60,NA
"8024","전라남도","영암군","군도",3,126.510853,"2",80,NA
"8025","전라남도","영암군","일반국도",3,126.696268,"2",80,NA
"8026","전라남도","영암군","군도",3,126.695988,"1",30,NA
"8027","전라남도","영암군","군도",3,126.472844,"2",80,NA
"8028","전라남도","영암군","군도",3,126.387658,"2",70,NA
"8029","전라남도","영암군","일반국도",3,126.727469,"2",80,NA
"8030","전라남도","영암군","일반국도",3,126.739288,"2",80,NA
"8076","전라남도","영암군","지방도",3,126.702522,"2",50,NA
"8077","전라남도","영암군","지방도",3,126.702233,"2",50,NA
"8078","전라남도","영암군","지방도",3,126.685591,"2",30,NA
"9460","전라남도","영암군","지방도",3,126.419463,"2",70,NA
"9461","전라남도","영암군","지방도",3,126.448985,"1",70,NA
"9500","전라남도","영암군","지방도",3,126.698668,"1",60,NA
"9501","전라남도","영암군","일반국도",3,126.693021,"1",80,NA
"9529","전라남도","영암군","일반국도",3,126.691752,"1",80,NA
"9530","전라남도","영암군","일반국도",3,126.753026,"1",30,NA
"9534","전라남도","영암군","일반국도",3,126.611295,"2",80,NA
"9535","전라남도","영암군","지방도",3,126.410139,"2",80,NA
"9536","전라남도","영암군","일반국도",3,126.748685,"1",60,NA
"9537","전라남도","영암군","군도",3,126.685991,"1",60,NA
"9569","전라남도","영암군","군도",3,126.452456,"2",80,NA
"9570","전라남도","영암군","일반국도",3,126.510557,"2",80,NA
"9571","전라남도","영암군","군도",3,126.378777,"2",60,NA
"9588","전라남도","영암군","군도",3,126.685943,"1",60,NA
"9660","전라남도","영암군","일반국도",3,126.696741,"1",60,NA
"9661","전라남도","영암군","지방도",3,126.614895,"1",80,NA
"9691","전라남도","영암군","군도",3,126.378201,"2",60,NA
"9724","전라남도","영암군","고속국도",2,126.630014,"1",100,NA
"9727","전라남도","영암군","지방도",3,126.394307,"2",70,NA
"9748","전라남도","영암군","군도",3,126.458354,"2",80,NA
"9751","전라남도","영암군","군도",3,127.682744,"2",70,NA
"9787","전라남도","영암군","지방도",3,126.394576,"2",70,NA
"9788","전라남도","영암군","지방도",3,126.668961,"1",80,NA
"9806","전라남도","영암군","일반국도",3,126.689774,"2",70,NA
"9807","전라남도","영암군","일반국도",3,126.686609,"2",70,NA
"9808","전라남도","영암군","일반국도",3,126.696929,"2",60,NA
"9882","전라남도","영암군","일반국도",3,126.689658,"2",70,NA
"16176","전라남도","영암군","군도",3,126.452447,"2",80,NA
"16177","전라남도","영암군","군도",3,126.387068,"2",70,NA
"16178","전라남도","영암군","군도",3,126.378743,"2",30,NA
"16179","전라남도","영암군","일반국도",3,126.691118,"2",80,NA
"16189","전라남도","영암군","일반국도",3,126.689401,"2",80,NA
