"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4245","경상북도","영양","지방도",2,128.7402514,"1",40,NA
"4248","경상북도","영양","일반국도",1,129.1231554,"1",60,NA
"4249","경상북도","영양","일반국도",1,128.1260502,"1",60,NA
"10838","경상북도","영양","일반국도",2,129.1558539,"1",60,NA
"10839","경상북도","영양","지방도",2,129.1558539,"1",60,NA
"10840","경상북도","영양","지방도",2,128.4406901,"1",60,NA
"11649","경상북도","영양","지방도",1,128.2464499,"1",30,NA
"12070","경상북도","영양","일반국도",1,129.0790755,"2",60,NA
"12071","경상북도","영양","일반국도",2,129.0790755,"2",60,NA
"12072","경상북도","영양","일반국도",1,129.0855222,"2",60,NA
"12073","경상북도","영양","일반국도",2,129.0872052,"2",60,NA
"14112","경상북도","영양","지방도",2,129.1092805,"1",60,NA
"14113","경상북도","영양","지방도",1,128.3897496,"1",60,NA
