"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2310","강원도","영월군","일반국도",3,128.3472442,"1",80,NA
"3438","강원도","영월군","일반국도",3,128.380963,"1",80,NA
"6660","강원도","영월군","일반국도",3,128.311294,"1",80,NA
"11098","강원도","영월군","일반국도",3,128.3907479,"1",60,NA
"11111","강원도","영월군","지방도",3,128.2483481,"1",50,NA
"11152","강원도","영월군","일반국도",3,128.4695837,"2",50,NA
"11794","강원도","영월군","일반국도",3,128.680507,"1",60,NA
"11795","강원도","영월군","일반국도",3,128.664179,"1",60,NA
"11801","강원도","영월군","지방도",3,128.532869,"1",80,NA
"13109","강원도","영월군","일반국도",3,128.4593816,"1",50,NA
"16068","강원도","영월군","일반국도",3,128.747146,"1",60,NA
"17525","강원도","영월군","일반국도",3,128.3112915,"1",80,NA
"17526","강원도","영월군","일반국도",3,128.4404667,"1",80,NA
"17827","강원도","영월군","일반국도",3,128.418594,"1",60,NA
"17828","강원도","영월군","지방도",3,128.4027012,"1",60,NA
"18219","강원도","영월군","일반국도",3,128.628087,"2",60,NA
