"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5585","경상북도","영주","시도",1,128.6116127,"2",40,NA
"5586","경상북도","영주","시도",1,128.4528291,"2",40,NA
"5987","경상북도","영주","시도",1,128.7193695,"2",40,NA
"10818","경상북도","영주","시도",2,128.6244339,"2",30,NA
"10819","경상북도","영주","시도",2,129.0464232,"1",30,NA
"10827","경상북도","영주","일반국도",2,128.4249344,"2",60,NA
"10850","경상북도","영주","지방도",2,128.9296047,"1",60,NA
"10938","경상북도","영주","일반국도",1,128.6150493,"2",80,NA
"10939","경상북도","영주","일반국도",2,129.3741096,"2",80,NA
"10944","경상북도","영주","기타",2,128.6124034,"2",50,NA
"10945","경상북도","영주","시도",1,128.6082985,"2",50,NA
"10946","경상북도","영주","시도",2,128.7176715,"2",40,NA
"10982","경상북도","영주","기타",1,128.6341437,"2",70,NA
"10983","경상북도","영주","시도",2,129.3942147,"2",60,NA
"11224","경상북도","영주","기타",1,128.7292443,"1",60,NA
"11225","경상북도","영주","일반국도",2,128.496762,"2",80,NA
"11226","경상북도","영주","일반국도",1,128.9234633,"1",60,NA
"11418","경상북도","영주","일반국도",2,128.6786648,"2",80,NA
"11419","경상북도","영주","시도",2,128.1739519,"2",50,NA
"11675","경상북도","영주","일반국도",1,128.453079,"2",80,NA
"12065","경상북도","영주","시도",1,128.5389794,"2",50,NA
"12091","경상북도","영주","일반국도",1,128.5509804,"1",50,NA
"12092","경상북도","영주","일반국도",2,128.5581864,"1",50,NA
"13468","경상북도","영주","기타",2,128.6363281,"2",60,NA
"13536","경상북도","영주","일반국도",1,128.6500923,"1",70,NA
"13574","경상북도","영주","일반국도",2,128.7162745,"2",80,NA
"13575","경상북도","영주","일반국도",1,128.7166917,"2",80,NA
"14059","경상북도","영주","시도",2,128.6165091,"1",30,NA
"14060","경상북도","영주","시도",2,128.182069,"2",30,NA
"14083","경상북도","영주","시도",2,128.6282861,"1",30,NA
"14084","경상북도","영주","지방도",1,128.6161401,"2",40,NA
"14085","경상북도","영주","시도",2,128.5566801,"2",30,NA
"14086","경상북도","영주","시도",1,128.169296,"1",30,NA
"14109","경상북도","영주","시도",2,128.3103382,"2",40,NA
"14288","경상북도","영주","시도",1,128.6056862,"2",50,NA
