"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"474","충청남도","예산군","일반국도",1,126.777061,"2",60,NA
"475","충청남도","예산군","일반국도",1,126.829115,"2",60,NA
"484","충청남도","예산군","일반국도",2,126.742916,"2",60,NA
"555","충청남도","예산군","지방도",1,126.676239,"2",60,NA
"556","충청남도","예산군","지방도",1,126.673778,"2",70,NA
"557","충청남도","예산군","시도",1,126.838195,"2",50,NA
"558","충청남도","예산군","고속국도",1,126.885676,"1",110,13.3
"559","충청남도","예산군","고속국도",1,126.885697,"1",110,13.3
"560","충청남도","예산군","고속국도",1,126.783675,"1",110,NA
"561","충청남도","예산군","고속국도",1,126.783707,"1",110,NA
"575","충청남도","예산군","지방도",1,126.718684,"1",60,NA
"579","충청남도","예산군","일반국도",2,126.828891,"2",60,NA
"587","충청남도","예산군","일반국도",1,126.7863,"2",60,NA
"839","충청남도","예산군","일반국도",2,126.616,"1",70,NA
"840","충청남도","예산군","일반국도",1,126.758806,"1",70,NA
"885","충청남도","예산군","군도",1,126.824111,"1",40,NA
"886","충청남도","예산군","군도",2,126.860694,"2",50,NA
"907","충청남도","예산군","일반국도",1,126.604167,"1",30,NA
"908","충청남도","예산군","군도",2,126.839778,"1",50,NA
"909","충청남도","예산군","지방도",1,126.683501,"1",60,NA
"930","충청남도","예산군","일반국도",2,126.711167,"2",70,NA
"931","충청남도","예산군","일반국도",1,126.717278,"2",70,NA
"932","충청남도","예산군","지방도",2,126.758583,"1",60,NA
"980","충청남도","예산군","일반국도",1,126.905191,"1",80,NA
"981","충청남도","예산군","지방도",2,126.676348,"1",60,NA
"982","충청남도","예산군","일반국도",1,126.807115,"2",60,NA
"1022","충청남도","예산군","군도",1,126.860809,"1",50,NA
"1023","충청남도","예산군","지방도",1,126.92791,"1",60,NA
"1048","충청남도","예산군","군도",2,126.850303,"2",50,NA
"1049","충청남도","예산군","일반국도",1,126.876817,"1",80,NA
"1202","충청남도","예산군","일반국도",1,126.812715,"1",80,NA
"1203","충청남도","예산군","일반국도",1,126.790383,"2",60,NA
"1231","충청남도","예산군","군도",1,126.843863,"1",50,NA
"1232","충청남도","예산군","군도",2,126.694,"2",70,NA
"1233","충청남도","예산군","군도",1,126.7089,"2",70,NA
"1234","충청남도","예산군","군도",2,126.6869,"2",50,NA
"1235","충청남도","예산군","일반국도",1,126.770303,"2",70,NA
"1236","충청남도","예산군","일반국도",2,126.815793,"2",60,NA
"1471","충청남도","예산군","일반국도",1,126.831611,"1",60,NA
"1472","충청남도","예산군","지방도",1,126.907944,"1",60,NA
"1473","충청남도","예산군","일반국도",2,126.71825,"2",70,NA
"1670","충청남도","예산군","일반국도",1,126.632849,"2",70,NA
"1671","충청남도","예산군","군도",2,126.680934,"2",30,NA
"1672","충청남도","예산군","군도",1,126.680623,"2",30,NA
"1673","충청남도","예산군","지방도",1,126.669432,"1",30,NA
"1674","충청남도","예산군","지방도",2,126.856737,"1",60,NA
"1675","충청남도","예산군","군도",1,126.794928,"2",30,NA
"1676","충청남도","예산군","지방도",2,126.793379,"1",60,NA
"1753","충청남도","예산군","일반국도",1,126.826638,"2",60,NA
"1754","충청남도","예산군","지방도",1,126.67372,"2",60,NA
"1903","충청남도","예산군","일반국도",2,126.766472,"2",60,NA
"1904","충청남도","예산군","일반국도",1,126.705704,"1",80,NA
"1914","충청남도","예산군","고속국도",2,126.697578,"1",110,NA
"2104","충청남도","예산군","일반국도",2,126.882107,"2",80,NA
"17921","충청남도","예산군","군도",3,126.834381,"4",0,150
"18015","충청남도","예산군","군도",3,126.830721,"4",0,130
"18045","충청남도","예산군","군도",3,126.703211,"4",0,150
"18108","충청남도","예산군","군도",3,126.843301,"4",0,150
"18250","충청남도","예산군","군도",3,126.669801,"4",0,150
"18251","충청남도","예산군","군도",3,126.829217,"4",0,100
"18252","충청남도","예산군","군도",3,126.832091,"4",0,200
"18253","충청남도","예산군","군도",3,126.849521,"4",0,200
"18254","충청남도","예산군","군도",3,126.849661,"4",0,200
"18255","충청남도","예산군","군도",3,126.845911,"4",0,200
