"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6826","경상북도","예천","기타",1,128.4730659,"2",80,NA
"6829","경상북도","예천","시도",1,128.4915742,"1",60,NA
"6830","경상북도","예천","시도",2,128.4718075,"1",60,NA
"6831","경상북도","예천","기타",1,128.4732407,"1",60,NA
"6847","경상북도","예천","기타",2,128.4571673,"2",80,NA
"6848","경상북도","예천","기타",2,128.4738621,"2",80,NA
"10924","경상북도","예천","시도",1,128.9739105,"2",80,NA
"10953","경상북도","예천","시도",2,128.3980073,"2",60,NA
"10964","경상북도","예천","일반국도",1,128.4179108,"2",80,NA
"11165","경상북도","예천","일반국도",1,129.4404371,"2",50,NA
"11212","경상북도","예천","일반국도",1,129.2305288,"2",60,NA
"11642","경상북도","예천","지방도",2,128.4527954,"2",60,NA
"11643","경상북도","예천","지방도",2,128.3911432,"2",60,NA
"11664","경상북도","예천","군도",2,128.4604509,"2",30,NA
"11665","경상북도","예천","군도",1,128.4491791,"1",30,NA
"11666","경상북도","예천","군도",2,128.4172832,"1",30,NA
"11676","경상북도","예천","군도",2,129.084086,"2",50,NA
"12090","경상북도","예천","시도",1,128.4138788,"2",70,NA
"13588","경상북도","예천","일반국도",1,128.2984353,"2",80,NA
"13643","경상북도","예천","일반국도",2,128.5308943,"2",80,NA
"14262","경상북도","예천","일반국도",1,128.5435785,"2",80,NA
