"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4888","경기도","오산시","기타",3,127.0532823,"4",0,NA
"4915","경기도","오산시","기타",3,127.0565341,"4",0,NA
"4996","경기도","오산시","기타",3,127.0574423,"4",0,NA
"5082","경기도","오산시","기타",3,127.0593574,"4",0,NA
"5083","경기도","오산시","기타",3,127.0677964,"4",0,NA
"5084","경기도","오산시","기타",3,127.0623857,"4",0,NA
"5085","경기도","오산시","기타",3,127.0619202,"4",0,NA
"5086","경기도","오산시","기타",3,127.0779908,"4",0,NA
"5087","경기도","오산시","기타",3,127.0683157,"4",0,NA
"5088","경기도","오산시","기타",3,127.0741778,"4",0,NA
"5089","경기도","오산시","기타",3,127.0754977,"4",0,NA
"5090","경기도","오산시","기타",3,127.0229714,"4",0,NA
"5091","경기도","오산시","기타",3,127.073774,"4",0,NA
"5092","경기도","오산시","기타",3,127.0688269,"4",0,NA
"5445","경기도","오산시","기타",3,127.0620307,"4",0,NA
"5446","경기도","오산시","기타",3,127.0650272,"4",0,NA
"5447","경기도","오산시","기타",3,127.0772756,"4",0,NA
"5448","경기도","오산시","기타",3,127.0737855,"4",0,NA
"5449","경기도","오산시","기타",3,127.0748137,"4",0,NA
"5450","경기도","오산시","기타",3,127.0699059,"4",0,NA
"5451","경기도","오산시","기타",3,127.075441,"4",0,NA
"5452","경기도","오산시","기타",3,127.0742796,"4",0,NA
"5453","경기도","오산시","기타",3,127.0742219,"4",0,NA
"5454","경기도","오산시","기타",3,127.0717961,"4",0,NA
"5455","경기도","오산시","기타",3,127.0713949,"4",0,NA
"5456","경기도","오산시","기타",3,127.0759792,"4",0,NA
"5457","경기도","오산시","기타",3,127.0659005,"4",0,NA
"5458","경기도","오산시","기타",3,127.0894505,"4",0,NA
"5459","경기도","오산시","기타",3,127.0639997,"4",0,NA
"5460","경기도","오산시","기타",3,127.0684183,"4",0,NA
"5461","경기도","오산시","기타",3,127.0822459,"4",0,NA
"5462","경기도","오산시","기타",3,127.0716974,"4",0,NA
"5463","경기도","오산시","기타",3,127.0713566,"4",0,NA
"5464","경기도","오산시","기타",3,127.0480021,"4",0,NA
"5465","경기도","오산시","기타",3,127.0453728,"4",0,NA
"5466","경기도","오산시","기타",3,127.0764043,"4",0,NA
"5467","경기도","오산시","기타",3,127.0495223,"4",0,NA
"5468","경기도","오산시","기타",3,127.0419627,"4",0,NA
"5469","경기도","오산시","기타",3,127.0458627,"4",0,NA
"5470","경기도","오산시","기타",3,127.0534525,"4",0,NA
"5471","경기도","오산시","기타",3,127.0461265,"4",0,NA
"5472","경기도","오산시","기타",3,127.0421246,"4",0,NA
"5473","경기도","오산시","기타",3,127.0696116,"4",0,NA
"5474","경기도","오산시","기타",3,127.057167,"4",0,NA
"5475","경기도","오산시","기타",3,127.0448174,"4",0,NA
"5476","경기도","오산시","기타",3,127.0776814,"4",0,NA
"5477","경기도","오산시","기타",3,127.0732441,"4",0,NA
"5478","경기도","오산시","기타",3,127.0534804,"4",0,NA
"5479","경기도","오산시","기타",3,127.0531243,"4",0,NA
"5480","경기도","오산시","기타",3,127.0539261,"4",0,NA
"5481","경기도","오산시","기타",3,127.0398682,"4",0,NA
"5482","경기도","오산시","기타",3,127.0499871,"4",0,NA
"5483","경기도","오산시","기타",3,127.0507388,"4",0,NA
"5484","경기도","오산시","기타",3,127.0600167,"4",0,NA
"5485","경기도","오산시","기타",3,127.0667373,"4",0,NA
"5486","경기도","오산시","기타",3,127.0668603,"4",0,NA
"5487","경기도","오산시","기타",3,127.0678084,"4",0,NA
"5488","경기도","오산시","기타",3,127.0544575,"4",0,NA
"5489","경기도","오산시","기타",3,127.0699796,"4",0,NA
"6299","경기도","오산시","시도",3,127.039427,"1",60,NA
"7691","경기도","오산시","일반국도",3,127.043031,"2",70,NA
