"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5390","전라남도","완도군","군도",3,126.738839,"1",30,NA
"5392","전라남도","완도군","군도",3,126.701254,"1",30,NA
"5393","전라남도","완도군","군도",3,126.741371,"1",30,NA
"5394","전라남도","완도군","군도",3,126.728711,"1",30,NA
"5395","전라남도","완도군","군도",3,126.646007,"1",30,NA
"5396","전라남도","완도군","군도",3,126.799968,"1",30,NA
"8009","전라남도","완도군","일반국도",3,126.736845,"2",60,NA
"8056","전라남도","완도군","일반국도",3,126.818595,"1",60,NA
"8057","전라남도","완도군","지방도",3,126.880888,"1",60,NA
"9429","전라남도","완도군","일반국도",3,126.786283,"1",60,NA
"9430","전라남도","완도군","지방도",3,126.777854,"1",60,NA
"9592","전라남도","완도군","군도",3,126.645629,"1",80,NA
"9796","전라남도","완도군","일반국도",3,126.684469,"1",80,NA
"9846","전라남도","완도군","일반국도",3,126.207953,"2",60,NA
"9847","전라남도","완도군","일반국도",3,126.208279,"2",80,NA
"16167","전라남도","완도군","지방도",3,126.807435,"1",60,NA
"16168","전라남도","완도군","일반국도",3,126.822711,"1",60,NA
"16209","전라남도","완도군","일반국도",3,126.729602,"2",80,NA
"16210","전라남도","완도군","군도",3,126.759537,"1",30,NA
