"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"956","전라북도","완산구","시도",NA,127.0975786,"1",50,NA
"965","전라북도","완산구","시도",NA,127.1115539,"2",50,NA
"966","전라북도","완산구","시도",NA,127.146881,"2",50,NA
"967","전라북도","완산구","시도",NA,127.086456,"2",50,NA
"1322","전라북도","완산구","시도",NA,127.1253981,"2",60,NA
"1323","전라북도","완산구","시도",NA,127.1229095,"2",60,NA
"1324","전라북도","완산구","시도",NA,127.1288431,"2",60,NA
"1325","전라북도","완산구","시도",NA,127.1226783,"2",60,NA
"1326","전라북도","완산구","시도",NA,127.1072204,"2",60,NA
"1327","전라북도","완산구","시도",NA,127.1322661,"2",50,NA
"1328","전라북도","완산구","시도",NA,127.1150573,"2",30,NA
"1329","전라북도","완산구","시도",NA,127.1890573,"2",60,NA
"1391","전라북도","완산구","시도",NA,127.1057344,"2",50,NA
"1392","전라북도","완산구","시도",NA,127.1069052,"2",60,NA
"1401","전라북도","완산구","지방도",NA,127.0781749,"2",60,NA
"1493","전라북도","완산구","시도",NA,127.1165109,"2",50,NA
"1494","전라북도","완산구","시도",NA,127.1487351,"2",50,NA
"1499","전라북도","완산구","시도",NA,127.1785509,"1",60,NA
"1500","전라북도","완산구","시도",NA,127.1058217,"1",50,NA
"1501","전라북도","완산구","시도",NA,127.129265,"1",60,NA
"1502","전라북도","완산구","시도",NA,127.0945581,"1",50,NA
"2509","전라북도","완산구","시도",NA,127.1233224,"2",60,NA
"5908","전라북도","완산구","시도",NA,127.1144806,"2",30,NA
"5909","전라북도","완산구","시도",NA,127.1002473,"2",30,NA
"5910","전라북도","완산구","시도",NA,127.1123942,"2",30,NA
"5911","전라북도","완산구","시도",NA,127.1202404,"2",30,NA
"5912","전라북도","완산구","시도",NA,127.1497602,"2",30,NA
"5913","전라북도","완산구","시도",NA,127.0900619,"2",30,NA
"5943","전라북도","완산구","시도",NA,127.1257084,"2",30,NA
"5944","전라북도","완산구","시도",NA,127.1269842,"2",50,NA
"5945","전라북도","완산구","시도",NA,127.107434,"2",50,NA
"5946","전라북도","완산구","시도",NA,127.1054845,"2",30,NA
"5951","전라북도","완산구","시도",NA,127.1326892,"2",30,NA
"8655","전라북도","완산구","시도",NA,127.1438577,"2",50,NA
"8661","전라북도","완산구","시도",NA,127.1582873,"2",50,NA
"8683","전라북도","완산구","시도",NA,127.0945976,"2",50,NA
"11007","전라북도","완산구","시도",NA,127.1118133,"1",50,NA
"11593","전라북도","완산구","시도",NA,127.0828773,"2",60,NA
"11625","전라북도","완산구","지방도",NA,127.0646641,"1",40,NA
"12536","전라북도","완산구","시도",NA,127.1049323,"1",40,NA
"12537","전라북도","완산구","시도",NA,127.1050181,"1",40,NA
"14201","전라북도","완산구","시도",NA,127.0992174,"2",60,NA
"14202","전라북도","완산구","시도",NA,127.104905,"2",50,NA
"14203","전라북도","완산구","시도",NA,127.1035321,"2",30,NA
"14909","전라북도","완산구","시도",NA,127.1024848,"2",50,NA
"14910","전라북도","완산구","시도",NA,127.1065463,"2",30,NA
"14911","전라북도","완산구","시도",NA,127.106197,"2",30,NA
"15384","전라북도","완산구","시도",NA,127.1058217,"1",50,NA
"15457","전라북도","완산구","시도",NA,127.1102788,"1",50,NA
"16961","전라북도","완산구","시도",NA,127.105773,"2",50,NA
"16962","전라북도","완산구","시도",NA,127.1057536,"2",50,NA
"17862","전라북도","완산구","일반국도",NA,127.0878492,"1",90,NA
"17863","전라북도","완산구","시도",NA,127.1510603,"2",30,NA
"17864","전라북도","완산구","시도",NA,127.1205685,"1",50,NA
"17865","전라북도","완산구","시도",NA,127.098551,"2",60,NA
"17866","전라북도","완산구","시도",NA,127.0660168,"1",70,NA
"17867","전라북도","완산구","시도",NA,127.1922626,"1",60,NA
"17868","전라북도","완산구","시도",NA,127.1450978,"2",60,NA
"18260","전라북도","완산구","일반국도",NA,127.1685019,"2",60,NA
"18276","전라북도","완산구","고속국도",NA,127.189744,"1",100,18.47
"18277","전라북도","완산구","고속국도",NA,127.189744,"1",100,18.47
"18288","전라북도","완산구","시도",NA,127.1350798,"2",50,NA
