"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"947","전라북도","완주군","시도",NA,127.0466542,"1",90,NA
"948","전라북도","완주군","시도",NA,127.0517999,"1",90,NA
"953","전라북도","완주군","일반국도",NA,127.2067007,"1",80,NA
"954","전라북도","완주군","군도",NA,127.1249657,"1",60,NA
"1359","전라북도","완주군","일반국도",NA,127.2322625,"2",50,NA
"1360","전라북도","완주군","일반국도",NA,127.2321116,"2",50,NA
"1371","전라북도","완주군","군도",NA,127.0245541,"2",50,NA
"1372","전라북도","완주군","군도",NA,127.2074856,"2",50,NA
"1373","전라북도","완주군","지방도",NA,127.1557554,"2",60,NA
"1374","전라북도","완주군","지방도",NA,127.1045904,"2",60,NA
"1375","전라북도","완주군","일반국도",NA,127.207884,"1",40,NA
"1388","전라북도","완주군","지방도",NA,127.0040355,"1",70,NA
"1389","전라북도","완주군","일반국도",NA,127.2203783,"1",60,NA
"1390","전라북도","완주군","일반국도",NA,127.1061169,"1",80,NA
"1488","전라북도","완주군","지방도",NA,127.1796241,"2",30,NA
"1489","전라북도","완주군","군도",NA,127.2059173,"2",30,NA
"1490","전라북도","완주군","군도",NA,127.2340044,"2",30,NA
"1491","전라북도","완주군","군도",NA,127.1256057,"1",30,NA
"1492","전라북도","완주군","군도",NA,127.1203325,"1",30,NA
"2526","전라북도","완주군","군도",NA,127.0947999,"2",60,NA
"2528","전라북도","완주군","지방도",NA,127.0266469,"2",70,NA
"2529","전라북도","완주군","지방도",NA,127.0263371,"2",70,NA
"4754","전라북도","완주군","지방도",NA,127.1160451,"2",80,NA
"4785","전라북도","완주군","일반국도",NA,127.2501989,"1",40,NA
"4794","전라북도","완주군","일반국도",NA,127.1640989,"2",60,NA
"5060","전라북도","완주군","일반국도",NA,127.173218,"2",60,NA
"5061","전라북도","완주군","일반국도",NA,127.1735291,"2",60,NA
"5062","전라북도","완주군","지방도",NA,127.0322453,"2",70,NA
"5622","전라북도","완주군","고속국도",NA,127.2538358,"1",100,NA
"5652","전라북도","완주군","군도",NA,127.0980537,"2",60,NA
"8648","전라북도","완주군","일반국도",NA,127.1566442,"2",50,NA
"8652","전라북도","완주군","일반국도",NA,127.1168697,"1",80,NA
"8680","전라북도","완주군","군도",NA,127.1251958,"1",60,NA
"8690","전라북도","완주군","일반국도",NA,127.0551699,"2",80,NA
"8960","전라북도","완주군","기타",3,127.2067111,"4",60,NA
"8961","전라북도","완주군","기타",3,127.2102764,"4",60,NA
"8962","전라북도","완주군","기타",3,127.1265937,"4",60,NA
"8963","전라북도","완주군","기타",3,127.167842,"4",60,NA
"8964","전라북도","완주군","기타",3,127.1258207,"4",30,NA
"8965","전라북도","완주군","기타",3,127.076708,"4",60,NA
"8966","전라북도","완주군","기타",3,127.069375,"4",30,NA
"8967","전라북도","완주군","기타",3,127.234189,"4",30,NA
"8968","전라북도","완주군","기타",3,127.1311104,"4",60,NA
"8969","전라북도","완주군","기타",3,127.0225946,"4",30,NA
"8970","전라북도","완주군","기타",3,127.1207027,"4",30,NA
"8971","전라북도","완주군","기타",3,127.0557579,"4",60,NA
"8972","전라북도","완주군","기타",3,127.0569219,"4",60,NA
"8973","전라북도","완주군","기타",3,127.0583167,"4",60,NA
"8974","전라북도","완주군","기타",3,127.072734,"4",60,NA
"8975","전라북도","완주군","기타",3,127.1646381,"4",30,NA
"8976","전라북도","완주군","기타",3,127.2064395,"4",30,NA
"11560","전라북도","완주군","일반국도",NA,127.1940603,"1",80,NA
"12866","전라북도","완주군","고속국도",NA,127.1070324,"1",100,NA
"14101","전라북도","완주군","군도",NA,127.024097,"1",30,NA
"14130","전라북도","완주군","군도",NA,127.1201515,"1",30,NA
"14145","전라북도","완주군","일반국도",NA,127.270007,"2",50,NA
"14146","전라북도","완주군","일반국도",NA,127.286559,"1",60,NA
"14249","전라북도","완주군","기타",3,127.0742727,"4",60,NA
"14897","전라북도","완주군","지방도",NA,127.1689602,"2",60,NA
"14918","전라북도","완주군","일반국도",NA,127.1262458,"1",80,NA
"14919","전라북도","완주군","일반국도",NA,127.044373,"1",80,NA
"14920","전라북도","완주군","일반국도",NA,127.2155233,"1",60,NA
"16937","전라북도","완주군","지방도",NA,127.1393968,"1",80,NA
"16938","전라북도","완주군","지방도",NA,127.1395524,"2",80,NA
"16953","전라북도","완주군","지방도",NA,127.128657,"2",80,NA
"17104","전라북도","완주군","지방도",NA,127.1170594,"1",80,NA
"17105","전라북도","완주군","군도",NA,127.0725548,"2",50,NA
"17106","전라북도","완주군","일반국도",NA,127.1156799,"1",80,NA
"17854","전라북도","완주군","일반국도",NA,127.2241769,"2",60,NA
"17855","전라북도","완주군","일반국도",NA,127.2243107,"2",60,NA
"17856","전라북도","완주군","일반국도",NA,127.0720758,"2",60,NA
"17857","전라북도","완주군","일반국도",NA,127.0763099,"2",60,NA
"18261","전라북도","완주군","일반국도",NA,127.1559625,"2",60,NA
"18262","전라북도","완주군","일반국도",NA,127.1560965,"2",60,NA
"18726","전라북도","완주군","군도",NA,127.1218507,"1",30,NA
"18727","전라북도","완주군","일반국도",NA,127.1569707,"1",50,NA
