"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4530","서울특별시","용산구","특별시도",1,126.974505,"2",50,NA
"12345","서울특별시","용산구","특별시도",2,126.958765,"1",50,NA
"12346","서울특별시","용산구","특별시도",1,126.958892,"1",50,NA
"12891","서울특별시","용산구","고속국도",2,126.953058,"1",80,NA
"12920","서울특별시","용산구","특별시도",1,126.991984,"2",60,NA
"12942","서울특별시","용산구","특별시도",2,127.006665,"2",30,NA
"12948","서울특별시","용산구","특별시도",2,126.949207,"2",60,NA
"13224","서울특별시","용산구","특별시도",2,127.004439,"1",50,NA
"17252","서울특별시","용산구","특별시도",1,126.990515,"2",60,NA
"17302","서울특별시","용산구","특별시도",2,126.990862,"2",60,NA
"17563","서울특별시","용산구","특별시도",2,126.959266,"1",60,NA
"17570","서울특별시","용산구","특별시도",2,126.961688,"2",30,NA
"17590","서울특별시","용산구","고속국도",1,126.95537,"1",80,NA
"17593","서울특별시","용산구","특별시도",2,126.971614,"1",50,NA
"17956","서울특별시","용산구","특별시도",2,126.991454,"2",60,NA
"17957","서울특별시","용산구","특별시도",2,126.986636,"2",60,NA
"17958","서울특별시","용산구","특별시도",1,126.962257,"2",50,NA
"17959","서울특별시","용산구","특별시도",1,126.987024,"2",60,NA
"17960","서울특별시","용산구","특별시도",1,126.972921,"2",50,NA
"17961","서울특별시","용산구","특별시도",2,126.967693,"2",50,NA
