"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"25","경기도","용인시","일반국도",3,127.316149855,"2",70,NA
"68","경기도","용인시","시도",3,127.0682747,"2",50,NA
"69","경기도","용인시","시도",3,127.104721269,"2",50,NA
"70","경기도","용인시","시도",3,127.108389707,"2",60,NA
"71","경기도","용인시","지방도",3,127.147816893,"2",60,NA
"72","경기도","용인시","지방도",3,127.169118,"2",60,NA
"73","경기도","용인시","시도",3,127.188063339,"2",60,NA
"74","경기도","용인시","일반국도",3,127.249237,"2",50,NA
"109","경기도","용인시","지방도",3,127.087519482,"2",60,NA
"4538","경기도","용인시","일반국도",3,127.120927,"2",50,NA
"4539","경기도","용인시","일반국도",3,127.113733,"2",30,NA
"4540","경기도","용인시","시도",3,127.109102,"2",50,NA
"4541","경기도","용인시","구도",3,127.187922409,"2",60,NA
"4671","경기도","용인시","구도",3,127.226028,"2",50,NA
"4672","경기도","용인시","일반국도",3,127.346528,"2",50,NA
"4679","경기도","용인시","시도",3,127.109917,"2",30,NA
"5231","경기도","용인시","일반국도",3,127.085732106,"1",60,NA
"5233","경기도","용인시","시도",3,127.079782099,"2",50,NA
"5234","경기도","용인시","일반국도",3,127.257108915,"2",70,NA
"5792","경기도","용인시","일반국도",3,127.097375737,"2",60,NA
"5799","경기도","용인시","시도",3,127.086851631,"2",60,NA
"5800","경기도","용인시","지방도",3,127.370529201,"2",70,NA
"6224","경기도","용인시","일반국도",3,127.286116,"2",70,NA
"6234","경기도","용인시","시도",3,127.156026238,"1",60,NA
"6235","경기도","용인시","고속국도",3,127.115585245,"1",100,NA
"6236","경기도","용인시","고속국도",3,127.120591,"1",100,NA
"6239","경기도","용인시","시도",3,127.1881644,"2",60,NA
"6240","경기도","용인시","구도",3,127.156593,"2",60,NA
"6242","경기도","용인시","일반국도",3,127.211819,"1",60,NA
"6245","경기도","용인시","일반국도",3,127.065823278,"1",60,NA
"6246","경기도","용인시","일반국도",3,127.065800759,"2",60,NA
"6283","경기도","용인시","일반국도",3,127.244196564,"2",70,NA
"6284","경기도","용인시","시도",3,127.115783,"2",30,NA
"6285","경기도","용인시","시도",3,127.117703,"2",60,NA
