"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2029","경상북도","울진","일반국도",2,128.5094714,"1",60,NA
"2128","경상북도","울진","일반국도",2,129.2282274,"1",60,NA
"6842","경상북도","울진","일반국도",1,129.4345744,"2",60,NA
"10816","경상북도","울진","일반국도",2,129.0631398,"2",60,NA
"10822","경상북도","울진","일반국도",1,129.4033594,"1",60,NA
"10823","경상북도","울진","일반국도",1,129.4021802,"1",60,NA
"10824","경상북도","울진","일반국도",2,129.0451567,"1",60,NA
"10913","경상북도","울진","일반국도",2,129.3837515,"2",80,NA
"10914","경상북도","울진","시도",2,128.5800355,"2",70,NA
"10950","경상북도","울진","일반국도",2,128.3633573,"2",80,NA
"11657","경상북도","울진","군도",1,128.363982,"1",30,NA
"11704","경상북도","울진","군도",1,129.4013289,"1",30,NA
"13409","경상북도","울진","군도",1,129.3731556,"1",50,NA
"13410","경상북도","울진","군도",2,129.3731333,"1",50,NA
"13540","경상북도","울진","일반국도",1,129.390156,"1",80,NA
"13603","경상북도","울진","일반국도",1,129.4139189,"1",70,NA
"13604","경상북도","울진","일반국도",2,129.4299131,"2",80,NA
"13605","경상북도","울진","일반국도",1,129.431142,"1",60,NA
"13606","경상북도","울진","일반국도",1,129.4434336,"2",80,NA
"13607","경상북도","울진","일반국도",2,129.4434946,"2",60,NA
"13642","경상북도","울진","일반국도",1,129.4045248,"2",80,NA
"14197","경상북도","울진","일반국도",1,128.3232963,"2",60,NA
