"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1212","강원도","원주시","지방도",3,128.0840862,"1",60,NA
"1213","강원도","원주시","시도",3,127.9016371,"2",60,NA
"2313","강원도","원주시","시도",3,127.987342,"2",50,NA
"2314","강원도","원주시","일반국도",3,127.8807145,"2",80,NA
"3434","강원도","원주시","일반국도",3,127.902622,"1",80,NA
"4149","강원도","원주시","시도",3,127.9314915,"2",50,NA
"6002","강원도","원주시","시도",3,127.9492028,"2",60,NA
"6006","강원도","원주시","일반국도",3,127.882982,"1",70,NA
"6668","강원도","원주시","시도",3,127.9341278,"2",60,NA
"6669","강원도","원주시","시도",3,127.9380083,"2",60,NA
"7096","강원도","원주시","일반국도",3,127.8317214,"2",60,NA
"7097","강원도","원주시","일반국도",3,127.8233854,"2",80,NA
"7098","강원도","원주시","시도",3,127.9745894,"2",30,NA
"11088","강원도","원주시","일반국도",3,127.9769899,"2",60,NA
"11089","강원도","원주시","일반국도",3,127.9076351,"2",60,NA
"11122","강원도","원주시","일반국도",3,127.9729304,"2",60,NA
"11123","강원도","원주시","시도",3,127.9484015,"2",60,NA
"11138","강원도","원주시","고속국도",1,127.934639,"1",100,NA
"11140","강원도","원주시","고속국도",2,128.037782,"1",100,59
"11141","강원도","원주시","고속국도",2,128.037782,"1",100,59
"11142","강원도","원주시","고속국도",2,127.991022,"1",100,59
"11143","강원도","원주시","고속국도",2,127.991022,"1",100,59
"11149","강원도","원주시","시도",3,127.9258107,"2",60,NA
"11380","강원도","원주시","시도",3,127.9513245,"4",0,NA
"11381","강원도","원주시","시도",3,127.9486008,"4",0,NA
"11382","강원도","원주시","기타",3,127.9241028,"4",0,NA
"11383","강원도","원주시","시도",3,127.969256603,"4",0,NA
"11384","강원도","원주시","시도",3,127.9872922,"4",0,NA
"11783","강원도","원주시","시도",3,127.9539388,"2",60,NA
"11785","강원도","원주시","시도",3,127.931649,"2",70,NA
"12399","강원도","원주시","기타",3,127.8755569,"4",0,NA
"12430","강원도","원주시","기타",3,127.8796768,"4",0,NA
"15893","강원도","원주시","시도",3,127.9368973,"4",0,NA
