"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1478","대전광역시","유성구","고속국도",2,127.338139,"1",100,6.1
"1479","대전광역시","유성구","고속국도",2,127.338139,"1",100,6.1
"1480","대전광역시","유성구","고속국도",2,127.31475,"1",100,NA
"1481","대전광역시","유성구","고속국도",2,127.31475,"1",100,NA
"1482","대전광역시","유성구","고속국도",1,127.318417,"1",100,7.9
"1483","대전광역시","유성구","고속국도",1,127.318417,"1",100,7.9
"1484","대전광역시","유성구","고속국도",1,127.364472,"1",100,NA
"1485","대전광역시","유성구","고속국도",1,127.364472,"1",100,NA
"1916","대전광역시","유성구","시도",2,127.338138,"2",50,NA
"1924","대전광역시","유성구","시도",1,127.326614,"2",60,NA
"1927","대전광역시","유성구","시도",1,127.362666,"2",60,NA
"2343","대전광역시","유성구","시도",2,127.382727,"2",30,NA
"2344","대전광역시","유성구","시도",2,127.342951,"2",30,NA
"2345","대전광역시","유성구","시도",2,127.338461,"2",30,NA
"2346","대전광역시","유성구","시도",2,127.335831,"2",50,NA
"2347","대전광역시","유성구","시도",2,127.332698,"2",30,NA
"2348","대전광역시","유성구","시도",2,127.322511,"2",30,NA
"2389","대전광역시","유성구","시도",2,127.312029,"2",30,NA
"2390","대전광역시","유성구","시도",2,127.384529,"2",30,NA
"2455","대전광역시","유성구","시도",3,127.363276,"1",80,6.7
"2471","대전광역시","유성구","시도",2,127.315581,"2",60,NA
"2472","대전광역시","유성구","시도",2,127.319942,"2",60,NA
"2473","대전광역시","유성구","시도",2,127.402409,"2",50,NA
"2530","대전광역시","유성구","시도",2,127.408953,"1",50,NA
"2533","대전광역시","유성구","시도",2,127.310634,"2",60,NA
"2534","대전광역시","유성구","시도",2,127.386315,"2",50,NA
"2544","대전광역시","유성구","시도",1,127.341834,"2",50,NA
"2545","대전광역시","유성구","시도",2,127.305354,"2",50,NA
"2548","대전광역시","유성구","시도",2,127.391976,"1",50,NA
"2549","대전광역시","유성구","시도",2,127.325805,"1",60,NA
"2627","대전광역시","유성구","시도",2,127.338492,"2",30,NA
"2628","대전광역시","유성구","시도",2,127.317683,"2",30,NA
"2629","대전광역시","유성구","시도",2,127.338343,"2",30,NA
"2630","대전광역시","유성구","시도",2,127.355025,"2",30,NA
"2635","대전광역시","유성구","시도",2,127.273453,"1",70,NA
"2636","대전광역시","유성구","시도",1,127.303226,"1",50,NA
"2642","대전광역시","유성구","시도",1,127.348177,"2",60,NA
"2643","대전광역시","유성구","시도",2,127.340237,"2",60,NA
"2644","대전광역시","유성구","시도",2,127.318005,"2",60,NA
