"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4531","서울특별시","은평구","특별시도",2,126.887184,"2",50,NA
"4532","서울특별시","은평구","특별시도",1,126.938891,"2",50,NA
"4559","서울특별시","은평구","특별시도",2,126.904304,"2",60,NA
"5858","서울특별시","은평구","구도",3,126.9160053,"4",60,NA
"6999","서울특별시","은평구","구도",3,126.9044678,"4",30,NA
"7000","서울특별시","은평구","구도",3,126.8939923,"4",60,NA
"7001","서울특별시","은평구","구도",3,126.9319959,"4",60,NA
"7002","서울특별시","은평구","구도",3,126.925787,"4",30,NA
"7003","서울특별시","은평구","구도",3,126.9200674,"4",30,NA
"7004","서울특별시","은평구","구도",3,126.927312,"4",30,NA
"7005","서울특별시","은평구","구도",3,126.9067785,"4",30,NA
"7006","서울특별시","은평구","구도",3,126.9140179,"4",30,NA
"7007","서울특별시","은평구","구도",3,126.9310756,"4",30,NA
"7008","서울특별시","은평구","구도",3,126.9112576,"4",30,NA
"7009","서울특별시","은평구","구도",3,126.9164484,"4",30,NA
"7010","서울특별시","은평구","구도",3,126.9089174,"4",30,NA
"7011","서울특별시","은평구","구도",3,126.9295333,"4",50,NA
"7012","서울특별시","은평구","구도",3,126.9289395,"4",30,NA
"7013","서울특별시","은평구","구도",3,126.9217255,"4",30,NA
"7014","서울특별시","은평구","구도",3,126.9098752,"4",30,NA
"7015","서울특별시","은평구","구도",3,126.9085149,"4",50,NA
"7016","서울특별시","은평구","구도",3,126.9300865,"4",30,NA
"7017","서울특별시","은평구","구도",3,126.9132315,"4",30,NA
"7018","서울특별시","은평구","구도",3,126.9186038,"4",50,NA
"7026","서울특별시","은평구","구도",3,126.9183396,"4",40,NA
"7027","서울특별시","은평구","구도",3,126.929174,"4",60,NA
"7028","서울특별시","은평구","구도",3,126.921958,"4",60,NA
"7029","서울특별시","은평구","구도",3,126.9059206,"4",60,NA
"7030","서울특별시","은평구","구도",3,126.9177904,"4",40,NA
"7031","서울특별시","은평구","구도",3,126.9120947,"4",60,NA
"7032","서울특별시","은평구","구도",3,126.9133437,"4",50,NA
"7033","서울특별시","은평구","구도",3,126.919998,"4",30,NA
"7034","서울특별시","은평구","구도",3,126.927321,"4",30,NA
"7035","서울특별시","은평구","구도",3,126.924523,"4",30,NA
"7036","서울특별시","은평구","구도",3,126.9290475,"4",30,NA
"7037","서울특별시","은평구","구도",3,126.9332431,"4",30,NA
"7038","서울특별시","은평구","구도",3,126.9071921,"4",30,NA
"7039","서울특별시","은평구","구도",3,126.914794,"4",30,NA
"7040","서울특별시","은평구","구도",3,126.9046048862,"4",30,NA
"7041","서울특별시","은평구","구도",3,126.9321581,"4",30,NA
"7042","서울특별시","은평구","구도",3,126.9084026,"4",30,NA
"7043","서울특별시","은평구","구도",3,126.9084057,"4",30,NA
"7044","서울특별시","은평구","구도",3,126.9085136,"4",30,NA
"7045","서울특별시","은평구","구도",3,126.9205332,"4",30,NA
"7046","서울특별시","은평구","구도",3,126.9251926,"4",30,NA
"7047","서울특별시","은평구","구도",3,126.9202282,"4",30,NA
"7048","서울특별시","은평구","구도",3,126.9261156,"4",30,NA
"7049","서울특별시","은평구","구도",3,126.9168926,"4",30,NA
"7050","서울특별시","은평구","구도",3,126.9272906,"4",30,NA
"7051","서울특별시","은평구","구도",3,126.9238542,"4",30,NA
"7052","서울특별시","은평구","구도",3,126.9276676,"4",30,NA
"7053","서울특별시","은평구","구도",3,126.918187,"4",30,NA
"7054","서울특별시","은평구","구도",3,126.9154328,"4",30,NA
"7055","서울특별시","은평구","구도",3,126.9341043,"4",30,NA
"7056","서울특별시","은평구","구도",3,126.9321304,"4",30,NA
"7057","서울특별시","은평구","구도",3,126.9139878,"4",30,NA
"7058","서울특별시","은평구","구도",3,126.910488,"4",40,NA
"7059","서울특별시","은평구","구도",3,126.9175505,"4",30,NA
"7060","서울특별시","은평구","구도",3,126.9100768,"4",60,NA
