"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6328","경상남도","의령군","일반국도",2,128.234081,"01",80,NA
"6362","경상남도","의령군","일반국도",2,128.331095,"01",60,NA
"6377","경상남도","의령군","일반국도",1,128.281847,"01",80,NA
"7419","경상남도","의령군","일반국도",2,128.173521,"02",80,NA
"7600","경상남도","의령군","일반국도",1,128.327384,"02",60,NA
"7624","경상남도","의령군","일반국도",2,128.107527,"01",80,NA
"7903","경상남도","의령군","일반국도",2,128.262405,"02",60,NA
"8154","경상남도","의령군","일반국도",1,128.119545,"02",80,NA
"8155","경상남도","의령군","일반국도",1,128.314684,"01",60,NA
"8182","경상남도","의령군","일반국도",2,128.294431,"02",60,NA
"8222","경상남도","의령군","군도",1,128.226797,"01",30,NA
"8223","경상남도","의령군","군도",2,128.226582,"01",30,NA
"8224","경상남도","의령군","지방도",1,128.195321,"01",30,NA
"8225","경상남도","의령군","지방도",2,128.195169,"01",30,NA
"8399","경상남도","의령군","군도",2,128.268087,"02",30,NA
"8400","경상남도","의령군","군도",1,128.268161,"02",30,NA
