"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4237","경상북도","의성","일반국도",1,128.5861451,"2",80,NA
"4238","경상북도","의성","일반국도",2,128.1483065,"2",60,NA
"7072","경상북도","의성","일반국도",1,128.6850046,"2",80,NA
"10841","경상북도","의성","일반국도",1,128.4655677,"2",70,NA
"10842","경상북도","의성","일반국도",1,128.3587792,"2",70,NA
"10843","경상북도","의성","일반국도",2,128.6163085,"1",60,NA
"10844","경상북도","의성","일반국도",1,128.6407291,"2",80,NA
"10845","경상북도","의성","일반국도",2,129.275824,"2",80,NA
"10936","경상북도","의성","일반국도",1,128.3551267,"2",70,NA
"10937","경상북도","의성","일반국도",2,128.6393097,"2",70,NA
"10954","경상북도","의성","시도",2,129.3700702,"2",60,NA
"11434","경상북도","의성","군도",2,128.6700588,"1",30,NA
"11435","경상북도","의성","군도",2,128.6914381,"1",30,NA
"11436","경상북도","의성","시도",2,128.4446475,"1",30,NA
"11437","경상북도","의성","군도",2,128.7542103,"1",30,NA
"11629","경상북도","의성","군도",2,128.7049209,"1",50,NA
"11630","경상북도","의성","지방도",1,128.7049354,"1",60,NA
"11631","경상북도","의성","일반국도",2,128.6850046,"2",60,NA
"11632","경상북도","의성","일반국도",1,128.7319833,"2",80,NA
"11655","경상북도","의성","군도",2,128.4358081,"1",50,NA
"12046","경상북도","의성","일반국도",1,128.573902,"2",60,NA
"12047","경상북도","의성","일반국도",2,128.676462,"2",80,NA
"12048","경상북도","의성","고속국도",1,128.6714111,"2",100,NA
"12093","경상북도","의성","일반국도",2,128.356072,"2",60,NA
"12094","경상북도","의성","일반국도",2,128.3507926,"2",60,NA
"13539","경상북도","의성","일반국도",1,128.673921,"1",60,NA
"13553","경상북도","의성","일반국도",2,128.6412735,"1",80,NA
"13680","경상북도","의성","일반국도",2,128.5861451,"2",60,NA
"13716","경상북도","의성","일반국도",2,128.5255859,"2",80,NA
"14278","경상북도","의성","일반국도",2,128.6658541,"1",60,NA
"14289","경상북도","의성","일반국도",1,128.5255859,"2",80,NA
"17376","경상북도","의성","일반국도",2,128.1497539,"2",80,NA
